순번_정류장ID,81-2803661,82-2801697,83-2801724,84-2801915,85-2801926,86-2801922,87-2801940,88-2801950,89-2801961,90-2801987,91-2802006,92-2802016,93-2802028
81-2803661,0,0.628034,1.17559,2.5022990000000003,3.398888,3.767269,4.1774059999999995,4.473738,4.807085,5.035671,5.3367569999999995,5.57594,5.954609
82-2801697,,0,0.548557,1.8752659999999999,2.771855,3.1402349999999997,3.5503720000000003,3.846704,4.180052,4.408637000000001,4.709723,4.948906,5.3275760000000005
83-2801724,,,0,1.326709,2.2232979999999998,2.591679,3.001816,3.2981480000000003,3.6314949999999997,3.8600809999999997,4.161166000000001,4.40035,4.779019
84-2801915,,,,0,0.896589,1.2649700000000001,1.675107,1.971439,2.304786,2.533372,2.834457,3.073641,3.4523099999999998
85-2801926,,,,,0,0.368381,0.778518,1.07485,1.408197,1.636783,1.937868,2.177052,2.555721
86-2801922,,,,,,0,0.412137,0.708469,1.041816,1.270402,1.571488,1.810671,2.189341
87-2801940,,,,,,,0,0.29633200000000004,0.62968,0.858265,1.159351,1.398534,1.777204
88-2801950,,,,,,,,0,0.335348,0.563933,0.8650190000000001,1.1042020000000001,1.482872
89-2801961,,,,,,,,,0,0.23158600000000001,0.532671,0.7718550000000001,1.1505239999999999
90-2801987,,,,,,,,,,0,0.303086,0.542269,0.920939
91-2802006,,,,,,,,,,,0,0.24018299999999998,0.618853
92-2802016,,,,,,,,,,,,0,0.37967
93-2802028,,,,,,,,,,,,,0
