순번_정류장ID,64-2806940,65-2806941,66-2806942,67-2806943,68-2806944,69-2807134,70-2807135,71-2806946,72-2807137,73-2806947,74-2806948,75-2806949,76-2807147,77-2807148,78-2807149,79-2806951,80-2807138,81-2806973,82-2807139,83-2807409,84-2807123,85-2807141,86-2807155,87-2804229,88-2807153,89-2804227,90-2804225,91-2804223,92-2806333,93-2804220,94-2804217,95-2804215,96-2804342,97-2803719,98-2803711,99-2806217,100-2803708,101-2806218,102-2803710,103-2803712,104-2803713,105-2804231,106-2804232,107-2806331,108-2804233,109-2804235,110-2804237,111-2804239,112-2806328,113-2804241,114-2804335,115-2804773,116-2804244,117-2806230,118-2804257,119-2804259,120-2804758,121-2804760,122-2807395,123-2804261,124-2804337,125-2807368,126-2804602,127-2803580,128-2800263,129-2800267
103-2803712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6945180000000001,1.617925,1.8508509999999998,2.211,2.9218490000000004,3.370807,3.4001040000000002,3.923104,4.3884739999999995,4.895469,5.775157,6.851917,8.037443,8.620785,8.932701,9.390704,9.816557000000001,10.125745,10.369309,10.577111,10.673387,11.044239,11.271489,11.424994,11.645992,11.895088000000001
104-2803713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.923407,1.156332,1.5164819999999999,2.227331,2.676289,2.936378,3.533586,3.9999559999999996,4.506951,5.386638,6.463399,7.649925,8.232266000000001,8.544183,9.002186,9.428038,9.737226,9.980789999999999,10.188592,10.285867999999999,10.655721,10.882971000000001,11.036475,11.257474,11.50757
105-2804231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.232925,0.593075,1.303924,1.752882,2.012971,2.610179,3.075549,3.5825440000000004,4.462231,5.5389919999999995,6.725517999999999,7.307859,7.619775,8.077779,8.503631,8.812819000000001,9.056383,9.264185000000001,9.361461,9.731314,9.958563999999999,10.112067999999999,10.333067,10.583162
106-2804232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.36015,1.070998,1.519957,1.780046,2.377253,2.8426240000000003,3.349619,4.230306,5.306067,6.492592,7.075933999999999,7.38685,7.844854,8.270706,8.579894,8.823458,9.031260000000001,9.129536,9.498389,9.725638,9.880142999999999,10.100141,10.350237
107-2806331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.710849,1.159807,1.4198959999999998,2.0171040000000002,2.4824740000000003,2.9894689999999997,3.869156,4.945917,6.132443,6.714784,7.026700999999999,7.484704,7.910557000000001,8.219745,8.463308,8.67111,8.768386999999999,9.138239,9.365489,9.518994000000001,9.739991999999999,9.990088
108-2804233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44895799999999997,0.709047,1.306255,1.771625,2.278621,3.1583080000000003,4.235068,5.421594,6.003936,6.315852,6.773855,7.199708,7.508896000000001,7.752460000000001,7.960261999999999,8.057538000000001,8.427391,8.654639999999999,8.808145,9.029143,9.279239
109-2804235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.260089,0.857297,1.322667,1.829662,2.709349,3.78611,4.9726360000000005,5.554977,5.866894,6.324897,6.750749000000001,7.059938000000001,7.303501,7.511303,7.60858,7.978432000000001,8.205682000000001,8.359187,8.580185,8.830281
110-2804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.602208,1.0675780000000001,1.574573,2.4542599999999997,3.531021,4.717547,5.299888,5.611805,6.069808,6.49566,6.804849000000001,7.048412,7.256214,7.353491,7.723342999999999,7.950593,8.104097,8.325096,8.575192
111-2804239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46537,0.9723649999999999,1.852052,2.928813,4.115339,4.69768,5.009597,5.4676,5.893453,6.202641000000001,6.446204,6.654006,6.751283,7.121135000000001,7.348385,7.5018899999999995,7.722888,7.972983999999999
112-2806328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.506995,1.3866829999999999,2.463443,3.649969,4.232311,4.544226999999999,5.00223,5.428083,5.737271,5.980834,6.188636,6.285913,6.655765,6.883014999999999,7.036519999999999,7.257517999999999,7.507614
113-2804241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8796870000000001,1.956448,3.142974,3.725315,4.037232,4.495235,4.921087,5.230275,5.473839,5.681641,5.778917,6.14877,6.37602,6.529523999999999,6.750522999999999,7.000619
114-2804335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.076761,2.263287,2.845628,3.1575450000000003,3.6155480000000004,4.0414,4.350588,4.594151999999999,4.801954,4.89923,5.269083,5.496333,5.649837000000001,5.870836,6.120932
115-2804773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.186526,1.775868,2.087784,2.545787,2.9716400000000003,3.280828,3.5243910000000005,3.732193,3.8294699999999997,4.199322,4.426572,4.580076999999999,4.801075,5.051171
116-2804244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.589342,0.901258,1.359261,1.7851139999999999,2.094302,2.3378650000000003,2.545667,2.642944,3.012796,3.240046,3.393551,3.614549,3.864645
117-2806230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31191599999999997,0.7699199999999999,1.1957719999999998,1.50496,1.7485240000000002,1.9563259999999998,2.053602,2.423455,2.650705,2.804209,3.025208,3.275303
118-2804257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.458004,0.883856,1.193044,1.4366079999999999,1.64441,1.741686,2.111539,2.338788,2.492293,2.713291,2.963387
119-2804259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42585200000000006,0.7350409999999999,0.9786040000000001,1.1864059999999998,1.283682,1.6535349999999998,1.880785,2.034289,2.255288,2.505384
