순번_정류장ID,1-2800727,2-2800691,3-2800667,4-2800340,5-2800624,6-2806214,7-2803502,8-2807466,9-2803415,10-2805157,11-2805161,12-2805163,13-2805165,14-2806237,15-2805979
1-2800727,0,0.576376,1.45459,1.9187459999999998,2.4632330000000002,3.206354,12.158314,17.118723000000003,22.989283,25.190863,26.504739,27.721196999999997,28.111783000000003,28.566334,28.531313
2-2800691,,0,0.8782139999999999,1.34237,1.886857,2.629979,11.581938000000001,16.542348,22.412907999999998,24.611488,25.925363,27.143821999999997,27.536408,27.987959000000004,27.954938000000002
3-2800667,,,0,0.464156,1.008643,1.7517639999999999,11.095724,16.056133,21.926694,24.127273000000002,25.440148999999998,26.658607,27.048192999999998,27.502744,27.467723
4-2800340,,,,0,0.5444869999999999,1.287609,10.633567999999999,15.593978,21.463538,23.665118,24.977992999999998,26.196451999999997,26.588038,27.042589000000003,27.007568
5-2800624,,,,,0,0.743121,10.089081,15.049489999999999,20.919051,23.119629999999997,24.433506,25.650964000000002,26.04155,26.496101,26.46108
6-2806214,,,,,,0,9.34596,14.306369,20.175929999999997,22.377509,23.691385,24.908843,25.299429,25.752979999999997,25.717959
7-2803502,,,,,,,0,4.960408999999999,10.82997,13.030549,14.344425,15.562883,15.952470000000002,16.407021,16.373
8-2807466,,,,,,,,0,5.869561,8.07114,9.385016,10.602475,10.993061,11.447612,11.412591
9-2803415,,,,,,,,,0,2.20058,3.5144559999999996,4.731914,5.1225,5.577051,5.5420300000000005
10-2805157,,,,,,,,,,0,1.313876,2.531335,2.9219209999999998,3.376472,3.341451
11-2805161,,,,,,,,,,,0,1.217458,1.6080450000000002,2.062595,2.027574
12-2805163,,,,,,,,,,,,0,0.39058699999999996,0.845137,0.810116
13-2805165,,,,,,,,,,,,,0,1.019551,0.9845299999999999
14-2806237,,,,,,,,,,,,,,0,0.147919
15-2805979,,,,,,,,,,,,,,,0
