순번_정류장ID,9-2807368,10-2804602,11-2803580,12-2800263,13-2800267,14-2807607,15-2804032
9-2807368,0,0.226437,0.37560499999999997,0.5956159999999999,0.8476389999999999,2.061874,2.647364
10-2804602,,0,0.149168,0.36917900000000003,0.621202,1.835437,2.420927
11-2803580,,,0,0.220011,0.472034,1.686269,2.271759
12-2800263,,,,0,0.252023,1.4662579999999998,2.051748
13-2800267,,,,,0,1.214235,1.799725
14-2807607,,,,,,0,0.58549
15-2804032,,,,,,,0
