순번_정류장ID,38-2802393,39-2802395,40-2802397,41-2802399,42-2802406,43-2802409,44-2802413,45-2802417,46-2802391,47-2802427,48-2802445,49-2802444,50-2802457,51-2802483,52-2806240,53-2804421,54-2805039,55-2805309,56-2805206,57-2805004,58-2806095,59-2804866,60-2805586,61-2805058,62-2805396,63-2804872,64-2805550,65-2803821,66-2803767,67-2804877,68-2803768,69-2803522
38-2802393,0,0.286835,0.485929,1.13063,1.457188,1.6912859999999998,2.0241919999999998,2.2573849999999998,2.45843,2.717753,2.863013,3.253661,3.767632,6.143879999999999,7.249203999999999,7.389450999999999,7.704721999999999,8.088006,8.251354,8.506806,8.896071999999998,9.131360999999998,9.342652999999999,9.567497999999999,10.081765999999998,10.444317999999999,10.896567,11.168192,11.771137999999999,12.302618999999998,12.800750999999998,13.055878999999997
39-2802395,,0,0.199094,0.843795,1.170353,1.404451,1.7373569999999998,1.9705499999999998,2.171595,2.430918,2.576178,2.966826,3.480797,5.857044999999999,6.962368999999999,7.102615999999999,7.4178869999999995,7.801170999999999,7.964518999999999,8.219971,8.609236999999998,8.844525999999998,9.055817999999999,9.280662999999999,9.794930999999998,10.157483,10.609732,10.881357,11.484302999999999,12.015783999999998,12.513915999999998,12.769043999999997
40-2802397,,,0,0.644701,0.971259,1.205357,1.538263,1.771456,1.9725009999999998,2.231824,2.377084,2.767732,3.2817030000000003,5.657951000000001,6.763275,6.903522000000001,7.218793000000001,7.602077,7.7654250000000005,8.020877,8.410143,8.645432,8.856724,9.081569,9.595837,9.958389,10.410638,10.682263,11.285209,11.81669,12.314822,12.569949999999999
41-2802399,,,,0,0.326558,0.560656,0.893562,1.126755,1.3277999999999999,1.5871229999999998,1.7323829999999998,2.1230309999999997,2.637002,5.013249999999999,6.118573999999999,6.258820999999999,6.574091999999999,6.957375999999999,7.120723999999999,7.376175999999999,7.765441999999999,8.000731,8.212023,8.436868,8.951136,9.313687999999999,9.765937,10.037562,10.640507999999999,11.171988999999998,11.670120999999998,11.925248999999997
42-2802406,,,,,0,0.234098,0.567004,0.8001969999999999,1.001242,1.260565,1.4058249999999999,1.7964729999999998,2.3104439999999995,4.686691999999999,5.7920159999999985,5.932262999999999,6.247533999999999,6.630817999999999,6.794165999999999,7.049617999999999,7.438883999999999,7.674172999999999,7.885464999999999,8.110309999999998,8.624577999999998,8.987129999999997,9.439378999999997,9.711003999999997,10.313949999999997,10.845430999999996,11.343562999999996,11.598690999999995
43-2802409,,,,,,0,0.332906,0.5660989999999999,0.7671439999999999,1.026467,1.171727,1.5623749999999998,2.076346,4.4525939999999995,5.557917999999999,5.6981649999999995,6.013436,6.396719999999999,6.560067999999999,6.815519999999999,7.2047859999999995,7.440074999999999,7.651367,7.876212,8.39048,8.753032000000001,9.205281000000001,9.476906000000001,10.079852,10.611333,11.109465,11.364593
44-2802413,,,,,,,0,0.23319299999999998,0.434238,0.6935610000000001,0.838821,1.229469,1.7434399999999999,4.119688,5.2250119999999995,5.365259,5.68053,6.063814,6.227162,6.482614,6.87188,7.107169,7.318461,7.543306,8.057574,8.420126,8.872375,9.144,9.746946,10.278426999999999,10.776558999999999,11.031686999999998
45-2802417,,,,,,,,0,0.201045,0.460368,0.605628,0.996276,1.5102470000000001,3.886495,4.991819,5.132066,5.447337,5.830621,5.993969,6.249421,6.638687,6.873976,7.085268,7.310113,7.824381000000001,8.186933,8.639182,8.910807,9.513753,10.045233999999999,10.543365999999999,10.798493999999998
46-2802391,,,,,,,,,0,0.259323,0.404583,0.795231,1.309202,3.68545,4.790774,4.931020999999999,5.2462919999999995,5.629575999999999,5.792923999999999,6.048375999999999,6.437641999999999,6.672930999999999,6.8842229999999995,7.109068,7.623336,7.985888,8.438137,8.709762,9.312707999999999,9.844188999999998,10.342320999999998,10.597448999999997
47-2802427,,,,,,,,,,0,0.14526,0.535908,1.049879,3.426127,4.531451000000001,4.671698000000001,4.986969000000001,5.370253000000001,5.533601000000001,5.789053000000001,6.178319000000001,6.413608000000001,6.624900000000001,6.849745000000001,7.364013000000002,7.726565000000002,8.178814000000001,8.450439000000001,9.053385,9.584866,10.082998,10.338125999999999
48-2802445,,,,,,,,,,,0,0.390648,0.904619,3.2808669999999998,4.386191,4.526438000000001,4.841709000000001,5.224993,5.3883410000000005,5.6437930000000005,6.033059000000001,6.2683480000000005,6.479640000000001,6.704485000000001,7.218753000000001,7.581305000000001,8.033554,8.305179,8.908125,9.439606,9.937738,10.192865999999999
49-2802444,,,,,,,,,,,,0,0.513971,2.890219,3.995543,4.13579,4.451061,4.834345,4.997693,5.253145,5.642411,5.8777,6.088992,6.313837,6.828105000000001,7.190657000000001,7.642906000000001,7.914531000000001,8.517477000000001,9.048958,9.54709,9.802218
50-2802457,,,,,,,,,,,,,0,2.376248,3.481572,3.621819,3.93709,4.320374,4.483722,4.739174,5.12844,5.363729,5.5750210000000004,5.799866000000001,6.314134000000001,6.676686000000001,7.128935000000001,7.400560000000001,8.003506000000002,8.534987000000001,9.033119000000001,9.288247000000002
51-2802483,,,,,,,,,,,,,,0,1.105324,1.245571,1.560842,1.944126,2.107474,2.362926,2.752192,2.987481,3.1987729999999996,3.423618,3.9378859999999998,4.300438,4.752687,5.024312,5.627258,6.158739000000001,6.656871000000001,6.911999000000001
52-2806240,,,,,,,,,,,,,,,0,0.140247,0.45551800000000003,0.838802,1.00215,1.257602,1.646868,1.882157,2.093449,2.3182940000000003,2.8325620000000002,3.1951140000000002,3.6473630000000004,3.9189880000000006,4.521934000000001,5.053415000000001,5.551547000000001,5.806675000000001
53-2804421,,,,,,,,,,,,,,,,0,0.315271,0.698555,0.8619030000000001,1.117355,1.506621,1.74191,1.953202,2.1780470000000003,2.6923150000000002,3.054867,3.5071160000000003,3.778741,4.381687,4.913168000000001,5.411300000000001,5.666428000000001
54-2805039,,,,,,,,,,,,,,,,,0,0.383284,0.546632,0.802084,1.19135,1.426639,1.637931,1.862776,2.377044,2.739596,3.1918450000000003,3.46347,4.066416,4.597897000000001,5.096029000000001,5.351157000000001
55-2805309,,,,,,,,,,,,,,,,,,0,0.163348,0.4188,0.808066,1.043355,1.254647,1.479492,1.99376,2.356312,2.808561,3.0801860000000003,3.6831320000000005,4.214613000000001,4.712745000000001,4.967873000000001
