순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2806293,24-2804201,25-2806291,26-2807291,27-2804203,28-2804206,29-2804332,30-2804208,31-2804210,32-2804212,33-2804579,34-2803703,35-2806885,36-2807292,37-2806887,38-2806889,39-2806892,40-2807121,41-2806979,42-2807407,43-2806980,44-2806981,45-2806982,46-2806983,47-2806984,48-2806985,49-2807003,50-2807125,51-2807126,52-2807128,53-2807130,54-2807132,55-2806962,56-2806940,57-2806941,58-2806942,59-2806943,60-2806944,61-2807134,62-2807135,63-2806946,64-2807137,65-2806947,66-2806948,67-2806949,68-2807147,69-2807148,70-2807149,71-2806951,72-2807138,73-2806973,74-2807139,75-2807409,76-2807123
1-2800269,0,0.41885600000000006,0.775061,1.343418,1.730049,1.9700739999999999,2.1342399999999997,2.3960009999999996,2.7858639999999997,3.5499169999999998,3.869557,4.150482,4.6594880000000005,5.250293000000001,5.731132000000001,5.891259000000001,6.225085000000001,6.719396000000001,7.039803000000001,7.477903000000001,7.833264000000002,8.185478000000002,8.721814000000002,8.976198000000002,9.351470000000003,9.542272000000002,9.778519000000003,9.974164000000004,10.519432000000004,11.069991000000003,11.567985000000004,11.902872000000004,12.432939000000005,12.612322000000004,12.812411000000004,13.389547000000004,13.738593000000003,14.320970000000003,14.839403000000003,16.696729,17.300689000000002,18.015808000000003,18.635373000000005,18.951236000000005,19.298569000000004,19.543211000000003,20.071528000000004,20.319532000000006,21.006449000000007,21.481166000000005,22.553618000000004,23.111512000000005,23.807376000000005,24.563903000000003,25.025484000000002,26.185927000000003,27.466798000000004,27.793988000000006,28.121401000000006,28.481803000000006,28.815717000000006,29.112675000000007,29.519414000000005,29.752894000000005,30.053644000000006,30.357499000000004,31.713995000000004,32.275380000000006,33.136093,33.3881,33.793341,34.061982,35.039685,35.866562,36.32175,36.790785
2-2805488,,0,0.356205,0.924562,1.311193,1.551218,1.715384,1.9771450000000002,2.3670080000000002,3.1310610000000003,3.4507010000000005,3.7316260000000003,4.240632000000001,4.831437000000001,5.312276000000001,5.472403000000001,5.806229000000001,6.300540000000001,6.620947000000001,7.059047000000001,7.414408000000002,7.766622000000002,8.302958000000002,8.557342000000002,8.932614000000003,9.123416000000002,9.359663000000003,9.555308000000004,10.100576000000004,10.651135000000004,11.149129000000004,11.484016000000004,12.014083000000005,12.193466000000004,12.393555000000005,12.970691000000004,13.319737000000003,13.902114000000003,14.420547000000003,16.277873000000003,16.881833000000004,17.596952000000005,18.216517000000007,18.532380000000007,18.879713000000006,19.124355000000005,19.652672000000006,19.900676000000008,20.58759300000001,21.062310000000007,22.134762000000006,22.692656000000007,23.388520000000007,24.145047000000005,24.606628000000004,25.767071000000005,27.047942000000006,27.375132000000008,27.702545000000008,28.06294700000001,28.39686100000001,28.69381900000001,29.100558000000007,29.334038000000007,29.634788000000007,29.938643000000006,31.295139000000006,31.856524000000007,32.717237000000004,32.969244,33.374485,33.643126,34.620829,35.447706000000004,35.902894,36.371929
3-2807373,,,0,0.568357,0.954988,1.1950129999999999,1.359179,1.62094,2.010803,2.774856,3.0944960000000004,3.3754210000000002,3.8844270000000005,4.475232,4.956071,5.116198,5.450024,5.944335,6.264742,6.702842,7.058203000000001,7.410417000000001,7.946753000000001,8.201137000000001,8.576409000000002,8.767211000000001,9.003458000000002,9.199103000000003,9.744371000000003,10.294930000000003,10.792924000000003,11.127811000000003,11.657878000000004,11.837261000000003,12.037350000000004,12.614486000000003,12.963532000000002,13.545909000000002,14.064342000000002,15.921668000000002,16.525628,17.240747000000002,17.860312000000004,18.176175000000004,18.523508000000003,18.768150000000002,19.296467000000003,19.544471000000005,20.231388000000006,20.706105000000004,21.778557000000003,22.336451000000004,23.032315000000004,23.788842000000002,24.250423,25.410866000000002,26.691737000000003,27.018927000000005,27.346340000000005,27.706742000000006,28.040656000000006,28.337614000000006,28.744353000000004,28.977833000000004,29.278583000000005,29.582438000000003,30.938934000000003,31.500319000000005,32.361032,32.613039,33.01828,33.286921,34.264624,35.091501,35.546689,36.015724
4-2800272,,,,0,0.386631,0.626656,0.790822,1.052583,1.4424460000000001,2.206499,2.526139,2.807064,3.31607,3.906875,4.387714,4.547841,4.881667,5.375978,5.696385,6.134485000000001,6.489846000000001,6.842060000000001,7.378396,7.63278,8.008052000000001,8.198854,8.435101000000001,8.630746000000002,9.176014000000002,9.726573000000002,10.224567000000002,10.559454000000002,11.089521000000003,11.268904000000003,11.468993000000003,12.046129000000002,12.395175000000002,12.977552000000001,13.495985000000001,15.353311000000001,15.957271000000002,16.672390000000004,17.291955000000005,17.607818000000005,17.955151000000004,18.199793000000003,18.728110000000004,18.976114000000006,19.663031000000007,20.137748000000006,21.210200000000004,21.768094000000005,22.463958000000005,23.220485000000004,23.682066000000003,24.842509000000003,26.123380000000004,26.450570000000006,26.777983000000006,27.138385000000007,27.472299000000007,27.769257000000007,28.175996000000005,28.409476000000005,28.710226000000006,29.014081000000004,30.370577000000004,30.931962000000006,31.792675000000006,32.04468200000001,32.449923000000005,32.71856400000001,33.696267000000006,34.52314400000001,34.97833200000001,35.44736700000001
5-2803582,,,,,0,0.240025,0.40419099999999997,0.665952,1.055815,1.819868,2.139508,2.420433,2.9294390000000003,3.5202440000000004,4.001083,4.1612100000000005,4.495036000000001,4.989347,5.309754000000001,5.747854000000001,6.103215000000001,6.455429000000001,6.991765000000001,7.246149000000001,7.621421000000001,7.812223,8.04847,8.244115,8.789383,9.339942,9.837936000000001,10.172823000000001,10.702890000000002,10.882273000000001,11.082362000000002,11.659498000000001,12.008544,12.590921,13.109354,14.96668,15.570640000000001,16.285759000000002,16.905324000000004,17.221187000000004,17.568520000000003,17.813162000000002,18.341479000000003,18.589483000000005,19.276400000000006,19.751117000000004,20.823569000000003,21.381463000000004,22.077327000000004,22.833854000000002,23.295435,24.455878000000002,25.736749000000003,26.063939000000005,26.391352000000005,26.751754000000005,27.085668000000005,27.382626000000005,27.789365000000004,28.022845000000004,28.323595000000005,28.627450000000003,29.983946000000003,30.545331000000004,31.406044000000005,31.658051000000004,32.063292000000004,32.33193300000001,33.309636000000005,34.13651300000001,34.59170100000001,35.060736000000006
6-2803603,,,,,,0,0.164166,0.42592700000000006,0.81579,1.5798429999999999,1.899483,2.180408,2.689414,3.280219,3.7610580000000002,3.9211850000000004,4.2550110000000005,4.749322,5.069729000000001,5.507829000000001,5.863190000000001,6.215404000000001,6.751740000000002,7.006124000000002,7.381396000000001,7.572198000000001,7.808445000000001,8.004090000000001,8.549358000000002,9.099917000000001,9.597911000000002,9.932798000000002,10.462865000000003,10.642248000000002,10.842337000000002,11.419473000000002,11.768519000000001,12.350896,12.869329,14.726655000000001,15.330615000000002,16.045734000000003,16.665299000000005,16.981162000000005,17.328495000000004,17.573137000000003,18.101454000000004,18.349458000000006,19.036375000000007,19.511092000000005,20.583544000000003,21.141438000000004,21.837302000000005,22.593829000000003,23.055410000000002,24.215853000000003,25.496724000000004,25.823914000000006,26.151327000000006,26.511729000000006,26.845643000000006,27.142601000000006,27.549340000000008,27.782820000000008,28.08357000000001,28.387425000000007,29.743921000000007,30.30530600000001,31.16601900000001,31.41802600000001,31.82326700000001,32.09190800000001,33.06961100000001,33.89648800000001,34.35167600000001,34.82071100000001
7-2803602,,,,,,,0,0.261761,0.651624,1.415677,1.7353170000000002,2.016242,2.5252480000000004,3.1160530000000004,3.5968920000000004,3.7570190000000006,4.090845000000001,4.5851560000000005,4.905563000000001,5.343663000000001,5.699024000000001,6.0512380000000014,6.587574000000002,6.841958000000002,7.217230000000002,7.408032000000001,7.644279000000001,7.839924000000001,8.385192,8.935751,9.433745,9.768632,10.298699000000001,10.478082,10.678171,11.255307,11.604353,12.186729999999999,12.705162999999999,14.562489,15.166449,15.881568,16.501133,16.816996,17.164329,17.408970999999998,17.937288,18.185292,18.872209,19.346926,20.419378,20.977272,21.673136,22.429662999999998,22.891243999999997,24.051686999999998,25.332558,25.659748,25.987161,26.347563,26.681477,26.978435,27.385174,27.618654,27.919404,28.223259,29.579755,30.14114,31.001853,31.25386,31.659101,31.927742,32.905445,33.732322,34.18751,34.656545
8-2800274,,,,,,,,0,0.389863,1.153916,1.4735559999999999,1.7544809999999997,2.2634869999999996,2.8542919999999996,3.3351309999999996,3.4952579999999998,3.829084,4.323395,4.643802,5.081902,5.437263000000001,5.789477000000001,6.325813,6.580197,6.955469,7.146271,7.382517999999999,7.578162999999999,8.123430999999998,8.673989999999998,9.171983999999998,9.506870999999999,10.036938,10.216320999999999,10.416409999999999,10.993545999999998,11.342591999999998,11.924968999999997,12.443401999999997,14.300727999999998,14.904687999999998,15.619806999999998,16.239372,16.555235,16.902568,17.147209999999998,17.675527,17.923531,18.610448,19.085165,20.157617,20.715511,21.411375,22.167901999999998,22.629482999999997,23.789925999999998,25.070797,25.397987,25.7254,26.085802,26.419716,26.716674,27.123413,27.356893,27.657643,27.961498,29.317994,29.879379,30.740092,30.992099,31.39734,31.665981,32.643684,33.470561000000004,33.925749,34.394784
9-2803847,,,,,,,,,0,0.764053,1.083693,1.364618,1.8736240000000002,2.464429,2.945268,3.105395,3.4392210000000003,3.9335320000000005,4.253939000000001,4.692039000000001,5.047400000000001,5.3996140000000015,5.935950000000002,6.190334000000002,6.565606000000002,6.756408000000001,6.992655000000001,7.188300000000001,7.733568000000001,8.284127000000002,8.782121000000002,9.117008000000002,9.647075000000003,9.826458000000002,10.026547000000003,10.603683000000002,10.952729000000001,11.535106,12.053539,13.910865000000001,14.514825000000002,15.229944000000001,15.849509000000001,16.165372,16.512705,16.757347,17.285664,17.533668000000002,18.220585000000003,18.695302,19.767754,20.325648,21.021512,21.778039,22.23962,23.400063,24.680934,25.008124000000002,25.335537000000002,25.695939000000003,26.029853000000003,26.326811000000003,26.73355,26.96703,27.267780000000002,27.571635,28.928131,29.489516000000002,30.350229000000002,30.602236,31.007477,31.276118,32.253821,33.080698000000005,33.535886000000005,34.004921
10-2806301,,,,,,,,,,0,0.31964000000000004,0.600565,1.109571,1.700376,2.181215,2.341342,2.675168,3.169479,3.489886,3.9279859999999998,4.283347,4.635561,5.1718969999999995,5.4262809999999995,5.801552999999999,5.992354999999999,6.228601999999999,6.4242469999999985,6.969514999999999,7.520073999999998,8.018067999999998,8.352954999999998,8.883021999999999,9.062404999999998,9.262493999999998,9.839629999999998,10.188675999999997,10.771052999999997,11.289485999999997,13.146811999999997,13.750771999999998,14.465890999999997,15.085455999999997,15.401318999999997,15.748651999999998,15.993293999999999,16.521611,16.769615,17.456532000000003,17.931249,19.003701,19.561595,20.257459,21.013986,21.475566999999998,22.63601,23.916881,24.244071,24.571484,24.931886000000002,25.265800000000002,25.562758000000002,25.969497000000004,26.202977000000004,26.503727000000005,26.807582000000004,28.164078000000003,28.725463000000005,29.586176000000005,29.838183000000004,30.243424000000005,30.512065000000003,31.489768000000005,32.31664500000001,32.77183300000001,33.240868000000006
