순번_정류장ID,11-2805829,12-2805828,13-2806215,14-2800622,15-2800627,16-2800633,17-2800639,18-2800327
11-2805829,0,0.145582,0.816458,1.932648,2.277787,2.8107930000000003,3.1961180000000002,3.4911920000000003
12-2805828,,0,0.670876,1.787066,2.132205,2.665211,3.050536,3.34561
13-2806215,,,0,1.11619,1.461329,1.9943350000000002,2.3796600000000003,2.6747340000000004
14-2800622,,,,0,0.345139,0.8781450000000001,1.26347,1.5585440000000002
15-2800627,,,,,0,0.5330060000000001,0.918331,1.213405
16-2800633,,,,,,0,0.385325,0.680399
17-2800639,,,,,,,0,0.295074
18-2800327,,,,,,,,0
