순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2806302,21-2804028,22-2804703,23-2804021,24-2806407,25-2804018,26-2806405,27-2804017,28-2804015,29-2804013,30-2804010,31-2804009,32-2804007,33-2804005,34-2804003,35-2804001,36-2803999,37-2804768,38-2803942,39-2803940,40-2806356,41-2804055,42-2804600,43-2806304,44-2800295,45-2804482,46-2800300,47-2805078,48-2800296,49-2800298
1-2800269,0,0.41885600000000006,0.775061,1.343418,1.730049,1.9700739999999999,2.1342399999999997,2.3960009999999996,2.7858639999999997,3.3335209999999997,3.5393429999999997,3.8124939999999996,4.0860639999999995,4.773737,5.677312,5.837807,6.387967,7.09026,7.531562,7.908393,8.355651,8.567184,8.765756,9.077914,9.324239,9.710633,10.027002999999999,10.340273999999999,10.766905,11.130543,11.531589,11.829065,12.177154,12.440983,12.809007,13.195748,13.762106,14.269299,15.054129,15.309444,15.957061999999999,17.262266999999998,17.675503,18.234329,18.620462999999997,19.140416,19.722945999999997,20.898940999999997,21.136919
2-2805488,,0,0.356205,0.924562,1.311193,1.551218,1.715384,1.9771450000000002,2.3670080000000002,2.9146650000000003,3.1204870000000002,3.393638,3.667208,4.354881,5.258456,5.418951,5.969111,6.671404,7.112706,7.489537,7.936795,8.148328,8.3469,8.659058,8.905383,9.291777,9.608146999999999,9.921418,10.348049,10.711687,11.112732999999999,11.410208999999998,11.758297999999998,12.022126999999998,12.390150999999998,12.776891999999998,13.343249999999998,13.850442999999999,14.635272999999998,14.890587999999997,15.538205999999997,16.843410999999996,17.256646999999997,17.815472999999997,18.201606999999996,18.721559999999997,19.304089999999995,20.480084999999995,20.718062999999994
3-2807373,,,0,0.568357,0.954988,1.1950129999999999,1.359179,1.62094,2.010803,2.55846,2.764282,3.037433,3.311003,3.9986759999999997,4.902251,5.062746,5.612906,6.315199,6.756501,7.133332,7.58059,7.792123,7.9906950000000005,8.302853,8.549178000000001,8.935572,9.251942,9.565213,9.991844,10.355482,10.756528,11.054003999999999,11.402092999999999,11.665921999999998,12.033945999999998,12.420687,12.987044999999998,13.494238,14.279067999999999,14.534382999999998,15.182000999999998,16.487205999999997,16.900441999999998,17.459267999999998,17.845401999999996,18.365354999999997,18.947884999999996,20.123879999999996,20.361857999999998
4-2800272,,,,0,0.386631,0.626656,0.790822,1.052583,1.4424460000000001,1.990103,2.195925,2.469076,2.7426459999999997,3.430319,4.333894,4.494389,5.044549,5.746842,6.188144,6.5649750000000004,7.012233,7.223766,7.422338000000001,7.734496000000001,7.980821000000001,8.367215,8.683584999999999,8.996856,9.423487,9.787125,10.188171,10.485647,10.833736,11.097565,11.465589,11.85233,12.418688,12.925881,13.710711,13.966026,14.613643999999999,15.918848999999998,16.332085,16.890911,17.277044999999998,17.796998,18.379527999999997,19.555522999999997,19.793501
5-2803582,,,,,0,0.240025,0.40419099999999997,0.665952,1.055815,1.603472,1.809294,2.082445,2.3560149999999997,3.0436879999999995,3.9472629999999995,4.107758,4.657918,5.360211,5.801513,6.178344,6.625602,6.837135,7.035707,7.3478650000000005,7.59419,7.980584,8.296954,8.610225,9.036856,9.400494,9.80154,10.099015999999999,10.447104999999999,10.710933999999998,11.078957999999998,11.465698999999999,12.032056999999998,12.53925,13.324079999999999,13.579394999999998,14.227012999999998,15.532217999999997,15.945453999999996,16.504279999999998,16.890413999999996,17.410366999999997,17.992896999999996,19.168891999999996,19.406869999999998
6-2803603,,,,,,0,0.164166,0.42592700000000006,0.81579,1.3634469999999999,1.5692689999999998,1.8424199999999997,2.1159899999999996,2.8036629999999994,3.7072379999999994,3.8677329999999994,4.417892999999999,5.1201859999999995,5.561488,5.938319,6.385577,6.59711,6.795682,7.10784,7.354165,7.740559,8.056929,8.3702,8.796831000000001,9.160469,9.561515,9.858991,10.20708,10.470908999999999,10.838932999999999,11.225674,11.792031999999999,12.299225,13.084055,13.339369999999999,13.986987999999998,15.292192999999997,15.705428999999997,16.264255,16.650388999999997,17.170341999999998,17.752871999999996,18.928866999999997,19.166844999999995
7-2803602,,,,,,,0,0.261761,0.651624,1.199281,1.405103,1.678254,1.9518239999999998,2.6394969999999995,3.5430719999999996,3.7035669999999996,4.253727,4.95602,5.397322,5.774153,6.221411,6.432944,6.631516,6.943674000000001,7.189999,7.576393,7.892763,8.206034,8.632665000000001,8.996303000000001,9.397349000000002,9.694825000000002,10.042914000000001,10.306743,10.674767000000001,11.061508000000002,11.627866000000001,12.135059000000002,12.919889000000001,13.175204,13.822822,15.128027,15.541262999999999,16.100089,16.486223,17.006176,17.588706,18.764701,19.002679
8-2800274,,,,,,,,0,0.389863,0.9375199999999999,1.1433419999999999,1.416493,1.6900629999999999,2.3777359999999996,3.2813109999999996,3.4418059999999997,3.9919659999999997,4.694259,5.135561,5.512392,5.95965,6.171183,6.3697550000000005,6.681913000000001,6.928238,7.3146320000000005,7.6310020000000005,7.944273000000001,8.370904000000001,8.734542000000001,9.135588000000002,9.433064000000002,9.781153000000002,10.044982000000001,10.413006000000001,10.799747000000002,11.366105000000001,11.873298000000002,12.658128000000001,12.913443000000001,13.561061,14.866266,15.279501999999999,15.838327999999999,16.224462,16.744415,17.326945,18.50294,18.740918
9-2803847,,,,,,,,,0,0.547657,0.7534789999999999,1.02663,1.3001999999999998,1.9878729999999998,2.8914479999999996,3.0519429999999996,3.6021029999999996,4.304396,4.745698,5.122529,5.569787,5.78132,5.979892,6.292050000000001,6.538375,6.924769,7.241139,7.554410000000001,7.981041000000001,8.344679000000001,8.745725,9.043201,9.39129,9.655119,10.023143,10.409884,10.976242,11.483435,12.268265,12.523579999999999,13.171197999999999,14.476402999999998,14.889638999999997,15.448464999999997,15.834598999999997,16.354551999999998,16.937081999999997,18.113076999999997,18.351054999999995
10-2803599,,,,,,,,,,0,0.20582199999999998,0.478973,0.752543,1.440216,2.343791,2.504286,3.054446,3.756739,4.198041,4.574872,5.02213,5.233663,5.432235,5.7443930000000005,5.990718,6.377112,6.693482,7.006753000000001,7.433384000000001,7.797022000000001,8.198068000000001,8.495544,8.843633,9.107462,9.475486,9.862227,10.428585,10.935777999999999,11.720607999999999,11.975922999999998,12.623540999999998,13.928745999999997,14.341981999999996,14.900807999999996,15.286941999999996,15.806894999999995,16.389424999999996,17.565419999999996,17.803397999999994
