순번_정류장ID,1-2805876,2-2805875,3-2802007,4-2801989,5-2801958,6-2801947,7-2801939,8-2801934,9-2805271,10-2805273,11-2805275,12-2805278,13-2801967,14-2801973,15-2801974,16-2801964,17-2801953,18-2801952,19-2801788
1-2805876,0,0.142506,0.326461,0.648263,0.903039,1.0831650000000002,1.2902060000000002,1.5069080000000001,1.8297430000000001,2.0862540000000003,2.274859,2.55663,2.7258560000000003,3.051749,3.456334,3.813311,4.355538,4.717358,5.441955
2-2805875,,0,0.183955,0.505757,0.760533,0.940659,1.1477,1.364402,1.6872369999999999,1.9437479999999998,2.1323529999999997,2.4141239999999997,2.58335,2.909243,3.313828,3.670805,4.213032,4.574852,5.299449
3-2802007,,,0,0.321802,0.576578,0.756704,0.9637450000000001,1.180447,1.503282,1.759793,1.9483979999999999,2.230169,2.399395,2.725288,3.129873,3.48685,4.029077,4.390897,5.115494
4-2801989,,,,0,0.254776,0.434902,0.6419429999999999,0.8586449999999999,1.1814799999999999,1.4379909999999998,1.6265959999999997,1.9083669999999997,2.077593,2.403486,2.808071,3.165048,3.707275,4.069095,4.793692
5-2801958,,,,,0,0.180126,0.387167,0.603869,0.926704,1.183215,1.3718199999999998,1.6535909999999998,1.8228169999999997,2.1487099999999995,2.5532949999999994,2.9102719999999995,3.4524989999999995,3.8143189999999993,4.5389159999999995
6-2801947,,,,,,0,0.20704099999999998,0.423743,0.746578,1.003089,1.1916939999999998,1.4734649999999998,1.6426909999999997,1.9685839999999997,2.373169,2.730146,3.272373,3.634193,4.35879
7-2801939,,,,,,,0,0.216702,0.5395369999999999,0.7960479999999999,0.9846529999999999,1.2664239999999998,1.4356499999999999,1.7615429999999999,2.1661279999999996,2.5231049999999997,3.0653319999999997,3.4271519999999995,4.151749
8-2801934,,,,,,,,0,0.322835,0.5793459999999999,0.7679509999999999,1.049722,1.2189480000000001,1.5448410000000001,1.949426,2.306403,2.84863,3.21045,3.935047
9-2805271,,,,,,,,,0,0.256511,0.44511599999999996,0.726887,0.8961129999999999,1.222006,1.626591,1.983568,2.525795,2.887615,3.612212
10-2805273,,,,,,,,,,0,0.188605,0.470376,0.639602,0.965495,1.37008,1.7270569999999998,2.269284,2.6311039999999997,3.355701
11-2805275,,,,,,,,,,,0,0.281771,0.450997,0.77689,1.1814749999999998,1.538452,2.080679,2.4424989999999998,3.167096
12-2805278,,,,,,,,,,,,0,0.169226,0.495119,0.899704,1.256681,1.798908,2.1607279999999998,2.885325
13-2801967,,,,,,,,,,,,,0,0.325893,0.730478,1.0874549999999998,1.6296819999999999,1.9915019999999999,2.716099
14-2801973,,,,,,,,,,,,,,0,0.404585,0.761562,1.303789,1.6656090000000001,2.390206
15-2801974,,,,,,,,,,,,,,,0,0.356977,0.899204,1.261024,1.985621
16-2801964,,,,,,,,,,,,,,,,0,0.542227,0.904047,1.628644
17-2801953,,,,,,,,,,,,,,,,,0,0.36182,1.086417
18-2801952,,,,,,,,,,,,,,,,,,0,0.724597
19-2801788,,,,,,,,,,,,,,,,,,,0
