순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2804729,5-2804133,6-2804131,7-2804129,8-2804127,9-2804125,10-2804123,11-2804121,12-2807387,13-2804118,14-2804117,15-2804115,16-2804113,17-2806364
1-2800270,0,0.271294,0.646299,1.067303,1.2828359999999999,2.004133,2.244715,2.511885,2.733432,3.225714,3.479564,4.194608,4.694018,4.998431999999999,5.471074,5.908287,6.578424999999999
2-2800268,,0,0.37500500000000003,0.796009,1.011542,1.732839,1.973421,2.240591,2.4621380000000004,2.9544200000000003,3.20827,3.9233140000000004,4.4227240000000005,4.727138,5.1997800000000005,5.636993,6.307131
3-2800264,,,0,0.421004,0.636537,1.357834,1.598416,1.865586,2.087133,2.579415,2.833265,3.5483089999999997,4.047719,4.352133,4.824775000000001,5.2619880000000006,5.932126
4-2804729,,,,0,0.215533,0.93683,1.1774120000000001,1.444582,1.666129,2.158411,2.412261,3.127305,3.626715,3.931129,4.403771,4.840984,5.511121999999999
5-2804133,,,,,0,0.7212970000000001,0.9618790000000002,1.229049,1.450596,1.9428779999999999,2.196728,2.911772,3.411182,3.715596,4.188238,4.625451,5.295589
6-2804131,,,,,,0,0.24058200000000002,0.507752,0.7292989999999999,1.221581,1.475431,2.190475,2.6898850000000003,2.9942990000000003,3.4669410000000003,3.904154,4.574292
7-2804129,,,,,,,0,0.26716999999999996,0.48871699999999996,0.980999,1.234849,1.949893,2.449303,2.753717,3.226359,3.663572,4.33371
8-2804127,,,,,,,,0,0.22154699999999997,0.7138289999999999,0.967679,1.682723,2.182133,2.486547,2.959189,3.3964019999999997,4.06654
9-2804125,,,,,,,,,0,0.492282,0.746132,1.461176,1.9605860000000002,2.265,2.737642,3.174855,3.844993
10-2804123,,,,,,,,,,0,0.25385,0.968894,1.468304,1.772718,2.24536,2.6825729999999997,3.3527109999999998
11-2804121,,,,,,,,,,,0,0.715044,1.214454,1.5188679999999999,1.99151,2.4287229999999997,3.098861
12-2807387,,,,,,,,,,,,0,0.49941,0.803824,1.276466,1.7136790000000002,2.383817
13-2804118,,,,,,,,,,,,,0,0.30441399999999996,0.777056,1.214269,1.884407
14-2804117,,,,,,,,,,,,,,0,0.472642,0.9098550000000001,1.579993
15-2804115,,,,,,,,,,,,,,,0,0.437213,1.107351
16-2804113,,,,,,,,,,,,,,,,0,0.670138
17-2806364,,,,,,,,,,,,,,,,,0
