순번_정류장ID,19-2801689,20-2801718,21-2801231,22-2801747,23-2801753,24-2801238,25-2801760,26-2801767,27-2801776,28-2801783,29-2801173,30-2801780,31-2801784,32-2801794,33-2801797,34-2801804,35-2801980,36-2806014
19-2801689,0,0.522496,0.7320519999999999,0.8929739999999999,1.0994439999999999,1.3264589999999998,1.5349399999999997,1.7949429999999997,2.0118449999999997,2.2913919999999997,2.8970259999999994,3.0438649999999994,3.183382999999999,3.272204999999999,3.523947999999999,3.703145999999999,4.008105999999999,4.187922999999999
20-2801718,,0,0.209556,0.370478,0.576948,0.803963,1.012444,1.2724469999999999,1.4893489999999998,1.7688959999999998,2.37453,2.521369,2.660887,2.7497089999999997,3.0014519999999996,3.1806499999999995,3.4856099999999994,3.6654269999999993
21-2801231,,,0,0.160922,0.367392,0.594407,0.802888,1.062891,1.279793,1.55934,2.164974,2.311813,2.4513309999999997,2.5401529999999997,2.7918959999999995,2.9710939999999995,3.2760539999999994,3.4558709999999992
22-2801747,,,,0,0.20647,0.433485,0.641966,0.901969,1.118871,1.398418,2.0040519999999997,2.1508909999999997,2.2904089999999995,2.3792309999999994,2.6309739999999993,2.8101719999999992,3.115131999999999,3.294948999999999
23-2801753,,,,,0,0.22701500000000002,0.435496,0.6954990000000001,0.9124010000000001,1.191948,1.797582,1.944421,2.083939,2.172761,2.4245039999999998,2.6037019999999997,2.9086619999999996,3.0884789999999995
24-2801238,,,,,,0,0.208481,0.468484,0.685386,0.964933,1.570567,1.717406,1.856924,1.945746,2.197489,2.376687,2.681647,2.861464
25-2801760,,,,,,,0,0.26000300000000004,0.476905,0.756452,1.3620860000000001,1.508925,1.648443,1.737265,1.989008,2.168206,2.473166,2.652983
26-2801767,,,,,,,,0,0.216902,0.49644900000000003,1.102083,1.2489219999999999,1.38844,1.4772619999999999,1.729005,1.9082029999999999,2.2131629999999998,2.3929799999999997
27-2801776,,,,,,,,,0,0.279547,0.885181,1.03202,1.171538,1.26036,1.512103,1.691301,1.996261,2.176078
28-2801783,,,,,,,,,,0,0.605634,0.752473,0.891991,0.9808129999999999,1.232556,1.411754,1.716714,1.896531
29-2801173,,,,,,,,,,,0,0.146839,0.286357,0.375179,0.626922,0.80612,1.1110799999999998,1.2908969999999997
30-2801780,,,,,,,,,,,,0,0.139518,0.22834,0.480083,0.659281,0.964241,1.144058
31-2801784,,,,,,,,,,,,,0,0.088822,0.340565,0.519763,0.824723,1.00454
32-2801794,,,,,,,,,,,,,,0,0.251743,0.430941,0.735901,0.915718
33-2801797,,,,,,,,,,,,,,,0,0.179198,0.484158,0.663975
34-2801804,,,,,,,,,,,,,,,,0,0.30496,0.484777
35-2801980,,,,,,,,,,,,,,,,,0,0.179817
36-2806014,,,,,,,,,,,,,,,,,,0
