순번_정류장ID,1-2805606,2-2805607,3-2805608,4-2805609,5-2805610,6-2805611,7-2805612,8-2805613,9-2805614,10-2805615,11-2800434,12-2800443,13-2800450,14-2804825,15-2800455,16-2800457,17-2805616,18-2805617
1-2805606,0,0.23062,0.457478,0.9726969999999999,1.459565,2.25756,2.4901839999999997,2.9732689999999997,3.3839979999999996,3.8866609999999997,4.783773,5.07992,5.421869,5.612654,5.854914,6.15857,6.59344,7.109482
2-2805607,,0,0.226858,0.742077,1.228945,2.0269399999999997,2.2595639999999997,2.7426489999999997,3.1533779999999996,3.6560409999999997,4.553153,4.8493,5.191249,5.382034,5.624294,5.92795,6.36282,6.878862
3-2805608,,,0,0.515219,1.002087,1.800082,2.032706,2.515791,2.92652,3.429183,4.326295,4.622442,4.964391,5.155176,5.397436,5.701092,6.135962,6.652004
4-2805609,,,,0,0.486868,1.284863,1.517487,2.000572,2.411301,2.913964,3.811076,4.107223,4.449172,4.639957,4.882217,5.185873,5.620743,6.136785
5-2805610,,,,,0,0.797995,1.030619,1.513704,1.924433,2.427096,3.3242080000000005,3.6203550000000004,3.9623040000000005,4.1530890000000005,4.395349,4.6990050000000005,5.133875000000001,5.649917
6-2805611,,,,,,0,0.23262399999999997,0.715709,1.126438,1.629101,2.5262130000000003,2.82236,3.1643090000000003,3.3550940000000002,3.597354,3.9010100000000003,4.33588,4.851922
7-2805612,,,,,,,0,0.48308500000000004,0.8938140000000001,1.396477,2.293589,2.589736,2.931685,3.12247,3.3647299999999998,3.668386,4.103256,4.619298
8-2805613,,,,,,,,0,0.410729,0.913392,1.8105040000000001,2.1066510000000003,2.4486000000000003,2.6393850000000003,2.8816450000000002,3.1853010000000004,3.6201710000000005,4.136213000000001
9-2805614,,,,,,,,,0,0.502663,1.399775,1.695922,2.037871,2.228656,2.470916,2.774572,3.209442,3.7254840000000002
10-2805615,,,,,,,,,,0,0.8971120000000001,1.193259,1.5352080000000001,1.725993,1.968253,2.271909,2.706779,3.222821
11-2800434,,,,,,,,,,,0,0.296147,0.638096,0.828881,1.071141,1.3747969999999998,1.8096669999999997,2.325709
12-2800443,,,,,,,,,,,,0,0.341949,0.532734,0.7749940000000001,1.07865,1.5135200000000002,2.0295620000000003
13-2800450,,,,,,,,,,,,,0,0.19078499999999998,0.433045,0.736701,1.1715710000000001,1.6876130000000003
14-2804825,,,,,,,,,,,,,,0,0.24226,0.545916,0.9807859999999999,1.4968279999999998
15-2800455,,,,,,,,,,,,,,,0,0.303656,0.738526,1.254568
16-2800457,,,,,,,,,,,,,,,,0,0.43487,0.950912
17-2805616,,,,,,,,,,,,,,,,,0,0.516042
18-2805617,,,,,,,,,,,,,,,,,,0
