순번_정류장ID,1-2800840,2-2800839,3-2800981,4-2800992,5-2800526,6-2800528,7-2800532,8-2800535,9-2800544,10-2804975,11-2800560,12-2800569,13-2807222,14-2800563,15-2807520,16-2807504,17-2803359,18-2803214,19-2805065
1-2800840,0,0.302529,0.6268389999999999,0.981803,2.9450629999999998,3.2735429999999996,3.6589169999999998,4.077927,4.899789999999999,5.196107,6.527461,7.258005,7.589528,7.944489,10.274270999999999,20.115471,32.281141,32.458818,32.74387
2-2800839,,0,0.32431,0.6792739999999999,2.6425339999999995,2.9710139999999994,3.3563879999999995,3.7753979999999996,4.597261,4.893578,6.224932,6.955476,7.286999,7.64196,9.971741999999999,19.812942,31.978612,32.156289,32.441341
3-2800981,,,0,0.354964,2.318224,2.6467039999999997,3.032078,3.451088,4.272951,4.569268,5.900622,6.631166,6.962689,7.31765,9.647432,19.488632000000003,31.654302,31.831979,32.117031
4-2800992,,,,0,1.9632599999999998,2.29174,2.677114,3.096124,3.917987,4.214304,5.545658,6.2762020000000005,6.607725,6.962686000000001,9.292468,19.133668,31.299338,31.477014999999998,31.762067
5-2800526,,,,,0,0.32848,0.713854,1.132864,1.954727,2.2510440000000003,3.5823980000000004,4.3129420000000005,4.644465,4.999426000000001,7.329208,17.170408000000002,29.336078,29.513755,29.798807
6-2800528,,,,,,0,0.385374,0.804384,1.6262469999999998,1.9225639999999997,3.2539179999999996,3.9844619999999997,4.3159849999999995,4.670946,7.000728,16.841928,29.007598,29.185275,29.470327
7-2800532,,,,,,,0,0.41901000000000005,1.240873,1.5371899999999998,2.868544,3.599088,3.930611,4.285572,6.615354,16.456554,28.622224000000003,28.799901000000002,29.084953000000002
8-2800535,,,,,,,,0,0.8218629999999999,1.11818,2.449534,3.180078,3.5116009999999998,3.8665619999999996,6.196344,16.037544,28.203214000000003,28.380891000000002,28.665943000000002
9-2800544,,,,,,,,,0,0.296317,1.627671,2.358215,2.689738,3.044699,5.374480999999999,15.215681,27.381351000000002,27.559028,27.84408
10-2804975,,,,,,,,,,0,1.3313540000000001,2.0618980000000002,2.393421,2.748382,5.078163999999999,14.919364,27.085034,27.262711,27.547763
11-2800560,,,,,,,,,,,0,0.730544,1.0620669999999999,1.417028,3.74681,13.58801,25.753680000000003,25.931357000000002,26.216409000000002
12-2800569,,,,,,,,,,,,0,0.331523,0.6864840000000001,3.016266,12.857466,25.023136,25.200813,25.485865
13-2807222,,,,,,,,,,,,,0,0.354961,2.6847429999999997,12.525943,24.691613,24.86929,25.154342
14-2800563,,,,,,,,,,,,,,0,2.329782,12.170982,24.336652,24.514329,24.799381
15-2807520,,,,,,,,,,,,,,,0,9.8412,22.00687,22.184547,22.469599
16-2807504,,,,,,,,,,,,,,,,0,12.16567,12.343347,12.628399
17-2803359,,,,,,,,,,,,,,,,,0,0.177677,0.46272899999999995
18-2803214,,,,,,,,,,,,,,,,,,0,0.28505199999999997
19-2805065,,,,,,,,,,,,,,,,,,,0
