순번_정류장ID,1-2804422,2-2807563,3-2807568,4-2807569,5-2804424
1-2804422,0,0.011014,0.015293999999999999,0.018795,0.709504
2-2807563,,0,0.00428,0.007781,0.69849
3-2807568,,,0,0.0035009999999999998,0.69421
4-2807569,,,,0,0.690709
5-2804424,,,,,0
