순번_정류장ID,1-2803214,2-2803360,3-2805324,4-2803140,5-2807621,6-2807597,7-2805549
1-2803214,0,1.8426349999999998,2.6527579999999995,7.037703,7.496605,7.977143,9.597202
2-2803360,,0,0.8101229999999999,5.195068,5.65397,6.134508,7.754567
3-2805324,,,0,4.384945,4.843847,5.324385,6.944444000000001
4-2803140,,,,0,0.45890200000000003,0.93944,2.5594989999999997
5-2807621,,,,,0,0.480538,2.100597
6-2807597,,,,,,0,1.620059
7-2805549,,,,,,,0
