순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2804336,8-2804260,9-2807394,10-2804761,11-2804759,12-2804258,13-2804256,14-2806229,15-2804245,16-2804774,17-2804243,18-2804242,19-2806329,20-2804240,21-2804238,22-2804236,23-2804234,24-2806330,25-2803714,26-2803715,27-2803720,28-2803719,29-2803711,30-2806217,31-2803708,32-2803706,33-2804634,34-2803705,35-2803703,36-2807382,37-2804632,38-2804441,39-2806362,40-2806950,41-2806363,42-2803610,43-2803612,44-2806226,45-2803613,46-2803860,47-2803861,48-2800256,49-2806225,50-2803862,51-2803865,52-2806899,53-2806359,54-2804721,55-2803870,56-2800254,57-2803874
1-2800270,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.3185790000000002,1.396886,1.6289390000000001,1.8802320000000001,2.1505780000000003,2.6209860000000003,3.1097240000000004,3.3859790000000003,3.963292,5.321367,6.247048,7.098529,7.643688,8.098755,8.668235000000001,8.927175000000002,9.394920000000003,10.110946000000002,10.451012000000002,10.693578000000002,11.629659000000002,12.299013000000002,12.530254000000003,12.649312000000004,13.001880000000003,13.353176000000003,13.781832000000003,14.333773000000003,15.222868000000002,17.124669,18.590936,19.070733999999998,19.358940999999998,19.500369999999997,20.898962999999995,20.961908999999995,21.312282999999994,22.035690999999993,22.262078999999993,22.557784999999992,23.604777999999992,24.123854999999992,24.24728099999999,24.45732499999999,24.99063599999999,25.24833599999999,25.68120399999999,27.06386199999999,27.41581399999999,27.592580999999992,27.90921399999999,28.310771999999993
2-2800268,,0,0.312317,0.451566,0.702248,1.047285,1.125592,1.357645,1.608938,1.879284,2.349692,2.8384300000000002,3.114685,3.691998,5.050072999999999,5.975753999999999,6.827234999999999,7.372393999999999,7.827460999999999,8.396940999999998,8.655880999999999,9.123626,9.839652,10.179718,10.422284,11.358365,12.027719,12.25896,12.378018,12.730586,13.081882,13.510538,14.062479,14.951573999999999,16.853375,18.319641999999998,18.799439999999997,19.087646999999997,19.229075999999996,20.627668999999997,20.690614999999998,21.040988999999996,21.764396999999995,21.990784999999995,22.286490999999995,23.333483999999995,23.852560999999994,23.975986999999993,24.186030999999993,24.719341999999994,24.977041999999994,25.409909999999993,26.792567999999992,27.144519999999993,27.321286999999995,27.637919999999994,28.039477999999995
3-2800264,,,0,0.139249,0.389931,0.7349680000000001,0.8132750000000001,1.045328,1.296621,1.566967,2.037375,2.526113,2.802368,3.3796809999999997,4.737755999999999,5.663436999999999,6.514917999999999,7.060076999999999,7.5151439999999985,8.084623999999998,8.343563999999999,8.811309,9.527334999999999,9.867401,10.109967,11.046047999999999,11.715402,11.946643,12.065701,12.418269,12.769565,13.198221,13.750162,14.639256999999999,16.541058,18.007324999999998,18.487122999999997,18.775329999999997,18.916758999999995,20.315351999999997,20.378297999999997,20.728671999999996,21.452079999999995,21.678467999999995,21.974173999999994,23.021166999999995,23.540243999999994,23.663669999999993,23.873713999999993,24.407024999999994,24.664724999999994,25.097592999999993,26.480250999999992,26.832202999999993,27.008969999999994,27.325602999999994,27.727160999999995
4-2807245,,,,0,0.250682,0.595719,0.674026,0.9060790000000001,1.157372,1.427718,1.898126,2.386864,2.663119,3.240432,4.598507,5.524188,6.375668999999999,6.920827999999999,7.375894999999999,7.9453749999999985,8.204315,8.67206,9.388086,9.728152,9.970718,10.906799,11.576153,11.807394,11.926452000000001,12.279020000000001,12.630316,13.058972,13.610913,14.500008,16.401809,17.868076,18.347873999999997,18.636080999999997,18.777509999999996,20.176102999999998,20.239048999999998,20.589422999999996,21.312830999999996,21.539218999999996,21.834924999999995,22.881917999999995,23.400994999999995,23.524420999999993,23.734464999999993,24.267775999999994,24.525475999999994,24.958343999999993,26.341001999999992,26.692953999999993,26.869720999999995,27.186353999999994,27.587911999999996
5-2800262,,,,,0,0.345037,0.423344,0.655397,0.90669,1.177036,1.647444,2.136182,2.4124369999999997,2.98975,4.347825,5.273506,6.124987,6.670146,7.125213,7.694692999999999,7.953632999999999,8.421377999999999,9.137403999999998,9.477469999999999,9.720035999999999,10.656116999999998,11.325470999999999,11.556712,11.67577,12.028338,12.379634,12.80829,13.360230999999999,14.249325999999998,16.151127,17.617393999999997,18.097191999999996,18.385398999999996,18.526827999999995,19.925420999999993,19.988366999999993,20.33874099999999,21.06214899999999,21.28853699999999,21.58424299999999,22.63123599999999,23.15031299999999,23.27373899999999,23.48378299999999,24.01709399999999,24.27479399999999,24.70766199999999,26.090319999999988,26.44227199999999,26.61903899999999,26.93567199999999,27.33722999999999
6-2807367,,,,,,0,0.078307,0.31036,0.561653,0.8319989999999999,1.3024069999999999,1.7911449999999998,2.0673999999999997,2.6447129999999994,4.002787999999999,4.928468999999999,5.779949999999999,6.3251089999999985,6.780175999999998,7.349655999999998,7.608595999999998,8.076340999999998,8.792366999999997,9.132432999999997,9.374998999999997,10.311079999999997,10.980433999999997,11.211674999999998,11.330732999999999,11.683300999999998,12.034596999999998,12.463252999999998,13.015193999999997,13.904288999999997,15.806089999999998,17.272356999999996,17.752154999999995,18.040361999999995,18.181790999999993,19.580383999999995,19.643329999999995,19.993703999999994,20.717111999999993,20.943499999999993,21.239205999999992,22.286198999999993,22.805275999999992,22.92870199999999,23.13874599999999,23.67205699999999,23.92975699999999,24.36262499999999,25.74528299999999,26.09723499999999,26.274001999999992,26.590634999999992,26.992192999999993
7-2804336,,,,,,,0,0.232053,0.483346,0.753692,1.2241,1.712838,1.989093,2.5664059999999997,3.9244809999999997,4.850161999999999,5.701642999999999,6.246801999999999,6.7018689999999985,7.271348999999999,7.530288999999999,7.998033999999999,8.714059999999998,9.054125999999998,9.296691999999998,10.232772999999998,10.902126999999998,11.133367999999999,11.252426,11.604994,11.95629,12.384946,12.936886999999999,13.825981999999998,15.727782999999999,17.194049999999997,17.673847999999996,17.962054999999996,18.103483999999995,19.502076999999993,19.565022999999993,19.91539699999999,20.63880499999999,20.86519299999999,21.16089899999999,22.20789199999999,22.72696899999999,22.85039499999999,23.060438999999988,23.59374999999999,23.85144999999999,24.28431799999999,25.666975999999988,26.01892799999999,26.19569499999999,26.51232799999999,26.91388599999999
8-2804260,,,,,,,,0,0.251293,0.521639,0.9920469999999999,1.480785,1.75704,2.334353,3.692428,4.6181090000000005,5.46959,6.014749,6.469816,7.039296,7.298236,7.765981,8.482007,8.822073,9.064639,10.00072,10.670074,10.901315,11.020373000000001,11.372941,11.724237,12.152893,12.704834,13.593929,15.495729999999998,16.961996999999997,17.441794999999995,17.730001999999995,17.871430999999994,19.270023999999992,19.332969999999992,19.68334399999999,20.40675199999999,20.63313999999999,20.92884599999999,21.97583899999999,22.49491599999999,22.618341999999988,22.828385999999988,23.36169699999999,23.61939699999999,24.052264999999988,25.434922999999987,25.786874999999988,25.96364199999999,26.28027499999999,26.68183299999999
9-2807394,,,,,,,,,0,0.27034600000000003,0.740754,1.229492,1.505747,2.0830599999999997,3.4411349999999996,4.366816,5.218297,5.763456,6.218522999999999,6.788003,7.046943,7.514688,8.230713999999999,8.57078,8.813346,9.749426999999999,10.418781,10.650022,10.76908,11.121648,11.472944,11.9016,12.453541,13.342635999999999,15.244436999999998,16.710703999999996,17.190501999999995,17.478708999999995,17.620137999999994,19.018730999999995,19.081676999999996,19.432050999999994,20.155458999999993,20.381846999999993,20.677552999999993,21.724545999999993,22.243622999999992,22.36704899999999,22.57709299999999,23.110403999999992,23.36810399999999,23.80097199999999,25.18362999999999,25.53558199999999,25.712348999999993,26.028981999999992,26.430539999999993
10-2804761,,,,,,,,,,0,0.470408,0.959146,1.235401,1.812714,3.170789,4.09647,4.947951,5.49311,5.948176999999999,6.517657,6.776597,7.244342,7.960368,8.300434,8.543,9.479080999999999,10.148435,10.379676,10.498734,10.851302,11.202598,11.631254,12.183195,13.072289999999999,14.974090999999998,16.440357999999996,16.920155999999995,17.208362999999995,17.349791999999994,18.748384999999992,18.811330999999992,19.16170499999999,19.88511299999999,20.11150099999999,20.40720699999999,21.45419999999999,21.97327699999999,22.096702999999987,22.306746999999987,22.84005799999999,23.09775799999999,23.530625999999987,24.913283999999987,25.265235999999987,25.44200299999999,25.75863599999999,26.16019399999999
