순번_정류장ID,1-2800309,2-2805303,3-2800514,4-2800518,5-2800560,6-2800563,7-2807520,8-2807504
1-2800309,0,2.559428,3.232393,3.572309,6.143896,7.560924,9.890706,19.731906000000002
2-2805303,,0,0.6729649999999999,1.012881,3.584468,5.001496,7.331278,17.172478
3-2800514,,,0,0.339916,2.911503,4.328531,6.658313,16.499513
4-2800518,,,,0,2.571587,3.9886150000000002,6.318397,16.159597
5-2800560,,,,,0,1.4170280000000002,3.74681,13.58801
6-2800563,,,,,,0,2.329782,12.170982
7-2807520,,,,,,,0,9.8412
8-2807504,,,,,,,,0
