순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804668,18-2804161
1-2800270,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.2633670000000001,1.9028870000000002,2.2313310000000004,2.3665350000000003,2.793673,3.205846,3.6356420000000003,4.239972,5.314952,6.270166,6.813231,7.867496,8.404863
2-2800268,,0,0.312317,0.451566,0.702248,0.992073,1.631593,1.960037,2.095241,2.522379,2.934552,3.364348,3.968678,5.043658,5.9988719999999995,6.541936999999999,7.596201999999999,8.133569
3-2800264,,,0,0.139249,0.389931,0.679756,1.319276,1.6477199999999999,1.782924,2.2100619999999997,2.622235,3.052031,3.656361,4.731341,5.686554999999999,6.229619999999999,7.283884999999999,7.8212519999999985
4-2807245,,,,0,0.250682,0.5405070000000001,1.180027,1.508471,1.643675,2.0708130000000002,2.4829860000000004,2.9127820000000004,3.5171120000000005,4.592092,5.547306,6.090370999999999,7.144635999999999,7.682002999999999
5-2800262,,,,,0,0.289825,0.929345,1.257789,1.3929930000000001,1.8201310000000002,2.232304,2.6621,3.26643,4.34141,5.2966239999999996,5.839689,6.893954,7.431321
6-2807367,,,,,,0,0.63952,0.967964,1.1031680000000001,1.5303060000000002,1.942479,2.372275,2.976605,4.051585,5.006799,5.5498639999999995,6.6041289999999995,7.141495999999999
7-2800265,,,,,,,0,0.328444,0.463648,0.8907860000000001,1.302959,1.732755,2.337085,3.412065,4.367279,4.910344,5.964609,6.501976
8-2803682,,,,,,,,0,0.135204,0.562342,0.974515,1.404311,2.008641,3.083621,4.038835,4.581899999999999,5.636164999999999,6.173531999999999
9-2807369,,,,,,,,,0,0.427138,0.8393109999999999,1.269107,1.873437,2.948417,3.903631,4.446695999999999,5.500960999999999,6.038327999999999
10-2804135,,,,,,,,,,0,0.41217299999999996,0.841969,1.446299,2.521279,3.4764929999999996,4.019558,5.073823,5.61119
11-2803684,,,,,,,,,,,0,0.429796,1.034126,2.1091059999999997,3.0643199999999995,3.6073849999999994,4.66165,5.1990169999999996
12-2803685,,,,,,,,,,,,0,0.60433,1.6793099999999999,2.634524,3.1775889999999998,4.231854,4.769221
13-2804147,,,,,,,,,,,,,0,1.0749799999999998,2.030194,2.5732589999999997,3.6275239999999997,4.164891
14-2804149,,,,,,,,,,,,,,0,0.9552139999999999,1.4982789999999997,2.5525439999999997,3.089911
15-2804151,,,,,,,,,,,,,,,0,0.5430649999999999,1.59733,2.134697
16-2804162,,,,,,,,,,,,,,,,0,1.054265,1.5916320000000002
17-2804668,,,,,,,,,,,,,,,,,0,0.537367
18-2804161,,,,,,,,,,,,,,,,,,0
