순번_정류장ID,15-2801790,16-2801957,17-2801966,18-2801978,19-2801975,20-2801972,21-2801965,22-2801844,23-2801942,24-2801929,25-2801921
15-2801790,0,0.408827,0.825086,1.209492,1.530889,2.063558,2.340044,2.540186,2.833056,2.988637,3.222738
16-2801957,,0,0.416259,0.800665,1.122062,1.654731,1.931217,2.131359,2.4242289999999995,2.5798099999999997,2.8139109999999996
17-2801966,,,0,0.38440599999999997,0.705803,1.2384719999999998,1.5149579999999998,1.7150999999999998,2.00797,2.163551,2.397652
18-2801978,,,,0,0.321397,0.854066,1.130552,1.330694,1.623564,1.779145,2.013246
19-2801975,,,,,0,0.532669,0.809155,1.0092969999999999,1.3021669999999999,1.4577479999999998,1.691849
20-2801972,,,,,,0,0.276486,0.47662800000000005,0.769498,0.925079,1.15918
21-2801965,,,,,,,0,0.20014200000000001,0.493012,0.648593,0.882694
22-2801844,,,,,,,,0,0.29286999999999996,0.44845099999999993,0.6825519999999999
23-2801942,,,,,,,,,0,0.155581,0.38968200000000003
24-2801929,,,,,,,,,,0,0.23410100000000003
25-2801921,,,,,,,,,,,0
