순번_정류장ID,1-2805404,2-2801355,3-2805017,4-2801153,5-2801147,6-2801142,7-2801136,8-2801149,9-2801324,10-2801332,11-2801379,12-2801433,13-2801451,14-2801474,15-2801464,16-2801178,17-2801179,18-2801439,19-2801500,20-2801541,21-2801577,22-2801621,23-2801192
1-2805404,0,0.203014,0.877483,1.112484,1.255905,1.646608,1.9423540000000001,2.28785,2.436281,2.7995740000000002,3.308895,3.525415,3.8212710000000003,4.061162,4.481381000000001,5.063213000000001,5.352508000000001,5.982309000000001,6.357687000000001,6.622581000000001,7.225826000000001,7.631537000000002,7.997476000000002
2-2801355,,0,0.674469,0.90947,1.052891,1.443594,1.73934,2.084836,2.233267,2.59656,3.105881,3.322401,3.6182570000000003,3.8581480000000004,4.278367,4.860199000000001,5.149494000000001,5.779295000000001,6.154673000000002,6.419567000000002,7.022812000000002,7.428523000000002,7.794462000000002
3-2805017,,,0,0.23500100000000002,0.37842200000000004,0.7691250000000001,1.0648710000000001,1.4103670000000001,1.5587980000000001,1.922091,2.431412,2.647932,2.943788,3.183679,3.603898,4.18573,4.4750250000000005,5.104826000000001,5.480204000000001,5.745098000000001,6.348343000000002,6.754054000000002,7.119993000000002
4-2801153,,,,0,0.143421,0.534124,0.8298700000000001,1.1753660000000001,1.3237970000000001,1.68709,2.196411,2.412931,2.708787,2.948678,3.368897,3.950729,4.240024,4.8698250000000005,5.245203000000001,5.510097000000001,6.113342000000001,6.519053000000001,6.884992000000001
5-2801147,,,,,0,0.390703,0.6864490000000001,1.0319450000000001,1.180376,1.543669,2.05299,2.26951,2.565366,2.805257,3.225476,3.807308,4.096603,4.7264040000000005,5.101782000000001,5.366676000000001,5.969921000000001,6.375632000000001,6.741571000000001
6-2801142,,,,,,0,0.295746,0.6412420000000001,0.7896730000000001,1.1529660000000002,1.662287,1.8788070000000001,2.1746630000000002,2.4145540000000003,2.834773,3.416605,3.7059,4.335701,4.711079000000001,4.975973000000001,5.579218000000001,5.984929000000001,6.350868000000001
7-2801136,,,,,,,0,0.345496,0.493927,0.85722,1.366541,1.583061,1.878917,2.118808,2.539027,3.120859,3.410154,4.039955,4.415333,4.680227,5.283472000000001,5.689183000000001,6.055122000000001
8-2801149,,,,,,,,0,0.148431,0.511724,1.021045,1.237565,1.5334210000000001,1.7733120000000002,2.193531,2.775363,3.064658,3.694459,4.069837000000001,4.3347310000000006,4.937976000000001,5.343687000000001,5.709626000000001
9-2801324,,,,,,,,,0,0.363293,0.872614,1.089134,1.3849900000000002,1.6248810000000002,2.0451,2.626932,2.916227,3.546028,3.921406,4.1863,4.789545,5.1952560000000005,5.5611950000000006
10-2801332,,,,,,,,,,0,0.509321,0.725841,1.021697,1.2615880000000002,1.681807,2.263639,2.552934,3.182735,3.558113,3.823007,4.426252,4.831963,5.197902
11-2801379,,,,,,,,,,,0,0.21652,0.5123759999999999,0.7522669999999999,1.172486,1.754318,2.043613,2.673414,3.048792,3.313686,3.916931,4.322642,4.688581
12-2801433,,,,,,,,,,,,0,0.295856,0.535747,0.9559659999999999,1.537798,1.827093,2.456894,2.832272,3.097166,3.700411,4.106122,4.472061
13-2801451,,,,,,,,,,,,,0,0.239891,0.66011,1.2419419999999999,1.531237,2.161038,2.536416,2.80131,3.404555,3.8102660000000004,4.176205
14-2801474,,,,,,,,,,,,,,0,0.42021899999999995,1.002051,1.2913459999999999,1.921147,2.296525,2.561419,3.164664,3.5703750000000003,3.9363140000000003
15-2801464,,,,,,,,,,,,,,,0,0.581832,0.871127,1.500928,1.876306,2.1412,2.744445,3.150156,3.516095
16-2801178,,,,,,,,,,,,,,,,0,0.28929499999999997,0.919096,1.2944740000000001,1.559368,2.1626130000000003,2.5683240000000005,2.9342630000000005
17-2801179,,,,,,,,,,,,,,,,,0,0.629801,1.005179,1.270073,1.873318,2.279029,2.644968
18-2801439,,,,,,,,,,,,,,,,,,0,0.37537800000000004,0.6402720000000001,1.2435170000000002,1.6492280000000001,2.015167
19-2801500,,,,,,,,,,,,,,,,,,,0,0.264894,0.868139,1.27385,1.639789
20-2801541,,,,,,,,,,,,,,,,,,,,0,0.603245,1.008956,1.374895
21-2801577,,,,,,,,,,,,,,,,,,,,,0,0.405711,0.77165
22-2801621,,,,,,,,,,,,,,,,,,,,,,0,0.365939
23-2801192,,,,,,,,,,,,,,,,,,,,,,,0
