순번_정류장ID,1-2803214,2-2803360,3-2805324,4-2803140
1-2803214,0,1.8426349999999998,2.6527579999999995,7.037703
2-2803360,,0,0.8101229999999999,5.195068
3-2805324,,,0,4.384945
4-2803140,,,,0
