순번_정류장ID,14-2801785,15-2801986,16-2802030,17-2802053,18-2802041,19-2802027,20-2801886,21-2801875,22-2801993,23-2801883,24-2802009,25-2802046
14-2801785,0,0.460042,0.783156,1.079785,1.324514,1.587631,1.775896,2.059722,2.1883269999999997,2.5292129999999995,2.9201599999999996,3.1855139999999995
15-2801986,,0,0.323114,0.6197429999999999,0.8644719999999999,1.127589,1.3158539999999999,1.5996799999999998,1.7282849999999998,2.069171,2.460118,2.725472
16-2802030,,,0,0.296629,0.541358,0.804475,0.9927400000000001,1.276566,1.4051710000000002,1.7460570000000002,2.137004,2.402358
17-2802053,,,,0,0.244729,0.507846,0.696111,0.9799370000000001,1.1085420000000001,1.4494280000000002,1.840375,2.105729
18-2802041,,,,,0,0.263117,0.451382,0.7352080000000001,0.863813,1.2046990000000002,1.5956460000000001,1.8610000000000002
19-2802027,,,,,,0,0.18826500000000002,0.47209100000000004,0.600696,0.941582,1.332529,1.597883
20-2801886,,,,,,,0,0.283826,0.412431,0.753317,1.144264,1.409618
21-2801875,,,,,,,,0,0.128605,0.469491,0.860438,1.1257920000000001
22-2801993,,,,,,,,,0,0.340886,0.731833,0.9971869999999999
23-2801883,,,,,,,,,,0,0.390947,0.656301
24-2802009,,,,,,,,,,,0,0.265354
25-2802046,,,,,,,,,,,,0
