순번_정류장ID,22-2802677,23-2802692,24-2805075,25-2802721,26-2802123,27-2802116,28-2802112,29-2802094,30-2802052,31-2802027,32-2801886,33-2801875,34-2801966,35-2801970,36-2801876,37-2801877
22-2802677,0,0.411426,0.741322,1.187522,1.43352,1.609248,1.767327,2.30229,2.8419230000000004,3.1219200000000003,3.385037,3.573302,4.00368,4.603483,4.8021709999999995,4.985625
23-2802692,,0,0.329896,0.776096,1.022094,1.197822,1.355901,1.890864,2.430497,2.7104939999999997,2.9736109999999996,3.1618759999999995,3.5922539999999996,4.192056999999999,4.390744999999999,4.574198999999999
24-2805075,,,0,0.4462,0.692198,0.867926,1.026005,1.560968,2.100601,2.380598,2.643715,2.8319799999999997,3.262358,3.862161,4.060849,4.244303
25-2802721,,,,0,0.245998,0.421726,0.579805,1.114768,1.654401,1.934398,2.197515,2.38578,2.816158,3.4159610000000002,3.6146490000000004,3.7981030000000002
26-2802123,,,,,0,0.175728,0.33380699999999996,0.8687699999999999,1.4084029999999998,1.6884,1.951517,2.139782,2.57016,3.169963,3.3686510000000003,3.552105
27-2802116,,,,,,0,0.158079,0.6930419999999999,1.232675,1.512672,1.775789,1.964054,2.394432,2.994235,3.1929230000000004,3.3763770000000006
28-2802112,,,,,,,0,0.534963,1.074596,1.3545930000000002,1.6177100000000002,1.805975,2.2363530000000003,2.8361560000000003,3.0348440000000005,3.2182980000000008
29-2802094,,,,,,,,0,0.539633,0.8196300000000001,1.0827470000000001,1.2710120000000003,1.7013900000000002,2.301193,2.4998810000000002,2.6833350000000005
30-2802052,,,,,,,,,0,0.279997,0.543114,0.731379,1.161757,1.7615599999999998,1.9602479999999998,2.1437019999999998
31-2802027,,,,,,,,,,0,0.263117,0.451382,0.88176,1.481563,1.680251,1.863705
32-2801886,,,,,,,,,,,0,0.18826500000000002,0.618643,1.2184460000000001,1.4171340000000001,1.6005880000000001
33-2801875,,,,,,,,,,,,0,0.430378,1.030181,1.228869,1.412323
34-2801966,,,,,,,,,,,,,0,0.599803,0.798491,0.981945
35-2801970,,,,,,,,,,,,,,0,0.198688,0.382142
36-2801876,,,,,,,,,,,,,,,0,0.183454
37-2801877,,,,,,,,,,,,,,,,0
