순번_정류장ID,1-2803778,2-2803779,3-2803781,4-2803783,5-2803785,6-2805590,7-2806868,8-2803787,9-2803788,10-2805589,11-2803786,12-2803784,13-2801997,14-2802017,15-2802049,16-2804800,17-2802084
1-2803778,0,0.636749,0.9653240000000001,1.639234,1.937913,2.359213,2.766203,3.311804,4.136704,4.450916,5.10334,6.047998,6.676044,7.022157,7.344244,7.546889,7.847554000000001
2-2803779,,0,0.328575,1.002485,1.301164,1.722464,2.129454,2.675055,3.499955,3.814167,4.466591,5.411249,6.039295,6.385408,6.707495,6.91014,7.210805000000001
3-2803781,,,0,0.67391,0.9725889999999999,1.393889,1.800879,2.3464799999999997,3.1713799999999996,3.4855919999999996,4.1380159999999995,5.082673999999999,5.710719999999999,6.056832999999999,6.378919999999999,6.581564999999999,6.88223
4-2803783,,,,0,0.298679,0.7199789999999999,1.1269689999999999,1.67257,2.49747,2.811682,3.4641059999999997,4.408764,5.03681,5.382923,5.70501,5.907655,6.2083200000000005
5-2803785,,,,,0,0.4213,0.82829,1.373891,2.198791,2.513003,3.1654269999999998,4.110085,4.738131,5.084244,5.406331,5.608976,5.909641000000001
6-2805590,,,,,,0,0.40699,0.952591,1.777491,2.091703,2.7441269999999998,3.6887849999999998,4.316831,4.6629439999999995,4.985030999999999,5.187676,5.488341
7-2806868,,,,,,,0,0.545601,1.370501,1.684713,2.337137,3.281795,3.9098409999999997,4.255954,4.578041,4.780686,5.081351000000001
8-2803787,,,,,,,,0,0.8249,1.139112,1.7915359999999998,2.736194,3.3642399999999997,3.7103529999999996,4.032439999999999,4.235085,4.53575
9-2803788,,,,,,,,,0,0.314212,0.966636,1.911294,2.53934,2.885453,3.20754,3.410185,3.7108499999999998
10-2805589,,,,,,,,,,0,0.652424,1.597082,2.2251279999999998,2.5712409999999997,2.8933279999999995,3.0959729999999994,3.3966379999999994
11-2803786,,,,,,,,,,,0,0.944658,1.5727039999999999,1.9188169999999998,2.2409039999999996,2.4435489999999995,2.7442139999999995
12-2803784,,,,,,,,,,,,0,0.628046,0.974159,1.296246,1.498891,1.799556
13-2801997,,,,,,,,,,,,,0,0.346113,0.6682,0.870845,1.17151
14-2802017,,,,,,,,,,,,,,0,0.322087,0.524732,0.8253969999999999
15-2802049,,,,,,,,,,,,,,,0,0.202645,0.50331
16-2804800,,,,,,,,,,,,,,,,0,0.300665
17-2802084,,,,,,,,,,,,,,,,,0
