순번_정류장ID,1-2807429,2-2805676,3-2805630,4-2807038,5-2805470,6-2806564,7-2806802,8-2803678,9-2803679,10-2807581,11-2807481,12-2803183,13-2805472,14-2803186,15-2803163,16-2807626,17-2805691,18-2805637,19-2805693,20-2805695,21-2805638,22-2806605,23-2806538
1-2807429,0,0.420497,0.742504,0.9569670000000001,1.291606,1.563638,1.965211,2.253138,2.831051,3.09945,3.7159180000000003,4.1470530000000005,4.430103000000001,4.829223000000001,5.210599000000001,5.578853000000001,5.893796000000002,6.347248000000002,7.307889000000002,8.153691000000002,8.512072000000002,8.993901000000001,9.995387000000001
2-2805676,,0,0.32200700000000004,0.53647,0.8711089999999999,1.143141,1.544714,1.832641,2.410554,2.678953,3.295421,3.7265560000000004,4.009606000000001,4.408726000000001,4.790102000000001,5.158356000000001,5.473299000000001,5.926751000000001,6.887392000000001,7.733194000000001,8.091575,8.573404,9.57489
3-2805630,,,0,0.21446300000000001,0.549102,0.821134,1.222707,1.510634,2.088547,2.356946,2.973414,3.4045490000000003,3.6875990000000005,4.086719,4.468095000000001,4.836349000000001,5.1512920000000015,5.604744000000002,6.565385000000002,7.411187000000002,7.769568000000001,8.251397,9.252883
4-2807038,,,,0,0.33463899999999996,0.606671,1.008244,1.296171,1.8740839999999999,2.142483,2.7589509999999997,3.190086,3.4731360000000002,3.872256,4.2536320000000005,4.621886000000001,4.936829000000001,5.390281000000002,6.3509220000000015,7.1967240000000015,7.555105000000001,8.036934,9.03842
5-2805470,,,,,0,0.272032,0.673605,0.961532,1.5394450000000002,1.8078440000000002,2.4243120000000005,2.8554470000000007,3.138497000000001,3.537617000000001,3.918993000000001,4.287247000000001,4.60219,5.055642000000001,6.0162830000000005,6.862085,7.220466,7.702295,8.703781000000001
6-2806564,,,,,,0,0.401573,0.6895,1.267413,1.535812,2.15228,2.5834150000000005,2.8664650000000007,3.2655850000000006,3.6469610000000006,4.015215,4.330158000000001,4.783610000000001,5.744251000000001,6.590053000000001,6.948434000000001,7.430263000000001,8.431749000000002
7-2806802,,,,,,,0,0.287927,0.8658399999999999,1.134239,1.750707,2.181842,2.464892,2.864012,3.2453879999999997,3.6136419999999996,3.9285849999999995,4.3820369999999995,5.342677999999999,6.188479999999999,6.546860999999999,7.028689999999999,8.030175999999999
8-2803678,,,,,,,,0,0.577913,0.846312,1.46278,1.893915,2.176965,2.576085,2.957461,3.3257149999999998,3.6406579999999997,4.09411,5.0547509999999996,5.9005529999999995,6.258933999999999,6.740762999999999,7.742248999999999
9-2803679,,,,,,,,,0,0.268399,0.8848670000000001,1.3160020000000001,1.5990520000000001,1.998172,2.379548,2.747802,3.062745,3.516197,4.476838,5.32264,5.681020999999999,6.16285,7.164336
10-2807581,,,,,,,,,,0,0.616468,1.047603,1.330653,1.729773,2.111149,2.479403,2.794346,3.247798,4.208439,5.054241,5.412622,5.894451,6.895937
11-2807481,,,,,,,,,,,0,0.43113500000000005,0.7141850000000001,1.113305,1.494681,1.8629349999999998,2.1778779999999998,2.6313299999999997,3.5919709999999996,4.437773,4.796154,5.277983,6.279469
12-2803183,,,,,,,,,,,,0,0.28305,0.6821699999999999,1.063546,1.4318,1.746743,2.200195,3.1608359999999998,4.006638,4.365018999999999,4.846848,5.8483339999999995
13-2805472,,,,,,,,,,,,,0,0.39912,0.7804960000000001,1.1487500000000002,1.4636930000000001,1.917145,2.877786,3.723588,4.081969,4.563798,5.565284
14-2803186,,,,,,,,,,,,,,0,0.38137600000000005,0.74963,1.064573,1.518025,2.478666,3.324468,3.682849,4.164678,5.166164
15-2803163,,,,,,,,,,,,,,,0,0.36825399999999997,0.6831969999999999,1.136649,2.09729,2.943092,3.301473,3.783302,4.784788
16-2807626,,,,,,,,,,,,,,,,0,0.314943,0.7683949999999999,1.7290359999999998,2.5748379999999997,2.933219,3.4150479999999996,4.4165339999999995
17-2805691,,,,,,,,,,,,,,,,,0,0.453452,1.414093,2.259895,2.6182760000000003,3.100105,4.101591
18-2805637,,,,,,,,,,,,,,,,,,0,0.960641,1.806443,2.164824,2.6466529999999997,3.6481389999999996
19-2805693,,,,,,,,,,,,,,,,,,,0,0.845802,1.204183,1.686012,2.687498
20-2805695,,,,,,,,,,,,,,,,,,,,0,0.358381,0.84021,1.8416960000000002
21-2805638,,,,,,,,,,,,,,,,,,,,,0,0.481829,1.4833150000000002
22-2806605,,,,,,,,,,,,,,,,,,,,,,0,1.001486
23-2806538,,,,,,,,,,,,,,,,,,,,,,,0
