순번_정류장ID,1-2800648,2-2800328,3-2800640,4-2800634,5-2800624,6-2800619,7-2806214,8-2806243,9-2805827,10-2805999
1-2800648,0,0.321606,0.685343,1.354218,1.6345129999999999,2.097248,3.142486,3.721526,4.122181,4.397566
2-2800328,,0,0.363737,1.0326119999999999,1.3129069999999998,1.775642,2.82088,3.39992,3.800575,4.07596
3-2800640,,,0,0.668875,0.94917,1.411905,2.457143,3.036183,3.436838,3.712223
4-2800634,,,,0,0.28029499999999996,0.7430300000000001,1.788268,2.367308,2.767963,3.043348
5-2800624,,,,,0,0.46273500000000006,1.507973,2.087013,2.4876679999999998,2.7630529999999998
6-2800619,,,,,,0,1.045238,1.6242779999999999,2.024933,2.300318
7-2806214,,,,,,,0,0.57904,0.979695,1.25508
8-2806243,,,,,,,,0,0.40065500000000004,0.67604
9-2805827,,,,,,,,,0,0.275385
10-2805999,,,,,,,,,,0
