순번_정류장ID,1-2805936,2-2805934,3-2800328,4-2800640,5-2800636,6-2800637,7-2800647,8-2800666,9-2800678,10-2800688,11-2805582,12-2800715,13-2800752,14-2800788,15-2800799,16-2800804,17-2803056,18-2802651,19-2803065,20-2803067,21-2803040,22-2803071,23-2803082,24-2803093,25-2803107,26-2803121,27-2803125,28-2803225,29-2803233,30-2803234,31-2803237,32-2803241,33-2802763,34-2802635,35-2802730,36-2802727,37-2802734,38-2802756,39-2802782,40-2802829,41-2802814,42-2802801,43-2802791,44-2802784,45-2802785,46-2802796,47-2802177,48-2802817,49-2802618,50-2802176,51-2802169,52-2802154,53-2801846,54-2802103,55-2802067,56-2802056,57-2802050,58-2802075,59-2802089,60-2802079,61-2802060,62-2804815,63-2802071,64-2802091,65-2802097,66-2802088,67-2802081,68-2802066,69-2802044,70-2801906,71-2802004,72-2802000,73-2807183,74-2802018,75-2800097,76-2800060,77-2800094,78-2800092,79-2800091,80-2800081,81-2800085,82-2800087,83-2800090,84-2800089
1-2805936,0,0.240421,0.655051,0.9766570000000001,1.2872970000000001,1.511843,1.764899,2.063852,2.533566,2.971768,3.174807,3.344898,3.844002,4.51583,4.932671,5.168713,5.532475000000001,6.0345960000000005,6.4471050000000005,6.881172,7.025298,7.393909000000001,7.6956750000000005,8.098622,8.360185000000001,8.553923000000001,8.956323000000001,9.142896,9.575191,9.827734,10.120645999999999,10.534864999999998,11.090575999999999,11.908097999999999,12.406996999999999,12.862011999999998,13.281773999999999,13.606260999999998,14.097184999999998,14.780989999999997,15.168950999999998,15.493673999999999,16.040844,16.304228,16.711976999999997,16.990679999999998,17.307899,17.753811,18.082653,18.328954,18.701135999999998,19.101854,19.524670999999998,19.826082,20.281942,20.583573,20.917978,21.330691,21.643004,21.815698,22.203788,22.35792,22.568826,22.716513000000003,22.898698000000003,23.125506,23.267095,23.576929,23.927496,24.663987000000002,24.858157000000002,25.242709,25.943887,26.480837,27.210764,27.652345,28.154657,28.458637,28.79574,29.602680999999997,29.795023999999998,30.173371999999997,30.483477999999998,30.909464999999997
2-2805934,,0,0.41463,0.736236,1.0468760000000001,1.271422,1.524478,1.823431,2.293145,2.731347,2.934386,3.104477,3.603581,4.275409,4.69225,4.928292,5.292054,5.794175,6.206684,6.640751,6.784877,7.153487999999999,7.455253999999999,7.858200999999999,8.119764,8.313502,8.715902,8.902474999999999,9.334769999999999,9.587312999999998,9.880224999999998,10.294443999999997,10.850154999999997,11.667676999999998,12.166575999999997,12.621590999999997,13.041352999999997,13.365839999999997,13.856763999999997,14.540568999999996,14.928529999999997,15.253252999999997,15.800422999999997,16.063806999999997,16.471555999999996,16.750258999999996,17.067477999999998,17.513389999999998,17.842232,18.088532999999998,18.460714999999997,18.861432999999998,19.284249999999997,19.585660999999998,20.041521,20.343152,20.677557,21.09027,21.402583,21.575277,21.963366999999998,22.117499,22.328405,22.476092,22.658277000000002,22.885085,23.026674,23.336508,23.687075,24.423566,24.617736,25.002288,25.703466,26.240416,26.970343,27.411924,27.914236,28.218215999999998,28.555318999999997,29.362259999999996,29.554602999999997,29.932950999999996,30.243056999999997,30.669043999999996
3-2800328,,,0,0.321606,0.6322460000000001,0.8567920000000001,1.1098480000000002,1.4088010000000002,1.8785150000000002,2.316717,2.519756,2.6898470000000003,3.1889510000000003,3.8607790000000004,4.277620000000001,4.513662000000001,4.877424000000001,5.379545000000001,5.792054000000001,6.226121000000001,6.370247000000001,6.7388580000000005,7.040624,7.443571,7.705134,7.898872,8.301271999999999,8.487844999999998,8.920139999999998,9.172682999999997,9.465594999999997,9.879813999999996,10.435524999999997,11.253046999999997,11.751945999999997,12.206960999999996,12.626722999999997,12.951209999999996,13.442133999999996,14.125938999999995,14.513899999999996,14.838622999999997,15.385792999999996,15.649176999999996,16.056925999999997,16.335628999999997,16.652848,17.09876,17.427602,17.673903,18.046084999999998,18.446803,18.869619999999998,19.171031,19.626891,19.928522,20.262927,20.67564,20.987953,21.160647,21.548737,21.702869,21.913775,22.061462000000002,22.243647000000003,22.470455,22.612044,22.921878,23.272445,24.008936000000002,24.203106000000002,24.587658,25.288836,25.825786,26.555713,26.997294,27.499606,27.803586,28.140689,28.947629999999997,29.139972999999998,29.518320999999997,29.828426999999998,30.254413999999997
4-2800640,,,,0,0.31064,0.535186,0.7882420000000001,1.0871950000000001,1.556909,1.995111,2.19815,2.3682410000000003,2.8673450000000003,3.5391730000000003,3.956014,4.192056,4.555818,5.057939,5.470448,5.904515,6.048641,6.4172519999999995,6.719017999999999,7.121964999999999,7.383527999999999,7.577265999999999,7.979665999999999,8.166239,8.598533999999999,8.851076999999998,9.143988999999998,9.558207999999997,10.113918999999997,10.931440999999998,11.430339999999998,11.885354999999997,12.305116999999997,12.629603999999997,13.120527999999997,13.804332999999996,14.192293999999997,14.517016999999997,15.064186999999997,15.327570999999997,15.735319999999998,16.014022999999998,16.331242,16.777154,17.105996,17.352297,17.724479,18.125197,18.548014,18.849425,19.305285,19.606916000000002,19.941321000000002,20.354034000000002,20.666347000000002,20.839041,21.227131,21.381263,21.592169000000002,21.739856000000003,21.922041000000004,22.148849000000002,22.290438,22.600272,22.950839000000002,23.687330000000003,23.881500000000003,24.266052000000002,24.96723,25.50418,26.234107,26.675688,27.178,27.48198,27.819083,28.626023999999997,28.818367,29.196714999999998,29.506821,29.932807999999998
5-2800636,,,,,0,0.224546,0.47760199999999997,0.776555,1.246269,1.684471,1.88751,2.057601,2.556705,3.228533,3.645374,3.8814159999999998,4.245178,4.747299,5.159808,5.593875,5.738001,6.106612,6.408378,6.811325,7.072888,7.266626,7.669026,7.855599,8.287894,8.540436999999999,8.833348999999998,9.247567999999998,9.803278999999998,10.620800999999998,11.119699999999998,11.574714999999998,11.994476999999998,12.318963999999998,12.809887999999997,13.493692999999997,13.881653999999997,14.206376999999998,14.753546999999998,15.016930999999998,15.424679999999999,15.703382999999999,16.020602,16.466514,16.795356,17.041657,17.413839,17.814557,18.237374,18.538785,18.994645000000002,19.296276000000002,19.630681000000003,20.043394000000003,20.355707000000002,20.528401000000002,20.916491,21.070623,21.281529000000003,21.429216000000004,21.611401000000004,21.838209000000003,21.979798000000002,22.289632,22.640199000000003,23.376690000000004,23.570860000000003,23.955412000000003,24.65659,25.193540000000002,25.923467000000002,26.365048,26.86736,27.17134,27.508443,28.315383999999998,28.507727,28.886074999999998,29.196181,29.622168
6-2800637,,,,,,0,0.253056,0.552009,1.021723,1.459925,1.6629639999999999,1.8330549999999999,2.332159,3.003987,3.4208279999999998,3.6568699999999996,4.020632,4.522753,4.935262,5.369329,5.5134549999999996,5.882066,6.183832,6.586779,6.848342,7.0420799999999995,7.4444799999999995,7.631053,8.063348,8.315890999999999,8.608802999999998,9.023021999999997,9.578732999999998,10.396254999999998,10.895153999999998,11.350168999999998,11.769930999999998,12.094417999999997,12.585341999999997,13.269146999999997,13.657107999999997,13.981830999999998,14.529000999999997,14.792384999999998,15.200133999999998,15.478836999999999,15.796055999999998,16.241968,16.57081,16.817111,17.189293,17.590011,18.012828,18.314239,18.770099000000002,19.071730000000002,19.406135000000003,19.818848000000003,20.131161000000002,20.303855000000002,20.691945,20.846077,21.056983000000002,21.204670000000004,21.386855000000004,21.613663000000003,21.755252000000002,22.065086,22.415653000000002,23.152144000000003,23.346314000000003,23.730866000000002,24.432044,24.968994000000002,25.698921000000002,26.140502,26.642814,26.946794,27.283897,28.090837999999998,28.283181,28.661528999999998,28.971635,29.397622
7-2800647,,,,,,,0,0.298953,0.768667,1.206869,1.409908,1.579999,2.079103,2.750931,3.167772,3.4038139999999997,3.7675759999999996,4.269697,4.682206,5.116273,5.260399,5.629009999999999,5.930775999999999,6.333722999999999,6.595285999999999,6.789023999999999,7.191423999999999,7.377996999999999,7.810291999999999,8.062834999999998,8.355746999999997,8.769965999999997,9.325676999999997,10.143198999999997,10.642097999999997,11.097112999999997,11.516874999999997,11.841361999999997,12.332285999999996,13.016090999999996,13.404051999999997,13.728774999999997,14.275944999999997,14.539328999999997,14.947077999999998,15.225780999999998,15.542999999999997,15.988911999999997,16.317753999999997,16.564054999999996,16.936236999999995,17.336954999999996,17.759771999999995,18.061182999999996,18.517042999999997,18.818673999999998,19.153078999999998,19.565792,19.878104999999998,20.050798999999998,20.438888999999996,20.593020999999997,20.803926999999998,20.951614,21.133799,21.360606999999998,21.502195999999998,21.812029999999996,22.162596999999998,22.899088,23.093258,23.477809999999998,24.178987999999997,24.715937999999998,25.445864999999998,25.887445999999997,26.389757999999997,26.693737999999996,27.030840999999995,27.837781999999994,28.030124999999995,28.408472999999994,28.718578999999995,29.144565999999994
8-2800666,,,,,,,,0,0.469714,0.9079160000000001,1.1109550000000001,1.2810460000000001,1.7801500000000001,2.451978,2.868819,3.1048609999999996,3.4686229999999996,3.970744,4.383253,4.81732,4.961446,5.330057,5.631823,6.03477,6.296333,6.4900709999999995,6.892471,7.079044,7.5113389999999995,7.763882,8.056794,8.471013,9.026724,9.844246,10.343145,10.79816,11.217922,11.542409,12.033332999999999,12.717137999999998,13.105099,13.429822,13.976992,14.240376,14.648125,14.926828,15.244047,15.689959,16.018801,16.265102,16.637283999999998,17.038002,17.460818999999997,17.76223,18.21809,18.519721,18.854126,19.266839,19.579152,19.751846,20.139936,20.294068,20.504974,20.652661000000002,20.834846000000002,21.061654,21.203243,21.513077,21.863644,22.600135,22.794305,23.178857,23.880035,24.416985,25.146912,25.588493,26.090805,26.394785,26.731887999999998,27.538828999999996,27.731171999999997,28.109519999999996,28.419625999999997,28.845612999999997
9-2800678,,,,,,,,,0,0.43820200000000004,0.6412410000000001,0.811332,1.3104360000000002,1.9822640000000002,2.399105,2.635147,2.998909,3.50103,3.913539,4.347606,4.491732,4.860343,5.162109,5.565056,5.826619,6.020357,6.422757,6.60933,7.041625,7.294168,7.58708,8.001299,8.55701,9.374532,9.873431,10.328446,10.748208,11.072695,11.563619,12.247423999999999,12.635385,12.960108,13.507278,13.770662,14.178411,14.457114,14.774333,15.220245,15.549087,15.795388,16.16757,16.568288000000003,16.991105,17.292516000000003,17.748376000000004,18.050007000000004,18.384412000000005,18.797125000000005,19.109438000000004,19.282132000000004,19.670222000000003,19.824354000000003,20.035260000000005,20.182947000000006,20.365132000000006,20.591940000000005,20.733529000000004,21.043363000000003,21.393930000000005,22.130421000000005,22.324591000000005,22.709143000000005,23.410321000000003,23.947271000000004,24.677198000000004,25.118779000000004,25.621091000000003,25.925071000000003,26.262174,27.069115,27.261458,27.639806,27.949912,28.375899
10-2800688,,,,,,,,,,0,0.203039,0.37313,0.872234,1.5440619999999998,1.9609029999999998,2.196945,2.560707,3.0628279999999997,3.4753369999999997,3.9094039999999994,4.053529999999999,4.422141,4.723907,5.126854,5.388417,5.582154999999999,5.984554999999999,6.1711279999999995,6.603422999999999,6.855966,7.148878,7.563097,8.118808,8.93633,9.435229,9.890244,10.310006,10.634492999999999,11.125416999999999,11.809221999999998,12.197182999999999,12.521906,13.069075999999999,13.33246,13.740209,14.018912,14.336131,14.782043,15.110885,15.357186,15.729368000000001,16.130086000000002,16.552903,16.854314000000002,17.310174000000004,17.611805000000004,17.946210000000004,18.358923000000004,18.671236000000004,18.843930000000004,19.232020000000002,19.386152000000003,19.597058000000004,19.744745000000005,19.926930000000006,20.153738000000004,20.295327000000004,20.605161000000003,20.955728000000004,21.692219000000005,21.886389000000005,22.270941000000004,22.972119000000003,23.509069000000004,24.238996000000004,24.680577000000003,25.182889000000003,25.486869000000002,25.823972,26.630913,26.823256,27.201604,27.51171,27.937697
