순번_정류장ID,27-2803478,28-2806276,29-2805175,30-2805166,31-2805164,32-2805167,33-2805162,34-2805160,35-2805158,36-2807491,37-2807490,38-2800900,39-2800403,40-2800432,41-2800435,42-2800325,43-2800321,44-2800395,45-2800399,46-2800316,47-2800410,48-2800416
27-2803478,0,0.75327,1.630448,2.430808,2.80302,3.294226,3.828023,4.352958,5.10738,11.840138,15.817105999999999,25.147039999999997,27.857415999999997,29.777995999999998,30.072885999999997,30.513512,31.427183999999997,33.96653,34.437647999999996,34.585187999999995,36.160624999999996,36.494747999999994
28-2806276,,0,0.877178,1.6775380000000002,2.0497500000000004,2.5409560000000004,3.0747530000000003,3.5996880000000004,4.35411,11.086868,15.063836,24.39377,27.104146,29.024726,29.319616,29.760242,30.673914,33.21326,33.684377999999995,33.831917999999995,35.407354999999995,35.741477999999994
29-2805175,,,0,0.8003600000000001,1.1725720000000002,1.6637780000000002,2.1975750000000005,2.7225100000000007,3.4769320000000006,10.209690000000002,14.186658000000001,23.516592000000003,26.226968000000003,28.147548000000004,28.442438000000003,28.883064000000005,29.796736000000003,32.336082000000005,32.8072,32.95474,34.530177,34.8643
30-2805166,,,,0,0.372212,0.863418,1.397215,1.9221500000000002,2.676572,9.40933,13.386298,22.716231999999998,25.426607999999998,27.347188,27.642077999999998,28.082704,28.996375999999998,31.535722,32.00684,32.154379999999996,33.729817,34.063939999999995
31-2805164,,,,,0,0.49120600000000003,1.025003,1.549938,2.30436,9.037118,13.014085999999999,22.34402,25.054396,26.974976,27.269866,27.710492000000002,28.624164,31.163510000000002,31.634628000000003,31.782168000000002,33.357605,33.691728
32-2805167,,,,,,0,0.5337970000000001,1.058732,1.813154,8.545912000000001,12.52288,21.852814000000002,24.563190000000002,26.483770000000003,26.778660000000002,27.219286000000004,28.132958000000002,30.672304000000004,31.143422000000005,31.290962000000004,32.866399,33.200522
33-2805162,,,,,,,0,0.524935,1.279357,8.012115000000001,11.989083,21.319017000000002,24.029393000000002,25.949973000000004,26.244863000000002,26.685489000000004,27.599161000000002,30.138507000000004,30.609625000000005,30.757165000000004,32.332602,32.666725
34-2805160,,,,,,,,0,0.754422,7.48718,11.464148,20.794082,23.504458,25.425038,25.719928,26.160554,27.074226,29.613571999999998,30.08469,30.232229999999998,31.807667,32.14179
35-2805158,,,,,,,,,0,6.7327580000000005,10.709726,20.039659999999998,22.750035999999998,24.670616,24.965505999999998,25.406132,26.319803999999998,28.85915,29.330268,29.477808,31.053245,31.387368000000002
36-2807491,,,,,,,,,,0,3.976968,13.306902,16.017277999999997,17.937858,18.232747999999997,18.673374,19.587045999999997,22.126391999999996,22.597509999999996,22.745049999999996,24.320486999999996,24.654609999999998
37-2807490,,,,,,,,,,,0,9.329934,12.04031,13.96089,14.25578,14.696406,15.610078,18.149424,18.620542,18.768082,20.343519,20.677642000000002
38-2800900,,,,,,,,,,,,0,2.7103759999999997,4.630955999999999,4.925845999999999,5.366471999999999,6.280143999999999,8.819489999999998,9.290607999999999,9.438147999999998,11.013584999999999,11.347707999999999
39-2800403,,,,,,,,,,,,,0,1.92058,2.21547,2.656096,3.569768,6.109114,6.580232,6.727772,8.303208999999999,8.637331999999999
40-2800432,,,,,,,,,,,,,,0,0.29489,0.7355160000000001,1.649188,4.188534000000001,4.659652,4.807192000000001,6.3826290000000006,6.7167520000000005
41-2800435,,,,,,,,,,,,,,,0,0.440626,1.354298,3.893644,4.364762,4.512302,6.087739,6.421862
42-2800325,,,,,,,,,,,,,,,,0,0.9136719999999999,3.453018,3.9241360000000003,4.071676,5.647113,5.981236
43-2800321,,,,,,,,,,,,,,,,,0,2.539346,3.0104640000000003,3.158004,4.733441,5.067564
44-2800395,,,,,,,,,,,,,,,,,,0,0.47111800000000004,0.618658,2.194095,2.528218
45-2800399,,,,,,,,,,,,,,,,,,,0,0.14754,1.722977,2.0571
46-2800316,,,,,,,,,,,,,,,,,,,,0,1.575437,1.90956
47-2800410,,,,,,,,,,,,,,,,,,,,,0,0.334123
48-2800416,,,,,,,,,,,,,,,,,,,,,,0
