순번_정류장ID,12-2806325,13-2804109,14-2804107,15-2804105,16-2804103,17-2804731,18-2804033,19-2800268,20-2804528,21-2804527
12-2806325,0,0.658974,0.947276,1.1784189999999999,1.3304989999999999,1.69749,2.28202,2.7573920000000003,3.0146840000000004,3.3407070000000005
13-2804109,,0,0.288302,0.5194449999999999,0.6715249999999999,1.038516,1.623046,2.098418,2.35571,2.6817330000000004
14-2804107,,,0,0.231143,0.383223,0.7502139999999999,1.334744,1.8101159999999998,2.067408,2.393431
15-2804105,,,,0,0.15208,0.5190710000000001,1.103601,1.578973,1.836265,2.162288
16-2804103,,,,,0,0.366991,0.9515210000000001,1.4268930000000002,1.6841850000000003,2.0102080000000004
17-2804731,,,,,,0,0.58453,1.0599020000000001,1.3171940000000002,1.6432170000000001
18-2804033,,,,,,,0,0.475372,0.732664,1.058687
19-2800268,,,,,,,,0,0.257292,0.583315
20-2804528,,,,,,,,,0,0.326023
21-2804527,,,,,,,,,,0
