순번_정류장ID,1-2800878,2-2800839,3-2800981,4-2800973,5-2800961,6-2800957,7-2800953,8-2800950,9-2800945,10-2800954
1-2800878,0,0.23350500000000002,0.557815,0.864351,1.09396,1.235945,1.401165,1.583248,1.772386,2.105622
2-2800839,,0,0.32431,0.630846,0.860455,1.00244,1.16766,1.349743,1.538881,1.872117
3-2800981,,,0,0.30653600000000003,0.5361450000000001,0.6781300000000001,0.8433500000000002,1.025433,1.214571,1.5478070000000002
4-2800973,,,,0,0.229609,0.371594,0.536814,0.718897,0.908035,1.241271
5-2800961,,,,,0,0.141985,0.307205,0.489288,0.678426,1.011662
6-2800957,,,,,,0,0.16522,0.34730300000000003,0.5364410000000001,0.869677
7-2800953,,,,,,,0,0.182083,0.371221,0.7044570000000001
8-2800950,,,,,,,,0,0.189138,0.522374
9-2800945,,,,,,,,,0,0.33323600000000003
10-2800954,,,,,,,,,,0
