순번_정류장ID,1-2806577,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2803688,17-2803689,18-2803690,19-2803691,20-2804136,21-2804665,22-2804138,23-2804663,24-2804142,25-2804145,26-2804661,27-2804660,28-2804658,29-2804164,30-2804166,31-2804656,32-2804168,33-2806206,34-2804654,35-2804651,36-2804649,37-2804648,38-2807374,39-2804646,40-2804327,41-2804329,42-2804645,43-2804643,44-2804197,45-2804195,46-2804717,47-2804193,48-2804191,49-2806153,50-2804189,51-2804641,52-2804740,53-2804794,54-2803702,55-2807371,56-2803737,57-2803735,58-2803734,59-2803732,60-2803730,61-2803728,62-2803751,63-2804639,64-2803750,65-2803752,66-2803723,67-2803721,68-2803718,69-2803720,70-2803719,71-2803711,72-2806217,73-2803708,74-2803706,75-2804634,76-2803705,77-2803703,78-2804580,79-2804213,80-2804211,81-2804209,82-2804207,83-2804205,84-2804204,85-2806290,86-2804202,87-2806292,88-2803609,89-2806232,90-2803608,91-2803607,92-2803606,93-2806297,94-2803616,95-2803853,96-2803850,97-2803617,98-2806299,99-2803618,100-2806300,101-2803600,102-2800273,103-2803601,104-2804331,105-2803581,106-2800271,107-2805489,108-2807150,109-2804581,110-2804582,111-2800267,112-2804032
1-2806577,0,0.816361,1.087655,1.399972,1.539221,1.789903,2.0797280000000002,2.7192480000000003,3.0476920000000005,3.1828960000000004,3.6100340000000006,4.022207000000001,4.760811,5.230422,5.874502,6.2350259999999995,6.776078,7.000869,8.061354999999999,8.643978999999998,9.047944999999999,9.582889999999999,9.97585,10.788509999999999,11.241608999999999,11.789563,12.315377999999999,12.507631,12.668891,13.32053,13.790938,14.115666000000001,14.866076000000001,15.555999000000002,16.300120000000003,16.613681000000003,18.457152000000004,18.762745000000002,19.129167000000002,19.371192000000004,19.595167000000004,20.015693000000002,20.444422000000003,20.664987000000004,21.061020000000003,21.474845000000002,21.648979,22.143437000000002,22.292869000000003,22.6258,22.900993000000003,23.522811000000004,25.148881000000003,25.432796000000003,25.723906000000003,26.023450000000004,26.310278000000004,26.749392000000004,27.124485000000004,27.454054000000003,27.814757000000004,29.495697000000003,29.847299000000003,30.0527,30.257903000000002,30.761347,31.193457000000002,31.535822000000003,32.316025,32.985379,33.21662,33.335678,33.688246,34.039542,34.468197999999994,35.02013899999999,35.90923399999999,36.09582699999999,36.600621999999994,36.964741,37.45565199999999,37.844148999999994,38.56281799999999,38.79872499999999,39.14636899999999,39.567488999999995,39.819793999999995,40.317088999999996,40.693341,41.014188,41.526112,41.819393999999996,42.362362999999995,42.687101999999996,42.885993,43.287881999999996,43.875871999999994,44.406060999999994,44.676598999999996,44.993967999999995,45.69472999999999,46.13765899999999,46.340267999999995,46.52188399999999,46.77620399999999,47.257535999999995,47.76446599999999,48.12871499999999,48.469649999999994,48.770903,49.131091,49.769816
2-2800268,,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.2633670000000001,1.9028870000000002,2.2313310000000004,2.3665350000000003,2.793673,3.205846,3.9444500000000002,4.414061,5.058141,5.418665,5.9597169999999995,6.184507999999999,7.244993999999999,7.827617999999999,8.231584,8.766529,9.159489,9.972149,10.425248,10.973202,11.499017,11.69127,11.85253,12.504169,12.974577,13.299305,14.049715,14.739638000000001,15.483759000000001,15.797320000000001,17.640791,17.946384000000002,18.312806000000002,18.554831000000004,18.778806000000003,19.199332000000002,19.628061000000002,19.848626000000003,20.244659000000002,20.658484,20.832618,21.327076,21.476508000000003,21.809439,22.084632000000003,22.706450000000004,24.332520000000002,24.616435000000003,24.907545000000002,25.207089000000003,25.493917000000003,25.933031000000003,26.308124000000003,26.637693000000002,26.998396000000003,28.679336000000003,29.030938000000003,29.236339,29.441542000000002,29.944986,30.377096,30.719461000000003,31.499664000000003,32.169018,32.400259,32.519317,32.871885,33.223181,33.65183699999999,34.20377799999999,35.09287299999999,35.27946599999999,35.784260999999994,36.148379999999996,36.63929099999999,37.027787999999994,37.74645699999999,37.98236399999999,38.33000799999999,38.751127999999994,39.003432999999994,39.500727999999995,39.876979999999996,40.197827,40.709751,41.003032999999995,41.546001999999994,41.870740999999995,42.069632,42.471520999999996,43.05951099999999,43.58969999999999,43.860237999999995,44.177606999999995,44.87836899999999,45.32129799999999,45.523906999999994,45.70552299999999,45.95984299999999,46.441174999999994,46.94810499999999,47.31235399999999,47.653288999999994,47.954542,48.31473,48.953455
3-2800264,,,0,0.312317,0.451566,0.702248,0.992073,1.631593,1.960037,2.095241,2.522379,2.934552,3.673156,4.142767,4.786847,5.147371,5.688423,5.913214,6.9737,7.556324,7.96029,8.495235,8.888195,9.700854999999999,10.153953999999999,10.701908,11.227723,11.419975999999998,11.581235999999999,12.232874999999998,12.703282999999999,13.028011,13.778421,14.468344,15.212465,15.526026,17.369497,17.675089999999997,18.041511999999997,18.283537,18.507512,18.928037999999997,19.356766999999998,19.577332,19.973364999999998,20.387189999999997,20.561323999999995,21.055781999999997,21.205213999999998,21.538144999999997,21.813337999999998,22.435156,24.061225999999998,24.345140999999998,24.636250999999998,24.935795,25.222623,25.661737,26.03683,26.366398999999998,26.727102,28.408042,28.759643999999998,28.965044999999996,29.170247999999997,29.673691999999996,30.105801999999997,30.448166999999998,31.228369999999998,31.897723999999997,32.128964999999994,32.248022999999996,32.600590999999994,32.95188699999999,33.38054299999999,33.93248399999999,34.821578999999986,35.00817199999999,35.51296699999999,35.87708599999999,36.36799699999999,36.75649399999999,37.47516299999999,37.711069999999985,38.05871399999999,38.47983399999999,38.73213899999999,39.22943399999999,39.60568599999999,39.92653299999999,40.43845699999999,40.73173899999999,41.27470799999999,41.59944699999999,41.798337999999994,42.20022699999999,42.78821699999999,43.31840599999999,43.58894399999999,43.90631299999999,44.60707499999999,45.05000399999999,45.25261299999999,45.43422899999999,45.68854899999999,46.16988099999999,46.67681099999999,47.04105999999999,47.38199499999999,47.68324799999999,48.04343599999999,48.682160999999994
4-2807245,,,,0,0.139249,0.389931,0.679756,1.319276,1.6477199999999999,1.782924,2.2100619999999997,2.622235,3.360839,3.83045,4.47453,4.8350539999999995,5.376106,5.600897,6.661383,7.244007,7.6479729999999995,8.182917999999999,8.575878,9.388537999999999,9.841636999999999,10.389591,10.915405999999999,11.107658999999998,11.268918999999999,11.920557999999998,12.390965999999999,12.715694,13.466104,14.156027,14.900148,15.213709,17.05718,17.362772999999997,17.729194999999997,17.97122,18.195195,18.615720999999997,19.044449999999998,19.265015,19.661047999999997,20.074872999999997,20.249006999999995,20.743464999999997,20.892896999999998,21.225827999999996,21.501020999999998,22.122839,23.748908999999998,24.032823999999998,24.323933999999998,24.623478,24.910306,25.34942,25.724512999999998,26.054081999999998,26.414785,28.095724999999998,28.447326999999998,28.652727999999996,28.857930999999997,29.361374999999995,29.793484999999997,30.135849999999998,30.916052999999998,31.585406999999996,31.816647999999997,31.935705999999996,32.288273999999994,32.63956999999999,33.06822599999999,33.62016699999999,34.509261999999985,34.69585499999999,35.20064999999999,35.56476899999999,36.05567999999999,36.44417699999999,37.16284599999999,37.398752999999985,37.74639699999999,38.16751699999999,38.41982199999999,38.91711699999999,39.29336899999999,39.61421599999999,40.12613999999999,40.41942199999999,40.96239099999999,41.28712999999999,41.486020999999994,41.88790999999999,42.47589999999999,43.00608899999999,43.27662699999999,43.59399599999999,44.29475799999999,44.73768699999999,44.94029599999999,45.12191199999999,45.37623199999999,45.85756399999999,46.364493999999986,46.72874299999999,47.06967799999999,47.37093099999999,47.73111899999999,48.36984399999999
5-2800262,,,,,0,0.250682,0.5405070000000001,1.180027,1.508471,1.643675,2.0708130000000002,2.4829860000000004,3.2215900000000004,3.6912010000000004,4.335281,4.695805,5.2368570000000005,5.461648,6.522134,7.104758,7.508724,8.043669,8.436629,9.249289,9.702388,10.250342,10.776157,10.968409999999999,11.129669999999999,11.781308999999998,12.251717,12.576445,13.326855,14.016778,14.760899,15.07446,16.917931,17.223523999999998,17.589945999999998,17.831971,18.055946,18.476471999999998,18.905200999999998,19.125766,19.521798999999998,19.935623999999997,20.109757999999996,20.604215999999997,20.753648,21.086578999999997,21.361772,21.98359,23.609659999999998,23.893575,24.184684999999998,24.484229,24.771057,25.210171,25.585264,25.914832999999998,26.275536,27.956476,28.308078,28.513478999999997,28.718681999999998,29.222125999999996,29.654235999999997,29.996601,30.776804,31.446157999999997,31.677398999999998,31.796456999999997,32.149024999999995,32.50032099999999,32.92897699999999,33.48091799999999,34.370012999999986,34.55660599999999,35.06140099999999,35.42551999999999,35.91643099999999,36.30492799999999,37.02359699999999,37.259503999999986,37.60714799999999,38.02826799999999,38.28057299999999,38.77786799999999,39.15411999999999,39.47496699999999,39.98689099999999,40.28017299999999,40.82314199999999,41.14788099999999,41.346771999999994,41.74866099999999,42.33665099999999,42.86683999999999,43.13737799999999,43.45474699999999,44.15550899999999,44.59843799999999,44.80104699999999,44.98266299999999,45.23698299999999,45.71831499999999,46.22524499999999,46.58949399999999,46.93042899999999,47.23168199999999,47.59186999999999,48.230594999999994
6-2807367,,,,,,0,0.289825,0.929345,1.257789,1.3929930000000001,1.8201310000000002,2.232304,2.970908,3.440519,4.084599,4.445123,4.986174999999999,5.210965999999999,6.271451999999999,6.854075999999999,7.258041999999999,7.792986999999998,8.185946999999999,8.998606999999998,9.451705999999998,9.999659999999999,10.525474999999998,10.717727999999997,10.878987999999998,11.530626999999997,12.001034999999998,12.325762999999998,13.076172999999999,13.766096,14.510216999999999,14.823777999999999,16.667248999999998,16.972842,17.339264,17.581289,17.805264,18.22579,18.654519,18.875084,19.271117,19.684942,19.859075999999998,20.353534,20.502966,20.835897,21.11109,21.732908000000002,23.358978,23.642893,23.934003,24.233547,24.520375,24.959489,25.334582,25.664151,26.024854,27.705794,28.057396,28.262797,28.468,28.971443999999998,29.403554,29.745919,30.526122,31.195476,31.426717,31.545775,31.898343,32.249639,32.678295,33.230236,34.119330999999995,34.305924,34.810719,35.174838,35.665749,36.054246,36.772915,37.008821999999995,37.356466,37.777586,38.029891,38.527186,38.903438,39.224285,39.736209,40.029491,40.57246,40.897199,41.096090000000004,41.497979,42.085969,42.616158,42.886696,43.204065,43.904827,44.347756,44.550365,44.731981,44.986301,45.467633,45.974562999999996,46.338812,46.679747,46.981,47.341188,47.979913
7-2800265,,,,,,,0,0.63952,0.967964,1.1031680000000001,1.5303060000000002,1.942479,2.681083,3.150694,3.7947740000000003,4.155298,4.696350000000001,4.921141,5.9816270000000005,6.5642510000000005,6.968217,7.503162,7.896122,8.708782,9.161881,9.709835,10.23565,10.427903,10.589163000000001,11.240802,11.711210000000001,12.035938000000002,12.786348000000002,13.476271000000002,14.220392000000002,14.533953000000002,16.377424,16.683017,17.049439,17.291464,17.515439,17.935965,18.364694,18.585259,18.981292,19.395117,19.569250999999998,20.063709,20.213141,20.546072,20.821265,21.443083,23.069153,23.353068,23.644178,23.943722,24.23055,24.669664,25.044757,25.374326,25.735029,27.415969,27.767571,27.972972,28.178175,28.681618999999998,29.113729,29.456094,30.236297,30.905651,31.136892,31.25595,31.608518,31.959814,32.38847,32.940411,33.829505999999995,34.016099,34.520894,34.885013,35.375924,35.764421,36.48309,36.718996999999995,37.066641,37.487761,37.740066,38.237361,38.613613,38.93446,39.446384,39.739666,40.282635,40.607374,40.806265,41.208154,41.796144,42.326333,42.596871,42.91424,43.615002,44.057930999999996,44.26054,44.442156,44.696476,45.177808,45.684737999999996,46.048987,46.389922,46.691175,47.051363,47.690088
8-2803682,,,,,,,,0,0.328444,0.463648,0.8907860000000001,1.302959,2.041563,2.511174,3.1552540000000002,3.515778,4.05683,4.2816209999999995,5.3421069999999995,5.9247309999999995,6.328696999999999,6.863641999999999,7.256601999999999,8.069261999999998,8.522360999999998,9.070314999999999,9.596129999999999,9.788383,9.949643,10.601282,11.07169,11.396418,12.146828000000001,12.836751000000001,13.580872000000001,13.894433000000001,15.737904,16.043497000000002,16.409919000000002,16.651944000000004,16.875919000000003,17.296445000000002,17.725174000000003,17.945739000000003,18.341772000000002,18.755597,18.929731,19.424189000000002,19.573621000000003,19.906552,20.181745000000003,20.803563000000004,22.429633000000003,22.713548000000003,23.004658000000003,23.304202000000004,23.591030000000003,24.030144000000004,24.405237000000003,24.734806000000003,25.095509000000003,26.776449000000003,27.128051000000003,27.333452,27.538655000000002,28.042099,28.474209000000002,28.816574000000003,29.596777000000003,30.266131,30.497372000000002,30.61643,30.968998000000003,31.320294000000004,31.748950000000004,32.30089100000001,33.189986000000005,33.37657900000001,33.88137400000001,34.24549300000001,34.73640400000001,35.12490100000001,35.84357000000001,36.079477000000004,36.42712100000001,36.84824100000001,37.10054600000001,37.59784100000001,37.97409300000001,38.29494000000001,38.80686400000001,39.10014600000001,39.64311500000001,39.96785400000001,40.16674500000001,40.56863400000001,41.15662400000001,41.68681300000001,41.95735100000001,42.27472000000001,42.97548200000001,43.418411000000006,43.62102000000001,43.80263600000001,44.05695600000001,44.53828800000001,45.045218000000006,45.40946700000001,45.75040200000001,46.05165500000001,46.41184300000001,47.05056800000001
9-2807369,,,,,,,,,0,0.135204,0.562342,0.974515,1.713119,2.18273,2.82681,3.187334,3.728386,3.953177,5.013663,5.596287,6.000253,6.535197999999999,6.928158,7.740818,8.193917,8.741871000000002,9.267686000000001,9.459939000000002,9.621199000000002,10.272838000000002,10.743246000000003,11.067974000000003,11.818384000000004,12.508307000000004,13.252428000000004,13.565989000000004,15.409460000000003,15.715053000000003,16.081475,16.323500000000003,16.547475000000002,16.968001,17.39673,17.617295000000002,18.013328,18.427153,18.601287,19.095745,19.245177,19.578108,19.853301000000002,20.475119000000003,22.101189,22.385104000000002,22.676214,22.975758000000003,23.262586000000002,23.701700000000002,24.076793000000002,24.406362,24.767065000000002,26.448005000000002,26.799607,27.005008,27.210211,27.713655000000003,28.145765000000004,28.488130000000005,29.268333000000005,29.937687000000004,30.168928000000005,30.287986000000004,30.640554000000005,30.991850000000007,31.420506000000007,31.972447000000006,32.86154200000001,33.04813500000001,33.55293000000001,33.91704900000001,34.40796000000001,34.79645700000001,35.51512600000001,35.75103300000001,36.09867700000001,36.51979700000001,36.77210200000001,37.26939700000001,37.64564900000001,37.966496000000014,38.478420000000014,38.77170200000001,39.31467100000001,39.63941000000001,39.838301000000016,40.24019000000001,40.82818000000001,41.35836900000001,41.62890700000001,41.94627600000001,42.64703800000001,43.08996700000001,43.29257600000001,43.47419200000001,43.72851200000001,44.20984400000001,44.71677400000001,45.08102300000001,45.42195800000001,45.72321100000001,46.083399000000014,46.722124000000015
10-2804135,,,,,,,,,,0,0.427138,0.8393109999999999,1.577915,2.047526,2.691606,3.05213,3.593182,3.8179730000000003,4.878459,5.461083,5.865049,6.3999939999999995,6.792954,7.605614,8.058713000000001,8.606667000000002,9.132482000000001,9.324735,9.485995,10.137634,10.608042000000001,10.932770000000001,11.683180000000002,12.373103000000002,13.117224000000002,13.430785000000002,15.274256000000001,15.579849000000001,15.946271000000001,16.188296,16.412271,16.832797,17.261526,17.482091,17.878124,18.291949,18.466082999999998,18.960541,19.109973,19.442904,19.718097,20.339915,21.965985,22.2499,22.54101,22.840554,23.127382,23.566496,23.941589,24.271158,24.631861,26.312801,26.664403,26.869804,27.075007,27.578451,28.010561000000003,28.352926000000004,29.133129000000004,29.802483000000002,30.033724000000003,30.152782000000002,30.505350000000004,30.856646000000005,31.285302000000005,31.837243000000004,32.726338000000005,32.91293100000001,33.41772600000001,33.78184500000001,34.27275600000001,34.66125300000001,35.37992200000001,35.615829000000005,35.96347300000001,36.38459300000001,36.63689800000001,37.13419300000001,37.51044500000001,37.83129200000001,38.34321600000001,38.63649800000001,39.17946700000001,39.50420600000001,39.703097000000014,40.10498600000001,40.69297600000001,41.22316500000001,41.49370300000001,41.81107200000001,42.51183400000001,42.95476300000001,43.15737200000001,43.33898800000001,43.59330800000001,44.07464000000001,44.581570000000006,44.94581900000001,45.28675400000001,45.58800700000001,45.94819500000001,46.58692000000001
