순번_정류장ID,1-2800563,2-2807520,3-2807504,4-2803359,5-2803214
1-2800563,0,2.329782,12.170982,24.336652,24.514329
2-2807520,,0,9.8412,22.00687,22.184547
3-2807504,,,0,12.16567,12.343347
4-2803359,,,,0,0.177677
5-2803214,,,,,0
