순번_정류장ID,1-2804988,2-2804989,3-2801261,4-2801267,5-2801193,6-2801278,7-2801295,8-2801309,9-2801329,10-2801343,11-2801171,12-2801366,13-2801380,14-2801199,15-2801410,16-2801427,17-2801443,18-2801473,19-2801486,20-2801519,21-2801571,22-2801641,23-2801664,24-2801678,25-2801183,26-2801685,27-2805307,28-2801700,29-2801706,30-2801713,31-2801720,32-2801737,33-2801748,34-2801751,35-2801746,36-2801725,37-2801708,38-2801694,39-2801196,40-2801657,41-2801618,42-2801596,43-2801188,44-2801469,45-2801430,46-2801376,47-2801364,48-2801352,49-2807081,50-2801326,51-2801319,52-2801291,53-2801272,54-2801263,55-2801257,56-2801255,57-2801250,58-2801248,59-2801246,60-2801245,61-2801244,62-2805070,1-2805045,2-2805996,3-2803524,4-2803525,5-2803769,6-2804876,7-2803770,8-2803820,9-2806041,10-2805551,11-2806624,12-2805009,13-2805006,14-2806093,15-2806094,16-2805553,17-2806833,18-2805205,19-2805308,20-2805204,21-2802589,22-2802362,23-2802595,24-2802598,25-2805538,26-2802587,27-2802580,28-2802572,29-2802561,30-2802550,31-2802540,32-2802363,33-2802488,34-2802481,35-2802475,36-2805714,37-2806693,38-2802468,39-2802433,40-2802425,41-2802432,42-2802437,43-2802441,44-2802941,45-2802901,46-2802885,47-2802851,48-2802823,49-2802783,50-2802757,51-2802733,52-2802706,53-2807110,54-2802628
1-2804988,0,0.227217,0.5672729999999999,0.839254,1.00711,1.252588,1.570942,1.826623,2.0462890000000002,2.2482070000000003,2.437577,2.7072950000000002,3.0763230000000004,3.27836,3.419925,3.617055,3.974107,4.305947,4.588182,4.750143,5.348718,5.605702,5.866437,6.039658,6.293154,6.694307,6.81778,7.040489,7.225856,7.434202,7.787052,8.235935,8.494989,8.837266,9.362568999999999,9.612184,9.855842999999998,10.243673999999999,10.631794999999999,10.842545999999999,11.047812999999998,11.418752999999997,11.855721999999997,12.230464999999997,12.752646999999996,13.015118999999997,13.390862999999996,13.718706999999997,14.197604999999996,14.413847999999996,14.891555999999996,15.230135999999996,15.390897999999996,15.620173999999997,15.930688999999997,16.243232999999996,16.517339999999997,16.618008999999997,16.750700999999996,17.012741999999996,17.239137999999997,17.465752999999996,17.844307999999995,18.116815999999993,18.40234999999999,19.00801299999999,19.56234899999999,20.06874999999999,20.38106699999999,20.62102299999999,20.82926999999999,21.20131099999999,21.58369899999999,21.89186199999999,22.56849299999999,22.76600699999999,22.94272299999999,23.03340399999999,23.13185999999999,23.54717199999999,23.88139499999999,24.26867499999999,24.62231299999999,24.90810599999999,25.14496999999999,25.49208399999999,26.871349999999993,27.373403999999994,27.835536999999995,28.163417999999997,28.362351999999998,28.664530999999997,28.977722999999997,29.395001999999998,29.510543,29.988664999999997,30.200559,30.288324999999997,30.450031999999997,30.765235999999998,31.098622,31.543011,31.843633,32.255857,34.115185,34.440348,34.612,34.904053000000005,35.086451000000004,35.51047200000001,35.985791000000006,36.224090000000004,36.646686,36.752292000000004,36.905824,37.054888000000005
2-2804989,,0,0.34005599999999997,0.6120369999999999,0.779893,1.025371,1.343725,1.599406,1.819072,2.02099,2.2103599999999997,2.480078,2.849106,3.0511429999999997,3.1927079999999997,3.3898379999999997,3.7468899999999996,4.078729999999999,4.360964999999999,4.522925999999999,5.121500999999999,5.3784849999999995,5.63922,5.812441,6.065937,6.46709,6.5905629999999995,6.8132719999999996,6.998639,7.2069849999999995,7.559835,8.008718,8.267772,8.610049,9.135352,9.384967,9.628625999999999,10.016456999999999,10.404577999999999,10.615329,10.820595999999998,11.191535999999997,11.628504999999997,12.003247999999997,12.525429999999997,12.787901999999997,13.163645999999996,13.491489999999997,13.970387999999996,14.186630999999997,14.664338999999996,15.002918999999997,15.163680999999997,15.392956999999997,15.703471999999998,16.016015999999997,16.290122999999998,16.390791999999998,16.523483999999996,16.785524999999996,17.011920999999997,17.238535999999996,17.617090999999995,17.889598999999993,18.17513299999999,18.78079599999999,19.33513199999999,19.84153299999999,20.15384999999999,20.39380599999999,20.60205299999999,20.97409399999999,21.35648199999999,21.66464499999999,22.34127599999999,22.53878999999999,22.71550599999999,22.80618699999999,22.90464299999999,23.31995499999999,23.65417799999999,24.04145799999999,24.39509599999999,24.680888999999993,24.917752999999994,25.264866999999995,26.644132999999997,27.146186999999998,27.60832,27.936201,28.135135000000002,28.437314,28.750506,29.167785000000002,29.283326000000002,29.761448,29.973342000000002,30.061108,30.222815,30.538019000000002,30.871405000000003,31.315794000000004,31.616416000000005,32.02864,33.887968,34.213131000000004,34.384783000000006,34.67683600000001,34.85923400000001,35.28325500000001,35.75857400000001,35.99687300000001,36.41946900000001,36.52507500000001,36.67860700000001,36.82767100000001
3-2801261,,,0,0.271981,0.439837,0.685315,1.003669,1.25935,1.4790159999999999,1.680934,1.870304,2.140022,2.5090500000000002,2.711087,2.852652,3.049782,3.406834,3.738674,4.020909,4.182869999999999,4.781445,5.038429,5.299164,5.472385,5.725881,6.127034,6.250507,6.473216,6.658583,6.866929,7.219779,7.668662,7.927716,8.269993,8.795295999999999,9.044910999999999,9.288569999999998,9.676400999999998,10.064521999999998,10.275272999999999,10.480539999999998,10.851479999999997,11.288448999999996,11.663191999999997,12.185373999999996,12.447845999999997,12.823589999999996,13.151433999999997,13.630331999999996,13.846574999999996,14.324282999999996,14.662862999999996,14.823624999999996,15.052900999999997,15.363415999999997,15.675959999999998,15.950066999999999,16.050736,16.183428,16.445469,16.671865,16.89848,17.277034999999998,17.549542999999996,17.835076999999995,18.440739999999995,18.995075999999994,19.501476999999994,19.813793999999994,20.053749999999994,20.261996999999994,20.634037999999993,21.016425999999992,21.324588999999992,22.001219999999993,22.198733999999995,22.375449999999994,22.466130999999994,22.564586999999992,22.979898999999993,23.314121999999994,23.701401999999995,24.055039999999995,24.340832999999996,24.577696999999997,24.924811,26.304077,26.806131,27.268264000000002,27.596145000000003,27.795079000000005,28.097258000000004,28.410450000000004,28.827729000000005,28.943270000000005,29.421392000000004,29.633286000000005,29.721052000000004,29.882759000000004,30.197963000000005,30.531349000000006,30.975738000000007,31.276360000000007,31.688584000000006,33.547912000000004,33.87307500000001,34.04472700000001,34.33678000000001,34.51917800000001,34.943199000000014,35.41851800000001,35.65681700000001,36.07941300000001,36.18501900000001,36.33855100000001,36.48761500000001
4-2801267,,,,0,0.167856,0.41333400000000003,0.731688,0.9873689999999999,1.2070349999999999,1.408953,1.598323,1.8680409999999998,2.237069,2.4391059999999998,2.5806709999999997,2.7778009999999997,3.1348529999999997,3.466693,3.748928,3.9108889999999996,4.5094639999999995,4.766448,5.027183,5.200404,5.4539,5.855053,5.978526,6.201235,6.386602,6.594948,6.947798,7.396681,7.655735,7.998012,8.523315,8.77293,9.016589,9.40442,9.792541,10.003292,10.208559,10.579498999999998,11.016467999999998,11.391210999999998,11.913393,12.175865,12.551609,12.879453,13.358350999999999,13.574594,14.052302,14.390882,14.551644,14.78092,15.091435,15.403979000000001,15.678086000000002,15.778755000000002,15.911447000000003,16.173488000000003,16.399884000000004,16.626499000000003,17.005054,17.277562,17.563095999999998,18.168758999999998,18.723094999999997,19.229495999999997,19.541812999999998,19.781768999999997,19.990015999999997,20.362056999999997,20.744444999999995,21.052607999999996,21.729238999999996,21.926752999999998,22.103468999999997,22.194149999999997,22.292605999999996,22.707917999999996,23.042140999999997,23.429420999999998,23.783058999999998,24.068852,24.305716,24.65283,26.032096000000003,26.534150000000004,26.996283000000005,27.324164000000007,27.523098000000008,27.825277000000007,28.138469000000008,28.55574800000001,28.67128900000001,29.149411000000008,29.36130500000001,29.449071000000007,29.610778000000007,29.92598200000001,30.25936800000001,30.70375700000001,31.00437900000001,31.41660300000001,33.27593100000001,33.60109400000001,33.77274600000001,34.064799000000015,34.247197000000014,34.67121800000002,35.146537000000016,35.384836000000014,35.80743200000001,35.913038000000014,36.06657000000001,36.215634000000016
5-2801193,,,,,0,0.24547800000000003,0.563832,0.8195129999999999,1.0391789999999999,1.241097,1.430467,1.7001849999999998,2.069213,2.2712499999999998,2.4128149999999997,2.6099449999999997,2.9669969999999997,3.298837,3.581072,3.7430329999999996,4.341608,4.598592,4.859327,5.032548,5.286044,5.687197,5.81067,6.033379,6.218746,6.427092,6.779942,7.2288250000000005,7.487879,7.830156000000001,8.355459,8.605074,8.848733,9.236564,9.624685,9.835436,10.040702999999999,10.411642999999998,10.848611999999997,11.223354999999998,11.745536999999999,12.008009,12.383752999999999,12.711597,13.190494999999999,13.406737999999999,13.884445999999999,14.223025999999999,14.383788,14.613064,14.923579,15.236123000000001,15.510230000000002,15.610899000000002,15.743591000000002,16.005632000000002,16.232028000000003,16.458643000000002,16.837198,17.109706,17.395239999999998,18.000902999999997,18.555238999999997,19.061639999999997,19.373956999999997,19.613912999999997,19.822159999999997,20.194200999999996,20.576588999999995,20.884751999999995,21.561382999999996,21.758896999999997,21.935612999999996,22.026293999999996,22.124749999999995,22.540061999999995,22.874284999999997,23.261564999999997,23.615202999999998,23.900996,24.13786,24.484974,25.864240000000002,26.366294000000003,26.828427000000005,27.156308000000006,27.355242000000008,27.657421000000006,27.970613000000007,28.387892000000008,28.50343300000001,28.981555000000007,29.193449000000008,29.281215000000007,29.442922000000006,29.758126000000008,30.09151200000001,30.53590100000001,30.83652300000001,31.24874700000001,33.10807500000001,33.43323800000001,33.60489000000001,33.896943000000014,34.079341000000014,34.50336200000002,34.978681000000016,35.216980000000014,35.63957600000001,35.745182000000014,35.89871400000001,36.047778000000015
6-2801278,,,,,,0,0.31835399999999997,0.574035,0.793701,0.995619,1.184989,1.454707,1.823735,2.025772,2.167337,2.364467,2.721519,3.053359,3.335594,3.4975549999999997,4.09613,4.353114,4.613849,4.78707,5.040566,5.441719,5.565192,5.787901,5.973268,6.181614,6.534464,6.983347,7.242401,7.584678,8.109981,8.359596,8.603254999999999,8.991086,9.379207,9.589958,9.795224999999999,10.166164999999998,10.603133999999997,10.977876999999998,11.500058999999997,11.762530999999997,12.138274999999997,12.466118999999997,12.945016999999996,13.161259999999997,13.638967999999997,13.977547999999997,14.138309999999997,14.367585999999998,14.678100999999998,14.990644999999999,15.264752,15.365421,15.498113,15.760154,15.98655,16.213165,16.59172,16.864227999999997,17.149761999999996,17.755424999999995,18.309760999999995,18.816161999999995,19.128478999999995,19.368434999999995,19.576681999999995,19.948722999999994,20.331110999999993,20.639273999999993,21.315904999999994,21.513418999999995,21.690134999999994,21.780815999999994,21.879271999999993,22.294583999999993,22.628806999999995,23.016086999999995,23.369724999999995,23.655517999999994,23.892381999999994,24.239495999999995,25.618761999999997,26.120815999999998,26.582949,26.91083,27.109764000000002,27.411943,27.725135,28.142414000000002,28.257955000000003,28.736077,28.947971000000003,29.035737,29.197444,29.512648000000002,29.846034000000003,30.290423000000004,30.591045000000005,31.003269000000003,32.862597,33.187760000000004,33.359412000000006,33.65146500000001,33.83386300000001,34.25788400000001,34.73320300000001,34.97150200000001,35.39409800000001,35.49970400000001,35.65323600000001,35.80230000000001
7-2801295,,,,,,,0,0.255681,0.47534699999999996,0.677265,0.866635,1.136353,1.5053809999999999,1.7074179999999999,1.8489829999999998,2.0461129999999996,2.4031649999999996,2.7350049999999997,3.0172399999999997,3.1792009999999995,3.7777759999999994,4.0347599999999995,4.295495,4.468716,4.722212,5.123365,5.2468379999999994,5.4695469999999995,5.654914,5.8632599999999995,6.21611,6.664993,6.924047,7.266324,7.791627,8.041242,8.284901,8.672732,9.060853,9.271604,9.476871,9.847810999999998,10.284779999999998,10.659522999999998,11.181704999999997,11.444176999999998,11.819920999999997,12.147764999999998,12.626662999999997,12.842905999999997,13.320613999999997,13.659193999999998,13.819955999999998,14.049231999999998,14.359746999999999,14.672291,14.946398,15.047067,15.179759,15.4418,15.668196,15.894811,16.273366,16.545873999999998,16.831407999999996,17.437070999999996,17.991406999999995,18.497807999999996,18.810124999999996,19.050080999999995,19.258327999999995,19.630368999999995,20.012756999999993,20.320919999999994,20.997550999999994,21.195064999999996,21.371780999999995,21.462461999999995,21.560917999999994,21.976229999999994,22.310452999999995,22.697732999999996,23.051370999999996,23.337163999999994,23.574027999999995,23.921141999999996,25.300407999999997,25.802462,26.264595,26.592476,26.791410000000003,27.093589,27.406781000000002,27.824060000000003,27.939601000000003,28.417723000000002,28.629617000000003,28.717383,28.87909,29.194294000000003,29.527680000000004,29.972069000000005,30.272691000000005,30.684915000000004,32.544243,32.869406000000005,33.04105800000001,33.33311100000001,33.51550900000001,33.93953000000001,34.41484900000001,34.65314800000001,35.07574400000001,35.18135000000001,35.33488200000001,35.48394600000001
8-2801309,,,,,,,,0,0.21966599999999997,0.42158399999999996,0.610954,0.8806719999999999,1.2496999999999998,1.4517369999999998,1.5933019999999998,1.7904319999999998,2.147484,2.479324,2.761559,2.92352,3.5220949999999998,3.779079,4.039814,4.213035,4.466531,4.867684,4.991156999999999,5.2138659999999994,5.399233,5.607578999999999,5.9604289999999995,6.409312,6.668366,7.010643,7.535946,7.785561,8.02922,8.417051,8.805172,9.015923,9.22119,9.59213,10.029098999999999,10.403842,10.926023999999998,11.188495999999999,11.564239999999998,11.892083999999999,12.370981999999998,12.587224999999998,13.064932999999998,13.403512999999998,13.564274999999999,13.793550999999999,14.104066,14.41661,14.690717000000001,14.791386000000001,14.924078000000002,15.186119000000001,15.412515,15.639130000000002,16.017685,16.290193,16.575726999999997,17.181389999999997,17.735725999999996,18.242126999999996,18.554443999999997,18.794399999999996,19.002646999999996,19.374687999999995,19.757075999999994,20.065238999999995,20.741869999999995,20.939383999999997,21.116099999999996,21.206780999999996,21.305236999999995,21.720548999999995,22.054771999999996,22.442051999999997,22.795689999999997,23.081483,23.318347,23.665461,25.044727,25.546781000000003,26.008914000000004,26.336795000000006,26.535729000000007,26.837908000000006,27.151100000000007,27.568379000000007,27.683920000000008,28.162042000000007,28.373936000000008,28.461702000000006,28.623409000000006,28.938613000000007,29.271999000000008,29.71638800000001,30.01701000000001,30.429234000000008,32.288562000000006,32.61372500000001,32.78537700000001,33.077430000000014,33.25982800000001,33.683849000000016,34.159168000000015,34.39746700000001,34.82006300000001,34.92566900000001,35.07920100000001,35.228265000000015
9-2801329,,,,,,,,,0,0.20191800000000001,0.391288,0.661006,1.0300340000000001,1.2320710000000001,1.373636,1.570766,1.927818,2.259658,2.541893,2.7038539999999998,3.3024289999999996,3.5594129999999997,3.8201479999999997,3.9933689999999995,4.246865,4.6480179999999995,4.771490999999999,4.994199999999999,5.179567,5.387912999999999,5.740762999999999,6.189646,6.4487,6.790977,7.31628,7.565895,7.809554,8.197385,8.585506,8.796257,9.001524,9.372463999999999,9.809432999999999,10.184175999999999,10.706357999999998,10.968829999999999,11.344573999999998,11.672417999999999,12.151315999999998,12.367558999999998,12.845266999999998,13.183846999999998,13.344608999999998,13.573884999999999,13.8844,14.196944,14.471051000000001,14.571720000000001,14.704412000000001,14.966453000000001,15.192849,15.419464000000001,15.798019000000002,16.070527000000002,16.356061,16.961724,17.51606,18.022461,18.334778,18.574734,18.782981,19.155022,19.537409999999998,19.845572999999998,20.522204,20.719718,20.896434,20.987115,21.085570999999998,21.500882999999998,21.835106,22.222386,22.576024,22.861817000000002,23.098681000000003,23.445795000000004,24.825061000000005,25.327115000000006,25.789248000000008,26.11712900000001,26.31606300000001,26.61824200000001,26.93143400000001,27.34871300000001,27.46425400000001,27.94237600000001,28.15427000000001,28.24203600000001,28.40374300000001,28.71894700000001,29.05233300000001,29.496722000000013,29.797344000000013,30.20956800000001,32.06889600000001,32.39405900000001,32.565711000000015,32.85776400000002,33.04016200000002,33.46418300000002,33.93950200000002,34.17780100000002,34.600397000000015,34.70600300000002,34.859535000000015,35.00859900000002
10-2801343,,,,,,,,,,0,0.18937,0.45908799999999994,0.828116,1.0301529999999999,1.1717179999999998,1.3688479999999998,1.7258999999999998,2.05774,2.339975,2.5019359999999997,3.1005109999999996,3.3574949999999997,3.6182299999999996,3.7914509999999995,4.044947,4.4460999999999995,4.569572999999999,4.792281999999999,4.9776489999999995,5.185994999999999,5.538844999999999,5.987728,6.246782,6.589059,7.114362,7.363977,7.607636,7.9954670000000005,8.383588000000001,8.594339000000002,8.799606,9.170546,9.607515,9.982258,10.504439999999999,10.766912,11.142655999999999,11.4705,11.949397999999999,12.165640999999999,12.643348999999999,12.981929,13.142691,13.371967,13.682482,13.995026000000001,14.269133000000002,14.369802000000002,14.502494000000002,14.764535000000002,14.990931000000002,15.217546000000002,15.596101000000003,15.868609000000003,16.154143,16.759806,17.314142,17.820543,18.13286,18.372816,18.581063,18.953104,19.335492,19.643655,20.320286,20.5178,20.694516,20.785197,20.883653,21.298965,21.633188,22.020468,22.374106,22.659899000000003,22.896763000000004,23.243877000000005,24.623143000000006,25.125197000000007,25.58733000000001,25.91521100000001,26.11414500000001,26.41632400000001,26.72951600000001,27.14679500000001,27.262336000000012,27.74045800000001,27.952352000000012,28.04011800000001,28.20182500000001,28.51702900000001,28.850415000000012,29.294804000000013,29.595426000000014,30.007650000000012,31.866978000000014,32.192141000000014,32.363793000000015,32.65584600000002,32.83824400000002,33.26226500000002,33.73758400000002,33.97588300000002,34.398479000000016,34.50408500000002,34.657617000000016,34.80668100000002
