순번_정류장ID,1-2802467,2-2802469,3-2802450,4-2802476,5-2802364,6-2802363,7-2802448,8-2802398,9-2802618,10-2802169,11-2802137,12-2802097,13-2802032,14-2801690,15-2800217,16-2800197,17-2800193,18-2800191,19-2800183,20-2800140,21-2803502,22-2807466,23-2803415,24-2805157,25-2805159,26-2805161,27-2805168,28-2805163,29-2805165,30-2803466,31-2806275,32-2806277,33-2803486,34-2803483
1-2802467,0,0.7120270000000001,1.728586,2.457567,4.397112,5.061629,6.06391,7.529463,9.525105,10.143588,11.184946,12.784149,13.387696,17.949935,20.111302,21.444771,21.964402,22.247633,23.113748,24.282302,25.425283,30.378303,36.273042,38.444269999999996,39.259021,39.780651999999996,40.303180999999995,40.990460999999996,41.401914999999995,41.82266799999999,42.382152999999995,42.70315299999999,43.70280199999999,44.80747099999999
2-2802469,,0,1.016559,1.74554,3.685085,4.349602,5.351883,6.817436,8.813077999999999,9.431560999999999,10.472919,12.072122,12.675669000000001,17.237908,19.399275,20.732744,21.252375,21.535606,22.401721000000002,23.570275000000002,24.713256,29.666276,35.561015,37.732243,38.546994,39.068625,39.591153999999996,40.278434,40.689887999999996,41.110640999999994,41.670125999999996,41.991125999999994,42.99077499999999,44.09544399999999
3-2802450,,,0,0.728981,2.668526,3.333043,4.335324,5.800877,7.796519,8.415002,9.45636,11.055563,11.65911,16.221349,18.382716,19.716185,20.235816,20.519047,21.385162,22.553716,23.696697,28.649717,34.544456,36.715683999999996,37.530435,38.052065999999996,38.574594999999995,39.261874999999996,39.673328999999995,40.09408199999999,40.653566999999995,40.97456699999999,41.97421599999999,43.07888499999999
4-2802476,,,,0,1.939545,2.604062,3.606343,5.071896,7.067538,7.686021,8.727379,10.326582000000002,10.930129000000003,15.492368000000003,17.653735,18.987204000000002,19.506835000000002,19.790066000000003,20.656181000000004,21.824735000000004,22.967716000000003,27.920736,33.815475,35.986703,36.801454,37.323085,37.845614,38.532894,38.944348,39.365100999999996,39.924586,40.245585999999996,41.245234999999994,42.349903999999995
5-2802364,,,,,0,0.664517,1.666798,3.132351,5.127993,5.746476,6.787834,8.387037,8.990584,13.552823,15.71419,17.047659,17.56729,17.850521,18.716636,19.88519,21.028171,25.981191,31.875929999999997,34.047157999999996,34.861909,35.383539999999996,35.906068999999995,36.593348999999996,37.004802999999995,37.42555599999999,37.985040999999995,38.30604099999999,39.30568999999999,40.41035899999999
6-2802363,,,,,,0,1.002281,2.467834,4.463476,5.081959,6.123317,7.72252,8.326067,12.888306,15.049673,16.383142,16.902773,17.186004,18.052119,19.220673,20.363654,25.316674,31.211413,33.382641,34.197392,34.719023,35.241552,35.928832,36.340286,36.761039,37.320524,37.641524,38.641172999999995,39.745841999999996
7-2802448,,,,,,,0,1.465553,3.461195,4.079678,5.121036,6.720239,7.323786,11.886025,14.047392,15.380861,15.900492,16.183723,17.049838,18.218392,19.361373,24.314393,30.209131999999997,32.380359999999996,33.195111,33.716741999999996,34.239270999999995,34.926550999999996,35.338004999999995,35.75875799999999,36.318242999999995,36.63924299999999,37.63889199999999,38.74356099999999
8-2802398,,,,,,,,0,1.995642,2.614125,3.6554830000000003,5.254686,5.858233,10.420472,12.581839,13.915308,14.434939,14.71817,15.584285000000001,16.752839,17.89582,22.84884,28.743578999999997,30.914806999999996,31.729557999999997,32.251189,32.773717999999995,33.460998,33.872451999999996,34.29320499999999,34.852689999999996,35.17368999999999,36.17333899999999,37.27800799999999
9-2802618,,,,,,,,,0,0.618483,1.6598410000000001,3.2590440000000003,3.862591,8.42483,10.586197,11.919666,12.439297,12.722528,13.588643000000001,14.757197000000001,15.900178000000002,20.853198000000003,26.747937,28.919165,29.733916,30.255547,30.778076,31.465356,31.87681,32.297563,32.857048,33.178048,34.177696999999995,35.282365999999996
10-2802169,,,,,,,,,,0,1.041358,2.640561,3.2441079999999998,7.806347,9.967713999999999,11.301182999999998,11.820813999999999,12.104045,12.97016,14.138714,15.281695000000001,20.234715,26.129454000000003,28.300682000000002,29.115433000000003,29.637064000000002,30.159593,30.846873000000002,31.258327,31.679080000000003,32.238565,32.559565,33.559214,34.663883
11-2802137,,,,,,,,,,,0,1.5992030000000002,2.20275,6.764989,8.926356,10.259825,10.779456,11.062687,11.928802000000001,13.097356000000001,14.240337000000002,19.193357000000002,25.088096,27.259324,28.074075,28.595706,29.118235,29.805515,30.216969,30.637722,31.197207,31.518207,32.517856,33.622525
12-2802097,,,,,,,,,,,,0,0.6035470000000001,5.165786,7.327152999999999,8.660622,9.180253,9.463484000000001,10.329599000000002,11.498153000000002,12.641134000000003,17.594154000000003,23.488893000000004,25.660121000000004,26.474872000000005,26.996503000000004,27.519032000000003,28.206312000000004,28.617766000000003,29.038519000000004,29.598004000000003,29.919004000000005,30.918653000000006,32.02332200000001
13-2802032,,,,,,,,,,,,,0,4.562239,6.723606,8.057075000000001,8.576706000000001,8.859937000000002,9.726052000000003,10.894606000000003,12.037587000000004,16.990607000000004,22.885346000000006,25.056574000000005,25.871325000000006,26.392956000000005,26.915485000000004,27.602765000000005,28.014219000000004,28.434972000000005,28.994457000000004,29.315457000000006,30.315106000000007,31.41977500000001
14-2801690,,,,,,,,,,,,,,0,2.161367,3.494836,4.014467,4.297698,5.163812999999999,6.332367,7.475347999999999,12.428367999999999,18.323107,20.494335,21.309086,21.830717,22.353246,23.040526,23.45198,23.872733,24.432218,24.753218,25.752867000000002,26.857536000000003
15-2800217,,,,,,,,,,,,,,,0,1.333469,1.8531,2.136331,3.002446,4.171,5.313981,10.267001,16.16174,18.332968,19.147719000000002,19.66935,20.191879,20.879159,21.290613,21.711366,22.270851,22.591851000000002,23.591500000000003,24.696169000000005
16-2800197,,,,,,,,,,,,,,,,0,0.5196310000000001,0.8028620000000001,1.668977,2.8375310000000002,3.980512,8.933532,14.828270999999999,16.999499,17.81425,18.335881,18.85841,19.54569,19.957144,20.377897,20.937382,21.258382,22.258031000000003,23.362700000000004
17-2800193,,,,,,,,,,,,,,,,,0,0.283231,1.149346,2.3179,3.4608809999999997,8.413901,14.308639999999999,16.479868,17.294619,17.81625,18.338779,19.026059,19.437513,19.858266,20.417751,20.738751,21.738400000000002,22.843069000000003
18-2800191,,,,,,,,,,,,,,,,,,0,0.866115,2.034669,3.17765,8.130669999999999,14.025408999999998,16.196637,17.011388,17.533019,18.055547999999998,18.742828,19.154282,19.575035,20.13452,20.45552,21.455169,22.559838000000003
19-2800183,,,,,,,,,,,,,,,,,,,0,1.168554,2.311535,7.264555,13.159294,15.330521999999998,16.145273,16.666904,17.189432999999998,17.876713,18.288166999999998,18.70892,19.268404999999998,19.589405,20.589054,21.693723000000002
20-2800140,,,,,,,,,,,,,,,,,,,,0,1.142981,6.096000999999999,11.990739999999999,14.161967999999998,14.976718999999997,15.498349999999997,16.020878999999997,16.708159,17.119612999999998,17.540366,18.099850999999997,18.420851,19.4205,20.525169
21-2803502,,,,,,,,,,,,,,,,,,,,,0,4.9530199999999995,10.847759,13.018987,13.833737999999999,14.355368999999998,14.877897999999998,15.565177999999998,15.976631999999999,16.397385,16.95687,17.27787,18.277519,19.382188000000003
22-2807466,,,,,,,,,,,,,,,,,,,,,,0,5.8947389999999995,8.065966999999999,8.880717999999998,9.402348999999997,9.924877999999998,10.612157999999997,11.023611999999996,11.444364999999996,12.003849999999996,12.324849999999996,13.324498999999996,14.429167999999995
23-2803415,,,,,,,,,,,,,,,,,,,,,,,0,2.1712279999999997,2.9859789999999995,3.5076099999999997,4.030139,4.7174190000000005,5.1288730000000005,5.549626000000001,6.109111,6.430111,7.42976,8.534429
