순번_정류장ID,11-2800608,12-2806010,13-2805910,14-2806008,15-2807283,16-2807237,17-2807430,18-2807238,19-2806168
11-2800608,0,0.591172,1.513668,2.578804,2.982684,3.424877,3.971654,5.311499,7.497422
12-2806010,,0,0.9224959999999999,1.987632,2.391512,2.833705,3.380482,4.720327,6.90625
13-2805910,,,0,1.065136,1.469016,1.9112090000000002,2.457986,3.7978310000000004,5.983754
14-2806008,,,,0,0.40388,0.8460730000000001,1.3928500000000001,2.7326950000000005,4.918618
15-2807283,,,,,0,0.442193,0.9889700000000001,2.3288150000000005,4.514738
16-2807237,,,,,,0,0.5467770000000001,1.8866220000000002,4.072545
17-2807430,,,,,,,0,1.3398450000000002,3.5257680000000002
18-2807238,,,,,,,,0,2.185923
19-2806168,,,,,,,,,0
