순번_정류장ID,1-2800962,2-2800970,3-2800980,4-2800988,5-2800971,6-2800841,7-2800964,8-2800878,9-2800839,10-2800981,11-2801001,12-2801016,13-2801028,14-2801026,15-2801042,16-2801072,17-2801103,18-2801110,19-2801283,20-2801315,21-2801356,22-2801388,23-2801439,24-2801500,25-2801524,26-2801541,27-2801577,28-2801607,29-2801626
1-2800962,0,0.230042,0.569343,1.021389,1.6024690000000001,1.799816,2.171914,2.405419,2.7297290000000003,3.0592210000000004,3.2679730000000005,3.4587810000000005,3.7673540000000005,4.174996,4.534569,4.843164000000001,4.976993000000001,5.667588000000001,6.102030000000001,6.537890000000001,6.837427000000001,7.309362000000001,7.939163000000001,8.128038,8.314541,8.579435,8.897121,9.085273,9.36233
2-2800970,,0,0.339301,0.791347,1.372427,1.569774,1.941872,2.175377,2.499687,2.8291790000000003,3.0379310000000004,3.2287390000000005,3.5373120000000005,3.9449540000000005,4.304527,4.613122000000001,4.746951000000001,5.437546000000001,5.871988000000001,6.307848000000001,6.607385000000001,7.079320000000001,7.7091210000000014,7.897996000000002,8.084499000000001,8.349393000000001,8.667079000000001,8.855231000000002,9.132288
3-2800980,,,0,0.452046,1.033126,1.230473,1.602571,1.836076,2.160386,2.489878,2.69863,2.889438,3.198011,3.605653,3.9652260000000004,4.273821000000001,4.407650000000001,5.098245000000001,5.532687000000001,5.968547000000001,6.268084000000001,6.740019000000001,7.369820000000001,7.558695000000001,7.745198000000001,8.010092000000002,8.327778000000002,8.515930000000003,8.792987000000002
4-2800988,,,,0,0.58108,0.778427,1.150525,1.38403,1.7083400000000002,2.0378320000000003,2.2465840000000004,2.4373920000000004,2.7459650000000004,3.1536070000000005,3.5131800000000006,3.8217750000000006,3.9556040000000006,4.646199,5.080641,5.516501,5.816038,6.287973,6.917774,7.106649,7.293152,7.558046,7.875732,8.063884,8.340940999999999
5-2800971,,,,,0,0.197347,0.569445,0.80295,1.1272600000000002,1.4567520000000003,1.6655040000000003,1.8563120000000004,2.1648850000000004,2.5725270000000005,2.9321000000000006,3.2406950000000005,3.3745240000000005,4.065119,4.499561,4.935421,5.234958,5.706893,6.336694,6.525569,6.712072,6.976966,7.294652,7.482804,7.759861
6-2800841,,,,,,0,0.372098,0.605603,0.929913,1.259405,1.4681570000000002,1.6589650000000002,1.9675380000000002,2.3751800000000003,2.7347530000000004,3.0433480000000004,3.1771770000000004,3.8677720000000004,4.302214,4.738074,5.037611,5.509546,6.139347000000001,6.328222000000001,6.514725000000001,6.779619000000001,7.097305000000001,7.285457000000001,7.562514000000001
7-2800964,,,,,,,0,0.23350500000000002,0.557815,0.887307,1.096059,1.286867,1.59544,2.003082,2.362655,2.67125,2.805079,3.495674,3.930116,4.365976,4.665513,5.137448,5.767249,5.956124,6.142627,6.407521,6.725207,6.913359,7.190416
8-2800878,,,,,,,,0,0.32431,0.653802,0.862554,1.0533620000000001,1.3619350000000001,1.7695770000000002,2.12915,2.437745,2.571574,3.262169,3.696611,4.132471,4.432008,4.903943,5.533744,5.722619000000001,5.909122000000001,6.174016000000001,6.491702000000001,6.679854000000001,6.956911000000001
9-2800839,,,,,,,,,0,0.329492,0.538244,0.7290519999999999,1.0376249999999998,1.4452669999999999,1.8048399999999998,2.113435,2.247264,2.937859,3.372301,3.808161,4.107698,4.579633,5.209434,5.398309,5.584812,5.849706,6.167392,6.355544,6.632601
10-2800981,,,,,,,,,,0,0.208752,0.39956,0.708133,1.115775,1.4753479999999999,1.7839429999999998,1.9177719999999998,2.608367,3.042809,3.478669,3.778206,4.250141,4.879942,5.068817,5.25532,5.520214,5.8379,6.026052,6.303109
11-2801001,,,,,,,,,,,0,0.190808,0.49938099999999996,0.9070229999999999,1.2665959999999998,1.5751909999999998,1.7090199999999998,2.399615,2.8340569999999996,3.2699169999999995,3.5694539999999995,4.041389,4.671189999999999,4.860065,5.046568,5.311462,5.629148,5.8172999999999995,6.094357
12-2801016,,,,,,,,,,,,0,0.308573,0.716215,1.075788,1.384383,1.518212,2.2088069999999997,2.643249,3.079109,3.378646,3.850581,4.4803820000000005,4.669257000000001,4.855760000000001,5.120654000000001,5.438340000000001,5.626492000000001,5.903549000000001
13-2801028,,,,,,,,,,,,,0,0.407642,0.767215,1.07581,1.209639,1.9002339999999998,2.334676,2.770536,3.070073,3.542008,4.171809,4.360684,4.547187,4.812081,5.129767,5.317919,5.594976
14-2801026,,,,,,,,,,,,,,0,0.359573,0.668168,0.801997,1.492592,1.927034,2.362894,2.6624309999999998,3.134366,3.764167,3.953042,4.139545,4.404439,4.722125,4.910277,5.187334
15-2801042,,,,,,,,,,,,,,,0,0.308595,0.44242400000000004,1.133019,1.567461,2.003321,2.302858,2.7747930000000003,3.4045940000000003,3.5934690000000002,3.7799720000000003,4.044866000000001,4.362552000000001,4.5507040000000005,4.827761000000001
16-2801072,,,,,,,,,,,,,,,,0,0.133829,0.8244239999999999,1.2588659999999998,1.6947259999999997,1.9942629999999997,2.466198,3.095999,3.284874,3.471377,3.736271,4.053957,4.242108999999999,4.519165999999999
17-2801103,,,,,,,,,,,,,,,,,0,0.690595,1.1250369999999998,1.5608969999999998,1.8604339999999997,2.332369,2.96217,3.151045,3.337548,3.602442,3.920128,4.10828,4.385337
18-2801110,,,,,,,,,,,,,,,,,,0,0.434442,0.870302,1.169839,1.641774,2.2715750000000003,2.4604500000000002,2.6469530000000003,2.9118470000000003,3.2295330000000004,3.4176850000000005,3.6947420000000006
19-2801283,,,,,,,,,,,,,,,,,,,0,0.43586,0.7353970000000001,1.207332,1.8371330000000001,2.026008,2.212511,2.477405,2.795091,2.9832430000000003,3.2603000000000004
20-2801315,,,,,,,,,,,,,,,,,,,,0,0.299537,0.771472,1.4012730000000002,1.5901480000000001,1.7766510000000002,2.041545,2.3592310000000003,2.5473830000000004,2.8244400000000005
21-2801356,,,,,,,,,,,,,,,,,,,,,0,0.47193500000000005,1.101736,1.290611,1.477114,1.742008,2.059694,2.247846,2.524903
22-2801388,,,,,,,,,,,,,,,,,,,,,,0,0.629801,0.8186760000000001,1.005179,1.270073,1.5877590000000001,1.7759110000000002,2.0529680000000003
23-2801439,,,,,,,,,,,,,,,,,,,,,,,0,0.188875,0.375378,0.640272,0.957958,1.14611,1.4231669999999998
24-2801500,,,,,,,,,,,,,,,,,,,,,,,,0,0.186503,0.45139700000000005,0.7690830000000001,0.9572350000000001,1.234292
25-2801524,,,,,,,,,,,,,,,,,,,,,,,,,0,0.264894,0.5825800000000001,0.7707320000000001,1.047789
