순번_정류장ID,29-2803478,30-2805175,31-2805166,32-2805164,33-2805167,34-2805162,35-2805160,36-2805158,37-2803416,38-2807467,39-2807468,40-2801371,41-2801400,42-2801422,43-2801438,44-2801461,45-2801393,46-2801379,47-2801433,48-2801194,49-2801187,50-2805437,51-2800726,52-2800751,53-2800765,54-2800756
29-2803478,0,0.8003600000000001,1.1725720000000002,1.6637780000000002,2.1975750000000005,2.7225100000000007,3.4769320000000006,5.861411,11.626359,16.667078,22.678706,23.539393999999998,24.094942999999997,24.524865,25.272011,25.975464,26.920393999999998,27.429714999999998,28.238345,28.752997,30.482498,30.694653,31.102031999999998,31.320178,32.261296,33.282819
30-2805175,,0,0.372212,0.863418,1.397215,1.9221500000000002,2.676572,5.061051000000001,10.825999000000001,15.866718000000002,21.878346,22.739034,23.294583,23.724505,24.471651,25.175104,26.120034,26.629355,27.437985,27.952637000000003,29.682138000000002,29.894293,30.301672,30.519818,31.460936,32.482459
31-2805166,,,0,0.49120600000000003,1.025003,1.549938,2.30436,4.688839,10.453787,15.494506000000001,21.506134000000003,22.366822000000003,22.922371000000002,23.352293000000003,24.099439000000004,24.802892000000003,25.747822000000003,26.257143000000003,27.065773000000004,27.580425000000005,29.309926000000004,29.522081000000004,29.929460000000002,30.147606000000003,31.088724000000003,32.110247
32-2805164,,,,0,0.5337970000000001,1.058732,1.813154,4.197633,9.962581,15.0033,21.014927999999998,21.875615999999997,22.431164999999996,22.861086999999998,23.608233,24.311685999999998,25.256615999999998,25.765936999999997,26.574567,27.089219,28.81872,29.030874999999998,29.438253999999997,29.656399999999998,30.597517999999997,31.619040999999996
33-2805167,,,,,0,0.524935,1.279357,3.6638360000000003,9.428784,14.469503,20.481130999999998,21.341818999999997,21.897367999999997,22.327289999999998,23.074436,23.777889,24.722818999999998,25.232139999999998,26.04077,26.555422,28.284923,28.497078,28.904456999999997,29.122602999999998,30.063720999999997,31.085243999999996
34-2805162,,,,,,0,0.754422,3.138901,8.903849000000001,13.944568,19.956196,20.816883999999998,21.372432999999997,21.802355,22.549501,23.252954,24.197884,24.707205,25.515835,26.030487,27.759988,27.972143,28.379521999999998,28.597668,29.538785999999998,30.560308999999997
35-2805160,,,,,,,0,2.3844790000000002,8.149427000000001,13.190146000000002,19.201774,20.062462,20.618011,21.047933,21.795079,22.498532,23.443462,23.952783,24.761413,25.276065000000003,27.005566,27.217721,27.6251,27.843246,28.784364,29.805887
36-2805158,,,,,,,,0,5.764948,10.805667,16.817295,17.677983,18.233532,18.663454,19.410600000000002,20.114053000000002,21.058983,21.568304,22.376934000000002,22.891586000000004,24.621087000000003,24.833242000000002,25.240621,25.458767,26.399885,27.421408
37-2803416,,,,,,,,,0,5.040719,11.052347000000001,11.913035,12.468584,12.898506,13.645652,14.349105,15.294035,15.803355999999999,16.611985999999998,17.126638,18.856139,19.068293999999998,19.475672999999997,19.693818999999998,20.634936999999997,21.656459999999996
38-2807467,,,,,,,,,,0,6.011628,6.872316,7.427865,7.857787,8.604933,9.308386,10.253316,10.762637,11.571267,12.085919,13.81542,14.027574999999999,14.434954,14.6531,15.594218,16.615741
39-2807468,,,,,,,,,,,0,0.8606879999999999,1.4162369999999997,1.8461589999999997,2.5933049999999995,3.2967579999999996,4.241688,4.751009,5.559639,6.074291,7.803792,8.015946999999999,8.423326,8.641472,9.58259,10.604113
40-2801371,,,,,,,,,,,,0,0.555549,0.985471,1.7326169999999999,2.43607,3.381,3.8903209999999997,4.698951,5.213603,6.943104,7.155259,7.562638,7.780784,8.721902,9.743425
41-2801400,,,,,,,,,,,,,0,0.429922,1.177068,1.8805209999999999,2.8254509999999997,3.3347719999999996,4.143402,4.658054,6.387555,6.59971,7.007089,7.225235,8.166352999999999,9.187876
42-2801422,,,,,,,,,,,,,,0,0.747146,1.450599,2.395529,2.9048499999999997,3.7134799999999997,4.228132,5.9576329999999995,6.169788,6.577166999999999,6.795312999999999,7.736431,8.757954
43-2801438,,,,,,,,,,,,,,,0,0.703453,1.648383,2.157704,2.966334,3.4809859999999997,5.210487,5.422642,5.8300209999999995,6.048166999999999,6.989285,8.010807999999999
44-2801461,,,,,,,,,,,,,,,,0,0.9449299999999999,1.454251,2.262881,2.777533,4.507034,4.719189,5.126568,5.344714,6.285832,7.307355
45-2801393,,,,,,,,,,,,,,,,,0,0.509321,1.317951,1.8326030000000002,3.5621039999999997,3.774259,4.1816379999999995,4.3997839999999995,5.340902,6.362425
46-2801379,,,,,,,,,,,,,,,,,,0,0.8086300000000001,1.323282,3.052783,3.264938,3.672317,3.890463,4.831581,5.853104
47-2801433,,,,,,,,,,,,,,,,,,,0,0.514652,2.244153,2.456308,2.863687,3.081833,4.022951,5.044474
48-2801194,,,,,,,,,,,,,,,,,,,,0,1.7295009999999997,1.9416559999999998,2.3490349999999998,2.5671809999999997,3.5082989999999996,4.529821999999999
49-2801187,,,,,,,,,,,,,,,,,,,,,0,0.212155,0.619534,0.83768,1.778798,2.8003210000000003
50-2805437,,,,,,,,,,,,,,,,,,,,,,0,0.407379,0.625525,1.566643,2.588166
51-2800726,,,,,,,,,,,,,,,,,,,,,,,0,0.218146,1.159264,2.180787
52-2800751,,,,,,,,,,,,,,,,,,,,,,,,0,0.941118,1.962641
53-2800765,,,,,,,,,,,,,,,,,,,,,,,,,0,1.021523
54-2800756,,,,,,,,,,,,,,,,,,,,,,,,,,0
