순번_정류장ID,1-2807327,2-2802586,3-2802584,4-2802577,5-2802581,6-2804851,7-2803664,8-2806670,9-2805778,10-2805779,11-2805960,12-2806042,13-2802344,14-2802340,15-2802323,16-2803539,17-2803540,18-2802310,19-2802302,20-2802295,21-2802296,22-2802293,23-2802281,24-2802270,25-2802262,26-2802238,27-2802226,28-2802222,29-2802192,30-2802185,31-2801848,32-2802181,33-2802178,34-2802797,35-2802795,36-2802787,37-2802771,38-2802758,39-2802714,40-2802696,41-2802012,42-2806038,43-2801801,44-2801793,45-2801779,46-2801766,47-2801756,48-2801749,49-2801743,50-2801185,51-2801687,52-2801184,53-2801659,54-2801612,55-2801582,56-2801516,57-2801189,58-2801440,59-2801421,60-2801400,61-2801406,62-2801422,63-2801438,64-2805321,65-2801461,66-2801429,67-2807004,68-2801417,69-2801376,70-2801364,71-2801163
1-2807327,0,0.15498599999999998,0.37700599999999995,0.6923509999999999,0.859381,1.5179369999999999,3.0955259999999996,4.013580999999999,4.244113,4.595091999999999,5.253418999999999,5.494897999999999,8.417632999999999,9.198427999999998,10.110396999999999,10.473982999999999,10.976052,11.380744,11.71024,12.351079,12.712881000000001,13.209933000000001,13.775026,14.231812,14.442131999999999,14.852084,15.134993999999999,15.588657999999999,17.219051,18.328698,18.564881,18.895348,19.304992,19.531139,19.729823,19.938105,20.226798,20.469897999999997,21.013512,21.357034,21.95575,22.157002,22.518677,22.769584000000002,23.003477,23.370797,23.742068,24.146526,24.477115,25.021807000000003,25.413687000000003,25.885051000000004,26.259979000000005,26.735319000000004,26.990190000000005,27.343608000000007,27.544933000000007,27.975806000000006,28.206495000000007,28.56525600000001,28.761443000000007,29.120806000000005,29.550728000000007,30.149344000000006,30.297874000000007,30.713324000000007,31.011025000000007,31.447374000000007,31.856662000000007,32.11913400000001,32.65016100000001
2-2802586,,0,0.22202,0.537365,0.704395,1.362951,2.94054,3.8585949999999998,4.0891269999999995,4.440105999999999,5.098432999999999,5.339911999999999,8.262647,9.043441999999999,9.955410999999998,10.318996999999998,10.821065999999998,11.225757999999999,11.555254,12.196093,12.557895,13.054947,13.62004,14.076825999999999,14.287145999999998,14.697097999999999,14.980007999999998,15.433671999999998,17.064065,18.173712,18.409895,18.740361999999998,19.150005999999998,19.376153,19.574837,19.783119,20.071811999999998,20.314911999999996,20.858525999999998,21.202047999999998,21.800763999999997,22.002015999999998,22.363691,22.614598,22.848491,23.215811,23.587082,23.99154,24.322129,24.866821,25.258701000000002,25.730065000000003,26.104993000000004,26.580333000000003,26.835204000000004,27.188622000000006,27.389947000000006,27.820820000000005,28.051509000000006,28.410270000000008,28.606457000000006,28.965820000000004,29.395742000000006,29.994358000000005,30.142888000000006,30.558338000000006,30.856039000000006,31.292388000000006,31.701676000000006,31.964148000000005,32.495175
3-2802584,,,0,0.315345,0.482375,1.1409310000000001,2.71852,3.6365749999999997,3.867107,4.218086,4.876412999999999,5.117891999999999,8.040626999999999,8.821421999999998,9.733390999999997,10.096976999999997,10.599045999999998,11.003737999999998,11.333234,11.974072999999999,12.335875,12.832927,13.398019999999999,13.854805999999998,14.065125999999998,14.475077999999998,14.757987999999997,15.211651999999997,16.842045,17.951691999999998,18.187875,18.518341999999997,18.927985999999997,19.154132999999998,19.352816999999998,19.561099,19.849791999999997,20.092891999999996,20.636505999999997,20.980027999999997,21.578743999999997,21.779995999999997,22.141671,22.392578,22.626471,22.993790999999998,23.365061999999998,23.76952,24.100109,24.644801,25.036681,25.508045000000003,25.882973000000003,26.358313000000003,26.613184000000004,26.966602000000005,27.167927000000006,27.598800000000004,27.829489000000006,28.188250000000007,28.384437000000005,28.743800000000004,29.173722000000005,29.772338000000005,29.920868000000006,30.336318000000006,30.634019000000006,31.070368000000006,31.479656000000006,31.742128000000005,32.273155
4-2802577,,,,0,0.16702999999999998,0.825586,2.403175,3.32123,3.551762,3.9027410000000002,4.561068000000001,4.802547000000001,7.725282,8.506077,9.418046,9.781632,10.283701,10.688393000000001,11.017889000000002,11.658728000000002,12.020530000000003,12.517582000000003,13.082675000000002,13.539461000000001,13.749781,14.159733000000001,14.442643,14.896307,16.5267,17.636347,17.87253,18.202997,18.612641,18.838788,19.037472,19.245754,19.534447,19.777547,20.321161,20.664683,21.263399,21.464651,21.826326,22.077233000000003,22.311126,22.678446,23.049717,23.454175,23.784764,24.329456,24.721336,25.192700000000002,25.567628000000003,26.042968000000002,26.297839000000003,26.651257000000005,26.852582000000005,27.283455000000004,27.514144000000005,27.872905000000006,28.069092000000005,28.428455000000003,28.858377000000004,29.456993000000004,29.605523000000005,30.020973000000005,30.318674000000005,30.755023000000005,31.164311000000005,31.426783000000004,31.957810000000006
5-2802581,,,,,0,0.658556,2.236145,3.1542,3.384732,3.7357110000000002,4.394038,4.635517,7.5582519999999995,8.339046999999999,9.251016,9.614602,10.116671,10.521363000000001,10.850859000000002,11.491698000000001,11.853500000000002,12.350552000000002,12.915645000000001,13.372431,13.582751,13.992703,14.275613,14.729277,16.35967,17.469317,17.7055,18.035967,18.445611,18.671758,18.870442,19.078724,19.367417,19.610516999999998,20.154131,20.497653,21.096369,21.297621,21.659296,21.910203000000003,22.144096,22.511416,22.882687,23.287145000000002,23.617734000000002,24.162426000000004,24.554306000000004,25.025670000000005,25.400598000000006,25.875938000000005,26.130809000000006,26.484227000000008,26.68555200000001,27.116425000000007,27.34711400000001,27.70587500000001,27.902062000000008,28.261425000000006,28.691347000000007,29.289963000000007,29.43849300000001,29.853943000000008,30.151644000000008,30.587993000000008,30.997281000000008,31.259753000000007,31.79078000000001
6-2804851,,,,,,0,1.577589,2.495644,2.726176,3.0771550000000003,3.735482,3.976961,6.8996960000000005,7.680491000000001,8.59246,8.956046,9.458115000000001,9.862807000000002,10.192303000000003,10.833142000000002,11.194944000000003,11.691996000000003,12.257089000000004,12.713875000000003,12.924195000000003,13.334147000000003,13.617057000000003,14.070721000000002,15.701114000000002,16.810761000000003,17.046944000000003,17.377411000000002,17.787055000000002,18.013202000000003,18.211886000000003,18.420168000000004,18.708861000000002,18.951961,19.495575000000002,19.839097000000002,20.437813000000002,20.639065000000002,21.000740000000004,21.251647000000006,21.485540000000004,21.852860000000003,22.224131000000003,22.628589000000005,22.959178000000005,23.503870000000006,23.895750000000007,24.367114000000008,24.74204200000001,25.217382000000008,25.47225300000001,25.82567100000001,26.02699600000001,26.45786900000001,26.68855800000001,27.047319000000012,27.24350600000001,27.60286900000001,28.03279100000001,28.63140700000001,28.77993700000001,29.19538700000001,29.49308800000001,29.92943700000001,30.33872500000001,30.60119700000001,31.13222400000001
7-2803664,,,,,,,0,0.918055,1.148587,1.499566,2.157893,2.399372,5.322107,6.102902,7.014871,7.378457,7.880526,8.285218,8.614714000000001,9.255553,9.617355000000002,10.114407000000002,10.6795,11.136286,11.346606,11.756558,12.039468,12.493132,14.123524999999999,15.233172,15.469355,15.799822,16.209466,16.435613,16.634297,16.842579,17.131272,17.374371999999997,17.917986,18.261508,18.860224,19.061476,19.423151,19.674058000000002,19.907951,20.275271,20.646542,21.051000000000002,21.381589,21.926281000000003,22.318161000000003,22.789525000000005,23.164453000000005,23.639793000000004,23.894664000000006,24.248082000000007,24.449407000000008,24.880280000000006,25.110969000000008,25.46973000000001,25.665917000000007,26.025280000000006,26.455202000000007,27.053818000000007,27.202348000000008,27.617798000000008,27.915499000000008,28.351848000000007,28.761136000000008,29.023608000000007,29.554635000000008
8-2806670,,,,,,,,0,0.23053200000000001,0.581511,1.239838,1.481317,4.404052,5.184847,6.0968160000000005,6.460402,6.962471,7.367163,7.6966589999999995,8.337498,8.699300000000001,9.196352000000001,9.761445000000002,10.218231000000001,10.428551,10.838503000000001,11.121413,11.575077,13.20547,14.315117,14.551300000000001,14.881767000000002,15.291411000000002,15.517558000000001,15.716242000000001,15.924524000000002,16.213217,16.456317,16.999931,17.343453,17.942169,18.143421,18.505096,18.756003000000003,18.989896,19.357216,19.728487,20.132945,20.463534,21.008226,21.400106,21.871470000000002,22.246398000000003,22.721738000000002,22.976609000000003,23.330027000000005,23.531352000000005,23.962225000000004,24.192914000000005,24.551675000000007,24.747862000000005,25.107225000000003,25.537147000000004,26.135763000000004,26.284293000000005,26.699743000000005,26.997444000000005,27.433793000000005,27.843081000000005,28.105553000000004,28.636580000000006
9-2805778,,,,,,,,,0,0.350979,1.009306,1.250785,4.17352,4.954315,5.866284,6.22987,6.731939,7.1366309999999995,7.466126999999999,8.106966,8.468768,8.96582,9.530913000000002,9.987699000000001,10.198019,10.607971000000001,10.890881,11.344545,12.974938,14.084585,14.320768000000001,14.651235000000002,15.060879000000002,15.287026000000001,15.485710000000001,15.693992000000001,15.982685000000002,16.225785000000002,16.769399000000003,17.112921000000004,17.711637000000003,17.912889000000003,18.274564000000005,18.525471000000007,18.759364000000005,19.126684000000004,19.497955000000005,19.902413000000003,20.233002000000003,20.777694000000004,21.169574000000004,21.640938000000006,22.015866000000006,22.491206000000005,22.746077000000007,23.099495000000008,23.30082000000001,23.731693000000007,23.96238200000001,24.32114300000001,24.51733000000001,24.876693000000007,25.306615000000008,25.905231000000008,26.05376100000001,26.46921100000001,26.76691200000001,27.20326100000001,27.61254900000001,27.875021000000007,28.40604800000001
10-2805779,,,,,,,,,,0,0.658327,0.899806,3.8225409999999997,4.603336,5.515305,5.878890999999999,6.380959999999999,6.785651999999999,7.115147999999999,7.755986999999998,8.117788999999998,8.614840999999998,9.179934,9.636719999999999,9.847039999999998,10.256991999999999,10.539901999999998,10.993565999999998,12.623958999999997,13.733605999999998,13.969788999999999,14.300256,14.7099,14.936046999999999,15.134730999999999,15.343013,15.631706,15.874806,16.41842,16.761942,17.360658,17.56191,17.923585000000003,18.174492000000004,18.408385000000003,18.775705000000002,19.146976000000002,19.551434,19.882023,20.426715,20.818595000000002,21.289959000000003,21.664887000000004,22.140227000000003,22.395098000000004,22.748516000000006,22.949841000000006,23.380714000000005,23.611403000000006,23.970164000000008,24.166351000000006,24.525714000000004,24.955636000000005,25.554252000000005,25.702782000000006,26.118232000000006,26.415933000000006,26.852282000000006,27.261570000000006,27.524042000000005,28.055069000000007
