순번_정류장ID,22-2802708,23-2802731,24-2802755,25-2802776,26-2802813,27-2802842,28-2802830,29-2806617,30-2802811,31-2804980,32-2802796,33-2802177,34-2802818,35-2802817,36-2802618,37-2802176,38-2806506,39-2806502,40-2806508,41-2806510
22-2802708,0,0.36809000000000003,0.623445,1.026415,1.493011,1.7967170000000001,1.956822,2.158295,2.3345339999999997,2.5356059999999996,2.7423409999999997,3.05956,3.230143,3.505472,3.834314,4.080615,4.452816,4.843581,5.099271000000001,5.4135860000000005
23-2802731,,0,0.255355,0.658325,1.124921,1.428627,1.588732,1.790205,1.966444,2.167516,2.374251,2.6914700000000003,2.8620530000000004,3.1373820000000006,3.4662240000000004,3.7125250000000003,4.084726,4.475491,4.731181,5.045496
24-2802755,,,0,0.40297,0.8695660000000001,1.173272,1.333377,1.53485,1.711089,1.912161,2.118896,2.436115,2.606698,2.8820270000000003,3.210869,3.45717,3.829371,4.220136,4.4758260000000005,4.790141
25-2802776,,,,0,0.466596,0.770302,0.930407,1.13188,1.308119,1.509191,1.715926,2.033145,2.2037280000000004,2.4790570000000005,2.8078990000000004,3.0542000000000002,3.4264010000000003,3.8171660000000003,4.072856000000001,4.387171
26-2802813,,,,,0,0.303706,0.463811,0.665284,0.841523,1.042595,1.24933,1.5665490000000002,1.7371320000000001,2.012461,2.341303,2.587604,2.959805,3.35057,3.60626,3.920575
27-2802842,,,,,,0,0.160105,0.361578,0.537817,0.738889,0.945624,1.2628430000000002,1.433426,1.708755,2.037597,2.2838979999999998,2.6560989999999998,3.046864,3.3025539999999998,3.616869
28-2802830,,,,,,,0,0.201473,0.37771200000000005,0.5787840000000001,0.7855190000000001,1.102738,1.273321,1.5486499999999999,1.877492,2.123793,2.495994,2.886759,3.142449,3.456764
29-2806617,,,,,,,,0,0.176239,0.377311,0.5840460000000001,0.9012650000000001,1.0718480000000001,1.347177,1.6760190000000001,1.9223200000000003,2.2945210000000005,2.6852860000000005,2.9409760000000005,3.2552910000000006
30-2802811,,,,,,,,,0,0.201072,0.40780700000000003,0.7250260000000001,0.8956090000000001,1.170938,1.4997800000000001,1.7460810000000002,2.118282,2.5090470000000002,2.7647370000000002,3.0790520000000003
31-2804980,,,,,,,,,,0,0.206735,0.523954,0.694537,0.9698659999999999,1.298708,1.545009,1.91721,2.307975,2.563665,2.87798
32-2802796,,,,,,,,,,,0,0.31721900000000003,0.487802,0.763131,1.091973,1.3382740000000002,1.7104750000000002,2.10124,2.35693,2.6712450000000003
33-2802177,,,,,,,,,,,,0,0.17058299999999998,0.445912,0.7747539999999999,1.021055,1.393256,1.784021,2.039711,2.354026
34-2802818,,,,,,,,,,,,,0,0.275329,0.604171,0.850472,1.222673,1.613438,1.869128,2.183443
35-2802817,,,,,,,,,,,,,,0,0.328842,0.5751430000000001,0.9473440000000001,1.3381090000000002,1.5937990000000002,1.9081140000000003
36-2802618,,,,,,,,,,,,,,,0,0.24630100000000002,0.618502,1.009267,1.2649569999999999,1.579272
37-2802176,,,,,,,,,,,,,,,,0,0.372201,0.762966,1.018656,1.3329710000000001
38-2806506,,,,,,,,,,,,,,,,,0,0.39076500000000003,0.646455,0.96077
39-2806502,,,,,,,,,,,,,,,,,,0,0.25569000000000003,0.5700050000000001
40-2806508,,,,,,,,,,,,,,,,,,,0,0.314315
41-2806510,,,,,,,,,,,,,,,,,,,,0
