순번_정류장ID,19-2805618,20-2805619,21-2800456,22-2800452,23-2800451,24-2800445,25-2805599,26-2800437,27-2805620,28-2805621,29-2805622,30-2805623,31-2805624,32-2805625,33-2805626,34-2805627,35-2805628
19-2805618,0,0.259628,0.547873,0.7188370000000001,0.9783660000000001,1.152408,1.3006950000000002,2.2726,2.7751230000000002,3.18499,3.668782,3.8987360000000004,4.708484,5.192589,5.722165,5.939822,6.164676
20-2805619,,0,0.288245,0.459209,0.718738,0.89278,1.041067,2.012972,2.515495,2.925362,3.409154,3.6391080000000002,4.448856,4.932961000000001,5.462537000000001,5.680194000000001,5.905048000000001
21-2800456,,,0,0.170964,0.430493,0.604535,0.7528220000000001,1.7247270000000001,2.22725,2.637117,3.120909,3.3508630000000004,4.160611,4.644716000000001,5.174292000000001,5.391949000000001,5.616803000000001
22-2800452,,,,0,0.259529,0.43357100000000004,0.581858,1.553763,2.056286,2.4661530000000003,2.9499450000000005,3.1798990000000007,3.9896470000000006,4.473752000000001,5.0033280000000016,5.2209850000000015,5.445839000000001
23-2800451,,,,,0,0.174042,0.322329,1.2942339999999999,1.796757,2.2066239999999997,2.690416,2.92037,3.730118,4.2142230000000005,4.743799000000001,4.961456000000001,5.186310000000001
24-2800445,,,,,,0,0.148287,1.1201919999999999,1.622715,2.0325819999999997,2.516374,2.746328,3.556076,4.0401810000000005,4.569757000000001,4.787414000000001,5.012268000000001
25-2805599,,,,,,,0,0.9719049999999999,1.4744279999999998,1.8842949999999998,2.368087,2.5980410000000003,3.407789,3.891894,4.42147,4.639127,4.863981
26-2800437,,,,,,,,0,0.5025229999999999,0.9123899999999999,1.396182,1.626136,2.4358839999999997,2.9199889999999997,3.4495649999999998,3.6672219999999998,3.892076
27-2805620,,,,,,,,,0,0.409867,0.893659,1.123613,1.9333609999999999,2.417466,2.947042,3.164699,3.3895530000000003
28-2805621,,,,,,,,,,0,0.483792,0.713746,1.523494,2.007599,2.537175,2.754832,2.979686
29-2805622,,,,,,,,,,,0,0.229954,1.039702,1.523807,2.053383,2.27104,2.4958940000000003
30-2805623,,,,,,,,,,,,0,0.8097479999999999,1.293853,1.823429,2.041086,2.26594
31-2805624,,,,,,,,,,,,,0,0.484105,1.013681,1.231338,1.4561920000000002
32-2805625,,,,,,,,,,,,,,0,0.529576,0.747233,0.972087
33-2805626,,,,,,,,,,,,,,,0,0.21765700000000002,0.442511
34-2805627,,,,,,,,,,,,,,,,0,0.224854
35-2805628,,,,,,,,,,,,,,,,,0
