순번_정류장ID,1-2803031,2-2803025,3-2803016,4-2802985,5-2802957,6-2802946,7-2802943,8-2803287,9-2803281,10-2803275,11-2803251,12-2803242,13-2803231,14-2803229
1-2803031,0,0.17468399999999998,0.493575,0.7901849999999999,0.9932479999999999,1.1001269999999999,1.2970629999999999,2.181577,2.6272379999999997,3.017079,3.549826,3.780992,4.318921,4.554957
2-2803025,,0,0.318891,0.615501,0.818564,0.925443,1.122379,2.006893,2.4525539999999997,2.842395,3.375142,3.606308,4.1442369999999995,4.380273
3-2803016,,,0,0.29661,0.49967300000000003,0.606552,0.803488,1.688002,2.133663,2.523504,3.056251,3.287417,3.825346,4.061382
4-2802985,,,,0,0.20306300000000002,0.30994200000000005,0.506878,1.391392,1.837053,2.226894,2.7596410000000002,2.990807,3.5287360000000003,3.7647720000000002
5-2802957,,,,,0,0.106879,0.303815,1.188329,1.6339899999999998,2.023831,2.556578,2.787744,3.325673,3.561709
6-2802946,,,,,,0,0.196936,1.0814499999999998,1.5271109999999997,1.9169519999999998,2.449699,2.680865,3.218794,3.45483
7-2802943,,,,,,,0,0.8845139999999999,1.3301749999999999,1.7200159999999998,2.252763,2.483929,3.021858,3.257894
8-2803287,,,,,,,,0,0.445661,0.835502,1.368249,1.599415,2.137344,2.37338
9-2803281,,,,,,,,,0,0.389841,0.922588,1.153754,1.6916829999999998,1.9277189999999997
10-2803275,,,,,,,,,,0,0.532747,0.763913,1.301842,1.537878
11-2803251,,,,,,,,,,,0,0.23116599999999998,0.769095,1.005131
12-2803242,,,,,,,,,,,,0,0.537929,0.773965
13-2803231,,,,,,,,,,,,,0,0.23603600000000002
14-2803229,,,,,,,,,,,,,,0
