순번_정류장ID,1-2802961,2-2802981,3-2802962,4-2802925,5-2802905,6-2802885,7-2802851,8-2802823,9-2802783,10-2802757,11-2802733,12-2802706,13-2802625
1-2802961,0,0.365568,0.764656,1.222025,1.4644499999999998,1.829675,2.121728,2.304126,2.728147,3.2034659999999997,3.4417649999999997,3.8643609999999997,4.068537999999999
2-2802981,,0,0.399088,0.856457,1.0988820000000001,1.4641070000000003,1.7561600000000004,1.9385580000000004,2.362579,2.837898,3.076197,3.498793,3.70297
3-2802962,,,0,0.45736899999999997,0.699794,1.065019,1.357072,1.5394700000000001,1.963491,2.43881,2.677109,3.099705,3.303882
4-2802925,,,,0,0.242425,0.60765,0.899703,1.082101,1.506122,1.9814409999999998,2.21974,2.642336,2.846513
5-2802905,,,,,0,0.365225,0.657278,0.8396760000000001,1.263697,1.739016,1.977315,2.399911,2.604088
6-2802885,,,,,,0,0.292053,0.474451,0.8984719999999999,1.3737909999999998,1.6120899999999998,2.0346859999999998,2.238863
7-2802851,,,,,,,0,0.182398,0.606419,1.081738,1.3200370000000001,1.742633,1.9468100000000002
8-2802823,,,,,,,,0,0.424021,0.8993399999999999,1.1376389999999998,1.5602349999999998,1.7644119999999999
9-2802783,,,,,,,,,0,0.47531899999999994,0.7136179999999999,1.1362139999999998,1.3403909999999999
10-2802757,,,,,,,,,,0,0.23829899999999998,0.660895,0.8650720000000001
11-2802733,,,,,,,,,,,0,0.422596,0.626773
12-2802706,,,,,,,,,,,,0,0.204177
13-2802625,,,,,,,,,,,,,0
