순번_정류장ID,28-2805171,29-2805172,30-2806082,31-2803431,32-2806078,33-2803845,34-2803846,35-2805428,36-2805399,37-2806080,38-2804478,39-2800047,40-2800006,41-2804538,42-2804065,43-2800297,44-2803996,45-2803994,46-2803990,47-2803981,48-2803974,49-2803875,50-2803864,51-2803853
28-2805171,0,0.42368100000000003,3.5637670000000004,18.977749000000003,20.354750000000003,20.846774000000003,21.164656000000004,24.823906000000004,25.284888000000006,25.721121000000007,28.52322300000001,33.25366000000001,39.24163400000001,39.967934000000014,40.54878200000002,40.69702200000002,41.00115500000002,42.61771100000002,44.63915100000002,47.36140900000002,47.79584500000002,51.44829200000002,58.478095000000025,64.24210800000003
29-2805172,,0,3.140086,18.554068,19.931069,20.423093,20.740975000000002,24.400225000000002,24.861207000000004,25.297440000000005,28.099542000000007,32.82997900000001,38.81795300000001,39.54425300000001,40.125101000000015,40.273341000000016,40.57747400000002,42.19403000000002,44.21547000000002,46.93772800000002,47.37216400000002,51.02461100000002,58.05441400000002,63.81842700000002
30-2806082,,,0,15.413982,16.790983,17.283007,17.600889000000002,21.260139000000002,21.721121000000004,22.157354000000005,24.959456000000007,29.689893000000005,35.677867000000006,36.40416700000001,36.98501500000001,37.13325500000001,37.43738800000001,39.053944000000016,41.075384000000014,43.79764200000001,44.23207800000001,47.88452500000001,54.91432800000001,60.67834100000001
31-2803431,,,,0,1.377001,1.869025,2.1869069999999997,5.846157,6.307138999999999,6.743371999999999,9.545473999999999,14.275910999999999,20.263885,20.990184999999997,21.571032999999996,21.719272999999998,22.023405999999998,23.639961999999997,25.661401999999995,28.383659999999995,28.818095999999997,32.470543,39.500346,45.264359
32-2806078,,,,,0,0.49202399999999996,0.809906,4.469156,4.9301379999999995,5.366370999999999,8.168472999999999,12.898909999999999,18.886884,19.613183999999997,20.194031999999996,20.342271999999998,20.646404999999998,22.262960999999997,24.284400999999995,27.006658999999996,27.441094999999997,31.093541999999996,38.12334499999999,43.88735799999999
33-2803845,,,,,,0,0.317882,3.977132,4.438114,4.874346999999999,7.676449,12.406886,18.39486,19.12116,19.702008,19.850248,20.154381,21.770937,23.792377000000002,26.514635000000002,26.949071000000004,30.601518000000002,37.631321,43.395334
34-2803846,,,,,,,0,3.65925,4.120232,4.556464999999999,7.358566999999999,12.089004,18.076977999999997,18.803277999999995,19.384125999999995,19.532365999999996,19.836498999999996,21.453054999999996,23.474494999999997,26.196752999999998,26.631189,30.283635999999998,37.313438999999995,43.077451999999994
35-2805428,,,,,,,,0,0.46098199999999995,0.8972149999999999,3.6993169999999997,8.429753999999999,14.417727999999999,15.144027999999999,15.724875999999998,15.873115999999998,16.177248999999996,17.793804999999995,19.815244999999997,22.537502999999997,22.971939,26.624385999999998,33.654188999999995,39.418201999999994
36-2805399,,,,,,,,,0,0.436233,3.238335,7.968772,13.956745999999999,14.683046,15.263893999999999,15.412133999999998,15.716266999999998,17.332822999999998,19.354262999999996,22.076520999999996,22.510956999999998,26.163403999999996,33.193206999999994,38.95721999999999
37-2806080,,,,,,,,,,0,2.802102,7.532539,13.520513,14.246813,14.827660999999999,14.975900999999999,15.280033999999999,16.89659,18.91803,21.640288,22.074724000000003,25.727171000000002,32.756974,38.520987
38-2804478,,,,,,,,,,,0,4.730437,10.718411,11.444711,12.025559,12.173798999999999,12.477932,14.094487999999998,16.115927999999997,18.838185999999997,19.272622,22.925068999999997,29.954871999999998,35.718885
39-2800047,,,,,,,,,,,,0,5.9879739999999995,6.714274,7.295121999999999,7.443362,7.747495,9.364051,11.385491,14.107749,14.542185,18.194632,25.224435,30.988447999999998
40-2800006,,,,,,,,,,,,,0,0.7263,1.3071479999999998,1.4553879999999997,1.7595209999999997,3.3760769999999996,5.397517,8.119775,8.554211,12.206658000000001,19.236461000000002,25.000474
41-2804538,,,,,,,,,,,,,,0,0.5808479999999999,0.729088,1.033221,2.649777,4.671217,7.3934750000000005,7.827911,11.480358,18.510161,24.274174
42-2804065,,,,,,,,,,,,,,,0,0.14824,0.452373,2.068929,4.090369,6.812627,7.247063,10.89951,17.929313,23.693326
43-2800297,,,,,,,,,,,,,,,,0,0.304133,1.9206889999999999,3.942129,6.664387,7.098822999999999,10.75127,17.781073,23.545085999999998
44-2803996,,,,,,,,,,,,,,,,,0,1.6165559999999999,3.6379960000000002,6.360254,6.79469,10.447137,17.47694,23.240952999999998
45-2803994,,,,,,,,,,,,,,,,,,0,2.02144,4.743698,5.178134,8.830581,15.860384,21.624397
46-2803990,,,,,,,,,,,,,,,,,,,0,2.722258,3.156694,6.809141,13.838944000000001,19.602957
47-2803981,,,,,,,,,,,,,,,,,,,,0,0.434436,4.086883,11.116686000000001,16.880699
48-2803974,,,,,,,,,,,,,,,,,,,,,0,3.652447,10.68225,16.446263
49-2803875,,,,,,,,,,,,,,,,,,,,,,0,7.029803,12.793816
50-2803864,,,,,,,,,,,,,,,,,,,,,,,0,5.764012999999999
51-2803853,,,,,,,,,,,,,,,,,,,,,,,,0
