순번_정류장ID,1-2805426,2-2805427,3-2801755,4-2801765,5-2801773,6-2801774,7-2801173,8-2801777,9-2801772,10-2805425
1-2805426,0,0.175232,0.5561860000000001,0.928944,1.414493,1.590299,2.259,2.781703,3.035144,3.417312
2-2805427,,0,0.380954,0.7537119999999999,1.239261,1.4150669999999999,2.083768,2.606471,2.859912,3.24208
3-2801755,,,0,0.372758,0.8583069999999999,1.0341129999999998,1.7028139999999998,2.225517,2.478958,2.861126
4-2801765,,,,0,0.48554899999999995,0.6613549999999999,1.330056,1.8527589999999998,2.1062,2.488368
5-2801773,,,,,0,0.175806,0.844507,1.36721,1.620651,2.002819
6-2801774,,,,,,0,0.668701,1.191404,1.444845,1.827013
7-2801173,,,,,,,0,0.522703,0.776144,1.158312
8-2801777,,,,,,,,0,0.25344099999999997,0.635609
9-2801772,,,,,,,,,0,0.382168
10-2805425,,,,,,,,,,0
