순번_정류장ID,1-2801795,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801659,12-2801647,13-2806781,14-2801568,15-2801498,16-2801479,17-2801473,18-2801486,19-2801519,20-2801571,21-2801610,22-2807616,23-2807617,24-2806090,25-2800225,26-2800217,27-2800210,28-2800187,29-2800177,30-2800143,31-2801030,32-2801024,33-2801003,34-2800959,35-2800841,36-2800840,37-2800839,38-2800981,39-2800535,40-2800544,41-2804975,42-2800560,43-2800569,44-2807222,1-2801796,2-2803545,3-2803552,4-2800816,5-2800818,6-2803063,7-2803062,8-2802651,9-2802638,10-2803042,11-2803043,12-2803115,13-2803133,14-2803106,15-2803109,16-2803239,17-2803252,18-2803249,19-2803226,20-2805712,21-2803122,22-2803094,23-2803630,24-2805651,25-2800679,26-2805253,27-2805251,28-2805249,29-2807222,30-2800563,31-2807520,32-2805676,33-2805630,34-2807038,35-2805632,36-2805634,37-2806163,38-2807626,39-2805703,40-2806807,41-2807439,42-2805702,43-2805700,44-2805698,45-2806024,46-2805696,47-2805694,48-2805636,49-2805692,50-2803651,51-2806491,52-2803678,53-2803679,54-2803155,55-2805705,56-2803154,57-2803655,58-2804981,59-2805148,60-2805812,61-2806027,62-2803298,63-2805832,64-2803179,65-2807423,66-2807232,67-2807362
1-2801795,0,0.233893,0.601213,0.972484,1.376942,1.7075310000000001,2.252223,2.644103,3.1154669999999998,3.490395,3.820022,4.368474,4.621557,5.171966,5.677720000000001,5.8845410000000005,6.216381,6.498616,6.660577,7.011799,7.49985,7.73514,8.414132,8.879699,9.161344,9.735099,10.531008,11.255122,11.740669,14.910961,15.505061,15.867421,16.533062,17.174713,17.675135,17.977664,18.301974,21.753062,22.574925,22.871242,24.202596,24.933139999999998,25.264663,25.619623999999998,26.997965999999998,27.273825,27.834021999999997,28.040673999999996,29.407137999999996,29.623035999999995,30.506434999999996,30.725418999999995,31.169787999999993,31.534558999999994,31.903569999999995,32.737207999999995,33.596951999999995,34.371041999999996,35.235744,35.74752599999999,36.59456999999999,37.23458199999999,37.88652299999999,38.13452599999999,38.58716099999999,39.41583799999999,39.751601999999984,42.84724199999999,44.64989899999999,45.11159699999999,45.55842899999999,47.58200799999999,47.93696899999999,50.26675099999999,61.30351699999999,61.72401399999999,62.04602099999999,62.38989799999999,63.017572999999985,63.32105999999998,63.71511399999998,64.04159099999998,64.43850799999998,64.66025899999998,64.95914899999998,65.15120199999998,65.94862799999999,66.15719899999999,66.47631899999999,67.45526,67.870565,68.306295,69.306639,69.628878,70.554729,70.84265599999999,71.31545399999999,72.18363599999999,72.924871,73.595795,73.93446399999999,74.222579,74.82728,76.21536400000001,76.551432,77.083753,77.473806,82.593566,90.696784,91.075948,94.691225
2-2801793,,0,0.36732,0.738591,1.143049,1.473638,2.0183299999999997,2.4102099999999997,2.8815739999999996,3.256502,3.5861289999999997,4.134581,4.387664,4.938073,5.443827000000001,5.650648,5.982488,6.264723,6.426684,6.777906,7.265957,7.501247,8.180239,8.645806,8.927451,9.501206,10.297115,11.021229,11.506776,14.677068,15.271168,15.633528,16.299169,16.94082,17.441242,17.743771,18.068081,21.519168999999998,22.341032,22.637348999999997,23.968702999999998,24.699246999999996,25.030769999999997,25.385730999999996,26.764072999999996,27.039931999999997,27.600128999999995,27.806780999999994,29.173244999999994,29.389142999999994,30.272541999999994,30.491525999999993,30.93589499999999,31.300665999999993,31.669676999999993,32.50331499999999,33.36305899999999,34.137148999999994,35.001850999999995,35.51363299999999,36.36067699999999,37.00068899999999,37.65262999999999,37.900632999999985,38.353267999999986,39.181944999999985,39.51770899999998,42.613348999999985,44.41600599999998,44.87770399999998,45.32453599999998,47.34811499999998,47.70307599999998,50.03285799999998,61.06962399999998,61.49012099999998,61.81212799999998,62.15600499999998,62.783679999999976,63.08716699999997,63.48122099999997,63.80769799999997,64.20461499999996,64.42636599999996,64.72525599999996,64.91730899999996,65.71473499999996,65.92330599999997,66.24242599999997,67.22136699999997,67.63667199999998,68.07240199999998,69.07274599999998,69.39498499999998,70.32083599999997,70.60876299999997,71.08156099999997,71.94974299999997,72.69097799999997,73.36190199999997,73.70057099999997,73.98868599999997,74.59338699999998,75.98147099999998,76.31753899999998,76.84985999999998,77.23991299999997,82.35967299999997,90.46289099999997,90.84205499999997,94.45733199999998
3-2801779,,,0,0.371271,0.775729,1.106318,1.6510099999999999,2.04289,2.5142539999999998,2.889182,3.218809,3.767261,4.020344,4.570753,5.076506999999999,5.283327999999999,5.615167999999999,5.897402999999999,6.059363999999999,6.410585999999999,6.898636999999999,7.133926999999999,7.812918999999999,8.278486,8.560130999999998,9.133885999999999,9.929794999999999,10.653908999999999,11.139456,14.309747999999999,14.903847999999998,15.266207999999999,15.931849,16.5735,17.073922,17.376451,17.700761,21.151849,21.973712,22.270028999999997,23.601383,24.331926999999997,24.663449999999997,25.018410999999997,26.396752999999997,26.672611999999997,27.232808999999996,27.439460999999994,28.805924999999995,29.021822999999994,29.905221999999995,30.124205999999994,30.568574999999992,30.933345999999993,31.302356999999994,32.135994999999994,32.99573899999999,33.769828999999994,34.634530999999996,35.14631299999999,35.99335699999999,36.63336899999999,37.28530999999999,37.533312999999985,37.985947999999986,38.814624999999985,39.15038899999998,42.246028999999986,44.04868599999999,44.51038399999999,44.95721599999999,46.980794999999986,47.33575599999999,49.66553799999999,60.70230399999999,61.12280099999999,61.44480799999999,61.78868499999999,62.41635999999998,62.71984699999998,63.11390099999998,63.440377999999974,63.837294999999976,64.05904599999998,64.35793599999998,64.54998899999998,65.34741499999998,65.55598599999999,65.87510599999999,66.854047,67.269352,67.705082,68.705426,69.027665,69.953516,70.24144299999999,70.71424099999999,71.58242299999999,72.323658,72.994582,73.33325099999999,73.621366,74.226067,75.614151,75.950219,76.48254,76.872593,81.992353,90.09557099999999,90.474735,94.090012
4-2801766,,,,0,0.404458,0.735047,1.279739,1.671619,2.142983,2.5179110000000002,2.847538,3.3959900000000003,3.6490730000000005,4.199482000000001,4.705236000000001,4.912057000000001,5.2438970000000005,5.5261320000000005,5.688093,6.039315,6.527366000000001,6.762656000000001,7.441648000000001,7.907215000000001,8.18886,8.762615,9.558524,10.282638,10.768185,13.938477,14.532577,14.894937,15.560578000000001,16.202229000000003,16.702651000000003,17.005180000000003,17.329490000000003,20.780578000000002,21.602441000000002,21.898758,23.230112000000002,23.960656,24.292179,24.64714,26.025482,26.301341,26.861538,27.068189999999998,28.434654,28.650551999999998,29.533951,29.752934999999997,30.197303999999995,30.562074999999997,30.931085999999997,31.764723999999998,32.624468,33.398558,34.26326,34.775042,35.622085999999996,36.262097999999995,36.914038999999995,37.16204199999999,37.61467699999999,38.44335399999999,38.77911799999999,41.87475799999999,43.677414999999996,44.139112999999995,44.585944999999995,46.60952399999999,46.964484999999996,49.294267,60.331033,60.751529999999995,61.073536999999995,61.417413999999994,62.04508899999999,62.34857599999999,62.742629999999984,63.06910699999998,63.46602399999998,63.68777499999998,63.98666499999998,64.17871799999998,64.97614399999998,65.18471499999998,65.50383499999998,66.48277599999999,66.89808099999999,67.333811,68.334155,68.65639399999999,69.58224499999999,69.87017199999998,70.34296999999998,71.21115199999998,71.95238699999999,72.62331099999999,72.96197999999998,73.25009499999999,73.854796,75.24288,75.578948,76.111269,76.50132199999999,81.62108199999999,89.72429999999999,90.10346399999999,93.718741
5-2801756,,,,,0,0.33058899999999997,0.875281,1.267161,1.738525,2.1134530000000002,2.44308,2.9915320000000003,3.2446150000000005,3.7950240000000006,4.300778000000001,4.507599000000001,4.8394390000000005,5.1216740000000005,5.283635,5.634857,6.122908000000001,6.358198000000001,7.037190000000001,7.502757000000001,7.784402000000001,8.358157,9.154066,9.87818,10.363727,13.534019,14.128119,14.490479,15.156120000000001,15.797771000000001,16.298193,16.600722,16.925032,20.37612,21.197983,21.4943,22.825654,23.556198,23.887721,24.242682,25.621024,25.896883,26.457079999999998,26.663731999999996,28.030195999999997,28.246093999999996,29.129492999999997,29.348476999999995,29.792845999999994,30.157616999999995,30.526627999999995,31.360265999999996,32.220009999999995,32.994099999999996,33.858802,34.370583999999994,35.21762799999999,35.85763999999999,36.50958099999999,36.75758399999999,37.21021899999999,38.03889599999999,38.374659999999984,41.47029999999999,43.27295699999999,43.73465499999999,44.18148699999999,46.20506599999999,46.56002699999999,48.88980899999999,59.92657499999999,60.34707199999999,60.66907899999999,61.01295599999999,61.640630999999985,61.94411799999998,62.33817199999998,62.664648999999976,63.06156599999998,63.283316999999975,63.582206999999975,63.77425999999998,64.57168599999997,64.78025699999998,65.09937699999998,66.07831799999998,66.49362299999999,66.92935299999999,67.92969699999999,68.25193599999999,69.17778699999998,69.46571399999998,69.93851199999997,70.80669399999998,71.54792899999998,72.21885299999998,72.55752199999998,72.84563699999998,73.45033799999999,74.838422,75.17448999999999,75.70681099999999,76.09686399999998,81.21662399999998,89.31984199999998,89.69900599999998,93.31428299999999
6-2801749,,,,,,0,0.544692,0.936572,1.4079359999999999,1.782864,2.112491,2.660943,2.9140260000000002,3.4644350000000004,3.9701890000000004,4.17701,4.50885,4.791085,4.953046,5.3042679999999995,5.792318999999999,6.027608999999999,6.706600999999999,7.172167999999999,7.453812999999999,8.027567999999999,8.823476999999999,9.547590999999999,10.033138,13.203429999999999,13.797529999999998,14.159889999999999,14.825531,15.467182,15.967604,16.270133,16.594443000000002,20.045531,20.867394,21.163711,22.495065,23.225609,23.557132,23.912093,25.290435,25.566294,26.126490999999998,26.333142999999996,27.699606999999997,27.915504999999996,28.798903999999997,29.017887999999996,29.462256999999994,29.827027999999995,30.196038999999995,31.029676999999996,31.889420999999995,32.66351099999999,33.528212999999994,34.03999499999999,34.88703899999999,35.527050999999986,36.17899199999999,36.426994999999984,36.879629999999985,37.708306999999984,38.04407099999998,41.139710999999984,42.94236799999999,43.404065999999986,43.85089799999999,45.874476999999985,46.22943799999999,48.55921999999999,59.59598599999999,60.01648299999999,60.338489999999986,60.682366999999985,61.31004199999998,61.61352899999998,62.007582999999975,62.33405999999997,62.730976999999974,62.95272799999997,63.25161799999997,63.44367099999997,64.24109699999997,64.44966799999997,64.76878799999997,65.74772899999998,66.16303399999998,66.59876399999999,67.59910799999999,67.92134699999998,68.84719799999998,69.13512499999997,69.60792299999997,70.47610499999998,71.21733999999998,71.88826399999998,72.22693299999997,72.51504799999998,73.11974899999998,74.50783299999999,74.84390099999999,75.37622199999998,75.76627499999998,80.88603499999998,88.98925299999998,89.36841699999998,92.98369399999999
7-2801743,,,,,,,0,0.39188,0.863244,1.238172,1.567799,2.116251,2.3693340000000003,2.9197430000000004,3.4254970000000005,3.6323180000000006,3.9641580000000007,4.246393000000001,4.408354000000001,4.759576000000001,5.247627000000001,5.482917000000001,6.161909000000001,6.6274760000000015,6.909121000000002,7.482876000000002,8.278785000000003,9.002899000000003,9.488446000000003,12.658738000000003,13.252838000000002,13.615198000000003,14.280839000000004,14.922490000000003,15.422912000000004,15.725441000000004,16.049751000000004,19.500839000000003,20.322702000000003,20.619019,21.950373000000003,22.680917,23.01244,23.367401,24.745743,25.021602,25.581799,25.788451,27.154915,27.370813,28.254212,28.473195999999998,28.917564999999996,29.282335999999997,29.651346999999998,30.484984999999998,31.344728999999997,32.118818999999995,32.983520999999996,33.49530299999999,34.34234699999999,34.98235899999999,35.63429999999999,35.882302999999986,36.33493799999999,37.163614999999986,37.49937899999998,40.595018999999986,42.39767599999999,42.85937399999999,43.30620599999999,45.32978499999999,45.68474599999999,48.01452799999999,59.05129399999999,59.47179099999999,59.79379799999999,60.13767499999999,60.765349999999984,61.06883699999998,61.46289099999998,61.789367999999975,62.18628499999998,62.408035999999974,62.706925999999974,62.898978999999976,63.69640499999998,63.90497599999998,64.22409599999997,65.20303699999998,65.61834199999998,66.05407199999999,67.05441599999999,67.37665499999999,68.30250599999998,68.59043299999998,69.06323099999997,69.93141299999998,70.67264799999998,71.34357199999998,71.68224099999998,71.97035599999998,72.57505699999999,73.963141,74.29920899999999,74.83152999999999,75.22158299999998,80.34134299999998,88.44456099999998,88.82372499999998,92.43900199999999
8-2801185,,,,,,,,0,0.471364,0.846292,1.175919,1.724371,1.977454,2.527863,3.033617,3.240438,3.5722780000000003,3.8545130000000003,4.0164740000000005,4.3676960000000005,4.855747000000001,5.091037000000001,5.770029000000001,6.235596000000001,6.517241000000001,7.090996000000001,7.886905000000001,8.611019,9.096566000000001,12.266858000000001,12.860958,13.223318,13.888959000000002,14.530610000000001,15.031032000000002,15.333561000000001,15.657871000000002,19.108959000000002,19.930822000000003,20.227139,21.558493000000002,22.289037,22.62056,22.975521,24.353863,24.629722,25.189919,25.396570999999998,26.763035,26.978932999999998,27.862332,28.081315999999998,28.525684999999996,28.890455999999997,29.259466999999997,30.093104999999998,30.952848999999997,31.726938999999998,32.591640999999996,33.10342299999999,33.95046699999999,34.59047899999999,35.24241999999999,35.490422999999986,35.943057999999986,36.771734999999985,37.10749899999998,40.203138999999986,42.00579599999999,42.46749399999999,42.91432599999999,44.937904999999986,45.29286599999999,47.62264799999999,58.65941399999999,59.07991099999999,59.40191799999999,59.74579499999999,60.37346999999998,60.67695699999998,61.07101099999998,61.397487999999974,61.794404999999976,62.016155999999974,62.315045999999974,62.507098999999975,63.30452499999998,63.513095999999976,63.832215999999974,64.81115699999998,65.22646199999998,65.66219199999999,66.66253599999999,66.98477499999998,67.91062599999998,68.19855299999998,68.67135099999997,69.53953299999998,70.28076799999998,70.95169199999998,71.29036099999998,71.57847599999998,72.18317699999999,73.57126099999999,73.90732899999999,74.43964999999999,74.82970299999998,79.94946299999998,88.05268099999998,88.43184499999998,92.04712199999999
9-2801687,,,,,,,,,0,0.37492800000000004,0.704555,1.2530070000000002,1.5060900000000002,2.056499,2.562253,2.7690740000000003,3.1009140000000004,3.3831490000000004,3.54511,3.896332,4.384383,4.619673,5.298665,5.764232,6.045877,6.619632,7.415541,8.139655,8.625202,11.795494,12.389593999999999,12.751954,13.417595,14.059246,14.559668,14.862197,15.186507,18.637595,19.459458,19.755775,21.087129,21.817673,22.149196,22.504157,23.882499,24.158358,24.718555,24.925206999999997,26.291670999999997,26.507568999999997,27.390967999999997,27.609951999999996,28.054320999999995,28.419091999999996,28.788102999999996,29.621740999999997,30.481484999999996,31.255574999999997,32.120276999999994,32.63205899999999,33.47910299999999,34.11911499999999,34.77105599999999,35.019058999999984,35.471693999999985,36.300370999999984,36.63613499999998,39.731774999999985,41.53443199999998,41.99612999999998,42.44296199999998,44.46654099999998,44.82150199999998,47.15128399999998,58.18804999999998,58.60854699999998,58.93055399999998,59.27443099999998,59.902105999999975,60.20559299999997,60.59964699999997,60.926123999999966,61.32304099999997,61.544791999999966,61.843681999999966,62.03573499999997,62.83316099999997,63.04173199999997,63.360851999999966,64.33979299999997,64.75509799999998,65.19082799999998,66.19117199999998,66.51341099999998,67.43926199999997,67.72718899999997,68.19998699999996,69.06816899999997,69.80940399999997,70.48032799999997,70.81899699999997,71.10711199999997,71.71181299999998,73.09989699999998,73.43596499999998,73.96828599999998,74.35833899999997,79.47809899999997,87.58131699999997,87.96048099999997,91.57575799999998
10-2801184,,,,,,,,,,0,0.329627,0.878079,1.131162,1.681571,2.187325,2.394146,2.7259860000000002,3.0082210000000003,3.170182,3.521404,4.009455,4.244745,4.923737,5.389304,5.670949,6.2447040000000005,7.0406130000000005,7.764727000000001,8.250274000000001,11.420566,12.014666,12.377026,13.042667000000002,13.684318000000001,14.184740000000001,14.487269000000001,14.811579000000002,18.262667,19.08453,19.380847,20.712201,21.442745,21.774268,22.129229,23.507571,23.78343,24.343626999999998,24.550278999999996,25.916742999999997,26.132640999999996,27.016039999999997,27.235023999999996,27.679392999999994,28.044163999999995,28.413174999999995,29.246812999999996,30.106556999999995,30.880646999999996,31.745348999999997,32.257130999999994,33.10417499999999,33.74418699999999,34.39612799999999,34.64413099999999,35.09676599999999,35.92544299999999,36.261206999999985,39.35684699999999,41.159503999999984,41.62120199999998,42.06803399999998,44.09161299999998,44.446573999999984,46.776355999999986,57.813121999999986,58.23361899999998,58.55562599999998,58.89950299999998,59.52717799999998,59.830664999999975,60.22471899999997,60.55119599999997,60.94811299999997,61.16986399999997,61.46875399999997,61.66080699999997,62.45823299999997,62.66680399999997,62.98592399999997,63.96486499999997,64.38016999999996,64.81589999999997,65.81624399999997,66.13848299999997,67.06433399999996,67.35226099999996,67.82505899999995,68.69324099999996,69.43447599999996,70.10539999999996,70.44406899999996,70.73218399999996,71.33688499999997,72.72496899999997,73.06103699999997,73.59335799999997,73.98341099999996,79.10317099999996,87.20638899999996,87.58555299999996,91.20082999999997
