순번_정류장ID,71-2806982,72-2806983,73-2806984,74-2806985,75-2807003,76-2807125,77-2807126,78-2807128,79-2807130,80-2807132
71-2806982,0,0.244642,0.7729590000000001,1.020963,1.70788,2.182597,3.2550489999999996,3.8129429999999997,4.508807,5.265334
72-2806983,,0,0.528317,0.776321,1.463238,1.937955,3.010407,3.568301,4.264165,5.020692
73-2806984,,,0,0.248004,0.934921,1.409638,2.48209,3.039984,3.735848,4.492375
74-2806985,,,,0,0.686917,1.161634,2.234086,2.79198,3.487844,4.244371
75-2807003,,,,,0,0.474717,1.547169,2.105063,2.8009269999999997,3.557454
76-2807125,,,,,,0,1.072452,1.6303459999999999,2.3262099999999997,3.082737
77-2807126,,,,,,,0,0.557894,1.253758,2.010285
78-2807128,,,,,,,,0,0.695864,1.452391
79-2807130,,,,,,,,,0,0.7565270000000001
80-2807132,,,,,,,,,,0
