순번_정류장ID,1-2807632,2-2805232,3-2805872,4-2805230,5-2805333,6-2805228,7-2805226,8-2805575,9-2805499,10-2805843,11-2805408,12-2804947,13-2805317,14-2804969,15-2805568,16-2804895,17-2805911,18-2806732,19-2806730,20-2807462,21-2806214,22-2800615,23-2800622,24-2800627,25-2800336,26-2800658,27-2800670,28-2800345,29-2800681,30-2800689,31-2800701,32-2800704,33-2800726,34-2800751,35-2800765,36-2800771,37-2800764,38-2800756,39-2800761,40-2800775,41-2801761,42-2801771,43-2801773,44-2801774,45-2801787,46-2801806,47-2801954,48-2801977,49-2802024,50-2802051,51-2802098,52-2802129,53-2802152,54-2802163,55-2802618,56-2802176,57-2806506,58-2806502,59-2806508,60-2806510
1-2807632,0,4.715615000000001,4.907274,5.134142,5.352583999999999,5.554015999999999,6.012935999999999,6.2320579999999985,6.548438999999998,6.822355999999998,7.0312519999999985,7.316788999999998,7.477925999999998,7.674630999999998,8.087214999999999,8.391329999999998,8.659468999999998,9.001438999999998,9.481703999999997,9.697759999999997,10.335922999999998,11.068516999999998,11.267887999999997,11.613026999999997,12.057936999999997,12.317923999999998,12.579958999999999,12.986495999999999,13.721552999999998,14.075844999999997,14.394448999999998,14.718624999999998,15.083062999999997,15.490441999999998,15.708587999999999,16.318172,16.504602000000002,16.649706000000002,17.006842000000002,17.352499,17.902707000000003,18.240993000000003,18.669015,18.844821000000003,19.349450000000004,19.865451000000004,20.395506000000005,20.763890000000004,21.204733000000004,21.397211000000006,21.856543000000006,22.228580000000004,22.882499000000003,23.238087000000004,23.944276000000002,24.190577,24.562778,24.953543000000003,25.209233000000005,25.523548000000005
2-2805232,,0,0.191659,0.418527,0.636969,0.838401,1.297321,1.516443,1.832824,2.106741,2.315637,2.6011740000000003,2.7623110000000004,2.9590160000000005,3.3716000000000004,3.6757150000000003,3.9438540000000004,4.285824000000001,4.766089000000001,4.982145000000001,5.620308000000001,6.352902000000001,6.552273000000001,6.897412000000001,7.342322000000001,7.602309000000001,7.864344000000001,8.270881000000001,9.005938,9.36023,9.678834,10.00301,10.367448,10.774827,10.992973000000001,11.602557000000001,11.788987,11.934091,12.291227000000001,12.636884,13.187092,13.525378,13.9534,14.129206,14.633835,15.149835999999999,15.679891,16.048275,16.489118,16.681596000000003,17.140928000000002,17.512965,18.166884,18.522472,19.228661,19.474961999999998,19.847163,20.237927999999997,20.493617999999998,20.807933
3-2805872,,,0,0.226868,0.44531,0.6467419999999999,1.105662,1.324784,1.641165,1.915082,2.123978,2.4095150000000003,2.5706520000000004,2.7673570000000005,3.1799410000000004,3.4840560000000003,3.7521950000000004,4.094165,4.57443,4.7904860000000005,5.428649,6.161243,6.360614,6.705753,7.150663,7.4106499999999995,7.6726849999999995,8.079222,8.814278999999999,9.168570999999998,9.487174999999999,9.811350999999998,10.175788999999998,10.583167999999999,10.801314,11.410898,11.597328,11.742431999999999,12.099568,12.445224999999999,12.995432999999998,13.333718999999999,13.761740999999999,13.937546999999999,14.442175999999998,14.958176999999997,15.488231999999998,15.856615999999999,16.297459,16.489937,16.949269,17.321306,17.975225,18.330813,19.037001999999998,19.283302999999997,19.655503999999997,20.046268999999995,20.301958999999997,20.616273999999997
4-2805230,,,,0,0.218442,0.41987399999999997,0.878794,1.097916,1.414297,1.6882139999999999,1.8971099999999999,2.182647,2.343784,2.540489,2.953073,3.2571879999999998,3.525327,3.8672969999999998,4.347562,4.563618,5.201781,5.934375,6.133746,6.478885,6.923795,7.183782,7.445817,7.852354,8.587411,8.941702999999999,9.260307,9.584482999999999,9.948920999999999,10.3563,10.574446,11.18403,11.37046,11.515564,11.8727,12.218357,12.768564999999999,13.106850999999999,13.534873,13.710678999999999,14.215307999999999,14.731308999999998,15.261363999999999,15.629748,16.070591,16.263069,16.722401,17.094438,17.748357,18.103945,18.810133999999998,19.056434999999997,19.428635999999997,19.819401,20.075091,20.389406
5-2805333,,,,,0,0.201432,0.660352,0.8794740000000001,1.1958550000000001,1.469772,1.678668,1.964205,2.125342,2.322047,2.734631,3.0387459999999997,3.306885,3.6488549999999997,4.1291199999999995,4.3451759999999995,4.983338999999999,5.715932999999999,5.915303999999999,6.260442999999999,6.705352999999999,6.9653399999999985,7.2273749999999986,7.633911999999999,8.368968999999998,8.723260999999997,9.041864999999998,9.366040999999997,9.730478999999997,10.137857999999998,10.356003999999999,10.965587999999999,11.152017999999998,11.297121999999998,11.654257999999999,11.999914999999998,12.550122999999997,12.888408999999998,13.316430999999998,13.492236999999998,13.996865999999997,14.512866999999996,15.042921999999997,15.411305999999998,15.852148999999997,16.044627,16.503959,16.875995999999997,17.529914999999995,17.885502999999996,18.591691999999995,18.837992999999994,19.210193999999994,19.600958999999996,19.856648999999997,20.170963999999998
6-2805228,,,,,,0,0.45892,0.678042,0.9944230000000001,1.26834,1.477236,1.762773,1.92391,2.120615,2.5331989999999998,2.8373139999999997,3.105453,3.4474229999999997,3.927688,4.143744,4.781907,5.514501,5.713872,6.059011,6.503921,6.763908,7.025943,7.43248,8.167537,8.521828999999999,8.840432999999999,9.164608999999999,9.529046999999998,9.936425999999999,10.154572,10.764156,10.950586,11.09569,11.452826,11.798483,12.348690999999999,12.686976999999999,13.114999,13.290804999999999,13.795433999999998,14.311434999999998,14.841489999999999,15.209874,15.650716999999998,15.843194999999998,16.302526999999998,16.674563999999997,17.328482999999995,17.684070999999996,18.390259999999994,18.636560999999993,19.008761999999994,19.399526999999992,19.655216999999993,19.969531999999994
7-2805226,,,,,,,0,0.21912199999999998,0.535503,0.80942,1.018316,1.303853,1.46499,1.661695,2.0742789999999998,2.3783939999999997,2.646533,2.9885029999999997,3.468768,3.684824,4.3229869999999995,5.055580999999999,5.254951999999999,5.600090999999999,6.045000999999999,6.304987999999999,6.567022999999999,6.973559999999999,7.708616999999999,8.062909,8.381513,8.705689,9.070127,9.477506,9.695652,10.305236,10.491666,10.63677,10.993906,11.339563,11.889771,12.228057,12.656079,12.831885,13.336514,13.852514999999999,14.38257,14.750954,15.191797,15.384274999999999,15.843606999999999,16.215643999999998,16.869562999999996,17.225150999999997,17.931339999999995,18.177640999999994,18.549841999999995,18.940606999999993,19.196296999999994,19.510611999999995
8-2805575,,,,,,,,0,0.31638099999999997,0.590298,0.799194,1.084731,1.245868,1.4425729999999999,1.855157,2.159272,2.427411,2.769381,3.2496460000000003,3.4657020000000003,4.103865000000001,4.8364590000000005,5.035830000000001,5.380969,5.8258790000000005,6.085866,6.347901,6.754438,7.489495000000001,7.843787000000001,8.162391000000001,8.486567,8.851005,9.258384000000001,9.476530000000002,10.086114000000002,10.272544000000002,10.417648000000002,10.774784000000002,11.120441000000001,11.670649000000001,12.008935000000001,12.436957000000001,12.612763000000001,13.117392,13.633393,14.163448,14.531832000000001,14.972675,15.165153,15.624485,15.996522,16.650441,17.006029,17.712218,17.958519,18.33072,18.721485,18.977175000000003,19.291490000000003
9-2805499,,,,,,,,,0,0.273917,0.48281300000000005,0.7683500000000001,0.9294870000000001,1.126192,1.5387760000000001,1.8428910000000003,2.1110300000000004,2.4530000000000003,2.9332650000000005,3.1493210000000005,3.7874840000000005,4.520078000000001,4.719449000000001,5.0645880000000005,5.509498000000001,5.769485,6.03152,6.438057000000001,7.173114000000001,7.527406000000001,7.846010000000001,8.170186000000001,8.534624,8.942003000000001,9.160149000000002,9.769733000000002,9.956163000000002,10.101267000000002,10.458403000000002,10.804060000000002,11.354268000000001,11.692554000000001,12.120576000000002,12.296382000000001,12.801011,13.317012,13.847067000000001,14.215451000000002,14.656294,14.848772,15.308104,15.680141,16.33406,16.689648000000002,17.395837,17.642138,18.014339,18.405104,18.660794000000003,18.975109000000003
10-2805843,,,,,,,,,,0,0.208896,0.494433,0.65557,0.852275,1.264859,1.5689739999999999,1.8371129999999998,2.179083,2.6593479999999996,2.8754039999999996,3.5135669999999997,4.246161,4.445532,4.790671,5.235581,5.495568,5.757603,6.16414,6.899197,7.253489,7.572093,7.896269,8.260707,8.668086,8.886232000000001,9.495816000000001,9.682246000000001,9.827350000000001,10.184486000000001,10.530143,11.080351,11.418637,11.846659,12.022465,12.527094,13.043095,13.57315,13.941534,14.382377,14.574855,15.034187,15.406224,16.060143,16.415731,17.12192,17.368221,17.740422,18.131186999999997,18.386877,18.701192
