순번_정류장ID,1-2807426,2-2806167,3-2807235,4-2807284,5-2807244,6-2807239,7-2807240,8-2800339
1-2807426,0,2.36956,3.6936999999999998,4.253304,5.490803,6.20121,6.828126999999999,9.642544
2-2806167,,0,1.3241399999999999,1.8837439999999999,3.1212429999999998,3.83165,4.4585669999999995,7.272983999999999
3-2807235,,,0,0.559604,1.797103,2.50751,3.134427,5.948843999999999
4-2807284,,,,0,1.237499,1.947906,2.574823,5.389239999999999
5-2807244,,,,,0,0.710407,1.3373240000000002,4.1517409999999995
6-2807239,,,,,,0,0.6269170000000001,3.441334
7-2807240,,,,,,,0,2.8144169999999997
8-2800339,,,,,,,,0
