순번_정류장ID,94-2805764,95-2803452,96-2803436,97-2803437,98-2803431,99-2803435,100-2800829,101-2800831,102-2804992,103-2807333,104-2800847,105-2800877,106-2800822,107-2805940,108-2800875,109-2800924,110-2800926,111-2800933,112-2800939,113-2800842,114-2800999,115-2801020,116-2801036,117-2801058,118-2801079,119-2801095,120-2801102,121-2801098,122-2801070,123-2801041,124-2800837,125-2801007,126-2800987,127-2800981,128-2800992,129-2800994,130-2800526,131-2800528,132-2800532,133-2800535,134-2800545,135-2800337,136-2800559,137-2800572,138-2800578,139-2800580,140-2805741,141-2805680,142-2800575,143-2800562,144-2800555,145-2800541,146-2800530,147-2800523,148-2800519,149-2800517,150-2800515,151-2805304,152-2800498,153-2800497,154-2800493,155-2800344,156-2800481,157-2805944,158-2803595,159-2800468,160-2800465,161-2800462,162-2800460,163-2800453,164-2800458,165-2800330,166-2800473,167-2800476,168-2800487,169-2805285,170-2800490,171-2806249,172-2806250,173-2806252,174-2806254,175-2806256,176-2806258,177-2806260,178-2806262,179-2805257,180-2805258,181-2805260,182-2805262,183-2805264,184-2805267
94-2805764,0,0.749333,1.263196,1.649664,2.191577,4.686561,4.9980780000000005,8.144698,8.662135,8.963434999999999,9.172932,9.503186999999999,9.825684999999998,10.030688999999999,10.308615,10.920565999999999,11.292425,11.518941,12.139343,12.495124,12.830188,13.093456,13.454867,13.768425,14.071777,14.339311,14.694377000000001,14.940438,15.292411,15.693106,15.920415,16.136338,16.446033,16.800997,17.122899999999998,18.764256999999997,19.092736999999996,19.478110999999995,19.897120999999995,20.294234999999993,20.490783999999994,20.831987999999996,21.046817999999995,21.338695999999995,21.735636999999997,21.911007999999995,21.969292999999997,22.276593999999996,22.495015999999996,22.833250999999997,23.252757999999996,23.732897999999995,24.017784999999996,24.262002999999996,24.421042999999997,24.600689999999997,25.270602999999998,26.287270999999997,26.567004999999998,27.067414999999997,27.378183999999997,27.627985999999996,27.916202999999996,28.225755999999997,28.448066999999998,28.745043,29.017827,29.263964,29.688865,30.011416,30.250233,30.571879000000003,30.785311000000004,31.320083000000004,31.624664000000003,31.879087000000002,32.405269000000004,32.648527,33.040883,33.273374000000004,33.836600000000004,34.498496,34.892349,35.028816000000006,35.753339000000004,36.176184000000006,36.446678000000006,36.83171600000001,37.23837100000001,37.74081100000001,38.01999000000001
95-2803452,,0,0.513863,0.900331,1.442244,3.937228,4.248745,7.395365,7.912802,8.214102,8.423599000000001,8.753854,9.076352,9.281356,9.559282000000001,10.171233,10.543092000000001,10.769608000000002,11.390010000000002,11.745791000000002,12.080855000000001,12.344123000000002,12.705534000000002,13.019092000000002,13.322444000000003,13.589978000000002,13.945044000000003,14.191105000000002,14.543078000000001,14.943773000000002,15.171082000000002,15.387005000000002,15.696700000000002,16.051664000000002,16.373567,18.014924,18.343404,18.728778,19.147788,19.544901999999997,19.741450999999998,20.082655,20.297484999999998,20.589363,20.986303999999997,21.161674999999995,21.219959999999997,21.527260999999996,21.745682999999996,22.083917999999997,22.503424999999996,22.983564999999995,23.268451999999996,23.512669999999996,23.671709999999997,23.851356999999997,24.521269999999998,25.537937999999997,25.817671999999998,26.318081999999997,26.628850999999997,26.878652999999996,27.166869999999996,27.476422999999997,27.698733999999998,27.99571,28.268494,28.514631,28.939532,29.262083,29.5009,29.822546000000003,30.035978000000004,30.570750000000004,30.875331000000003,31.129754000000002,31.655936,31.899194,32.29155,32.524041000000004,33.087267000000004,33.749163,34.143016,34.279483000000006,35.004006000000004,35.426851000000006,35.697345000000006,36.08238300000001,36.48903800000001,36.99147800000001,37.27065700000001
96-2803436,,,0,0.386468,0.9283809999999999,3.423365,3.734882,6.881501999999999,7.3989389999999995,7.700239,7.909736,8.239991,8.562489,8.767493,9.045419,9.65737,10.029229,10.255745000000001,10.876147000000001,11.231928000000002,11.566992,11.83026,12.191671000000001,12.505229000000002,12.808581000000002,13.076115000000001,13.431181000000002,13.677242000000001,14.029215,14.429910000000001,14.657219000000001,14.873142000000001,15.182837000000001,15.537801000000002,15.859704000000002,17.501061000000004,17.829541000000003,18.214915,18.633925,19.031039,19.227588,19.568792000000002,19.783622,20.0755,20.472441000000003,20.647812000000002,20.706097000000003,21.013398000000002,21.231820000000003,21.570055000000004,21.989562000000003,22.469702,22.754589000000003,22.998807000000003,23.157847000000004,23.337494000000003,24.007407000000004,25.024075000000003,25.303809000000005,25.804219000000003,26.114988000000004,26.364790000000003,26.653007000000002,26.962560000000003,27.184871000000005,27.481847000000005,27.754631000000007,28.000768000000008,28.425669000000006,28.748220000000007,28.987037000000008,29.30868300000001,29.52211500000001,30.05688700000001,30.36146800000001,30.61589100000001,31.142073000000007,31.385331000000008,31.777687000000007,32.01017800000001,32.57340400000001,33.23530000000001,33.62915300000001,33.76562000000001,34.49014300000001,34.91298800000001,35.18348200000001,35.568520000000014,35.975175000000014,36.477615000000014,36.75679400000001
97-2803437,,,,0,0.541913,3.036897,3.348414,6.495034,7.012471000000001,7.313771000000001,7.523268000000001,7.853523000000001,8.176021,8.381025000000001,8.658951000000002,9.270902000000001,9.642761000000002,9.869277000000002,10.489679000000002,10.845460000000003,11.180524000000002,11.443792000000002,11.805203000000002,12.118761000000003,12.422113000000003,12.689647000000003,13.044713000000003,13.290774000000003,13.642747000000002,14.043442000000002,14.270751000000002,14.486674000000002,14.796369000000002,15.151333000000003,15.473236000000004,17.114593000000003,17.443073000000002,17.828447,18.247457,18.644571,18.84112,19.182324,19.397154,19.689032,20.085973000000003,20.261344,20.319629000000003,20.62693,20.845352000000002,21.183587000000003,21.603094000000002,22.083234,22.368121000000002,22.612339000000002,22.771379000000003,22.951026000000002,23.620939000000003,24.637607000000003,24.917341000000004,25.417751000000003,25.728520000000003,25.978322000000002,26.266539,26.576092000000003,26.798403000000004,27.095379000000005,27.368163000000006,27.614300000000007,28.039201000000006,28.361752000000006,28.600569000000007,28.92221500000001,29.13564700000001,29.67041900000001,29.97500000000001,30.229423000000008,30.755605000000006,30.998863000000007,31.391219000000007,31.623710000000006,32.186936,32.848832,33.242685,33.379152000000005,34.103675,34.526520000000005,34.797014000000004,35.182052000000006,35.58870700000001,36.09114700000001,36.370326000000006
98-2803431,,,,,0,2.494984,2.806501,5.953120999999999,6.470558,6.771858,6.981355,7.31161,7.634108,7.839112,8.117038,8.728989,9.100848000000001,9.327364000000001,9.947766000000001,10.303547000000002,10.638611000000001,10.901879000000001,11.263290000000001,11.576848000000002,11.880200000000002,12.147734000000002,12.502800000000002,12.748861000000002,13.100834,13.501529000000001,13.728838000000001,13.944761000000002,14.254456000000001,14.609420000000002,14.931323000000003,16.572680000000002,16.90116,17.286534,17.705544,18.102657999999998,18.299207,18.640411,18.855241,19.147119,19.54406,19.719431,19.777716,20.085017,20.303439,20.641674000000002,21.061181,21.541321,21.826208,22.070426,22.229466000000002,22.409113,23.079026000000002,24.095694,24.375428000000003,24.875838,25.186607000000002,25.436409,25.724626,26.034179,26.256490000000003,26.553466000000004,26.826250000000005,27.072387000000006,27.497288000000005,27.819839000000005,28.058656000000006,28.380302000000007,28.59373400000001,29.12850600000001,29.433087000000008,29.687510000000007,30.213692000000005,30.456950000000006,30.849306000000006,31.081797000000005,31.645023000000005,32.30691900000001,32.70077200000001,32.83723900000001,33.56176200000001,33.98460700000001,34.25510100000001,34.64013900000001,35.04679400000001,35.54923400000001,35.82841300000001
99-2803435,,,,,,0,0.311517,3.458137,3.975574,4.276874,4.486371,4.816626,5.139124000000001,5.344128,5.622054,6.234005000000001,6.605864,6.832380000000001,7.452782000000001,7.808563000000001,8.143627,8.406895,8.768306,9.081864000000001,9.385216000000002,9.652750000000001,10.007816000000002,10.253877000000001,10.60585,11.006545000000001,11.233854000000001,11.449777000000001,11.759472,12.114436000000001,12.436339000000002,14.077696000000001,14.406176000000002,14.791550000000003,15.210560000000003,15.607674000000003,15.804223000000002,16.145427,16.360257,16.652135,17.049076,17.224446999999998,17.282732,17.590033,17.808455,18.14669,18.566197,19.046336999999998,19.331224,19.575442,19.734482,19.914129,20.584042,21.60071,21.880444,22.380854,22.691623,22.941425,23.229642,23.539195,23.761506,24.058482,24.331266000000003,24.577403000000004,25.002304000000002,25.324855000000003,25.563672000000004,25.885318000000005,26.098750000000006,26.633522000000006,26.938103000000005,27.192526000000004,27.718708000000003,27.961966000000004,28.354322000000003,28.586813000000003,29.150039000000003,29.811935000000002,30.205788000000002,30.342255,31.066778000000003,31.489623,31.760117,32.145155,32.55181,33.05425,33.333429
100-2800829,,,,,,,0,3.14662,3.664057,3.965357,4.174854,4.505109,4.827607,5.032611,5.310537,5.922488,6.294347,6.520863,7.141265000000001,7.497046000000001,7.832110000000001,8.095378,8.456789,8.770347000000001,9.073699000000001,9.341233,9.696299000000002,9.94236,10.294333,10.695028,10.922337,11.13826,11.447955,11.802919000000001,12.124822000000002,13.766179000000001,14.094659000000002,14.480033000000002,14.899043000000002,15.296157000000003,15.492706000000002,15.833910000000001,16.048740000000002,16.340618000000003,16.737559000000005,16.912930000000003,16.971215000000004,17.278516000000003,17.496938000000004,17.835173000000005,18.254680000000004,18.734820000000003,19.019707000000004,19.263925000000004,19.422965000000005,19.602612000000004,20.272525000000005,21.289193000000004,21.568927000000006,22.069337000000004,22.380106000000005,22.629908000000004,22.918125000000003,23.227678000000004,23.449989000000006,23.746965000000007,24.019749000000008,24.26588600000001,24.690787000000007,25.013338000000008,25.25215500000001,25.57380100000001,25.78723300000001,26.32200500000001,26.62658600000001,26.88100900000001,27.407191000000008,27.65044900000001,28.04280500000001,28.275296000000008,28.838522000000008,29.500418000000007,29.894271000000007,30.030738000000007,30.755261000000008,31.178106000000007,31.448600000000006,31.833638000000008,32.24029300000001,32.74273300000001,33.02191200000001
101-2800831,,,,,,,,0,0.517437,0.818737,1.028234,1.358489,1.680987,1.885991,2.163917,2.775868,3.147727,3.3742430000000003,3.9946450000000002,4.350426000000001,4.685490000000001,4.948758000000001,5.310169000000001,5.623727000000001,5.927079000000001,6.194613000000001,6.549679000000001,6.795740000000001,7.147713000000001,7.548408000000001,7.775717000000001,7.991640000000001,8.301335000000002,8.656299000000002,8.978202000000003,10.619559000000002,10.948039000000003,11.333413000000004,11.752423000000004,12.149537000000004,12.346086000000003,12.687290000000003,12.902120000000002,13.193998000000002,13.590939000000002,13.766310000000002,13.824595000000002,14.131896000000003,14.350318000000003,14.688553000000002,15.108060000000002,15.588200000000002,15.873087000000002,16.117305,16.276345000000003,16.455992000000002,17.125905000000003,18.142573000000002,18.422307000000004,18.922717000000002,19.233486000000003,19.483288,19.771505,20.081058000000002,20.303369000000004,20.600345000000004,20.873129000000006,21.119266000000007,21.544167000000005,21.866718000000006,22.105535000000007,22.427181000000008,22.64061300000001,23.17538500000001,23.479966000000008,23.734389000000007,24.260571000000006,24.503829000000007,24.896185000000006,25.128676000000006,25.691902000000006,26.353798000000005,26.747651000000005,26.884118000000004,27.608641000000006,28.031486000000005,28.301980000000004,28.687018000000005,29.093673000000006,29.596113000000006,29.875292000000005
102-2804992,,,,,,,,,0,0.3013,0.510797,0.8410519999999999,1.1635499999999999,1.3685539999999998,1.64648,2.258431,2.63029,2.856806,3.477208,3.832989,4.168053,4.431321,4.792732,5.1062899999999996,5.409642,5.677176,6.032242,6.278303,6.630276,7.030971,7.25828,7.474203,7.783898,8.138862,8.460765,10.102122,10.430602,10.815976000000001,11.234986000000001,11.632100000000001,11.828649,12.169853,12.384682999999999,12.676561,13.073502,13.248873,13.307158,13.614459,13.832881,14.171116,14.590622999999999,15.070763,15.355649999999999,15.599867999999999,15.758907999999998,15.938554999999997,16.608468,17.625135999999998,17.90487,18.405279999999998,18.716048999999998,18.965850999999997,19.254067999999997,19.563620999999998,19.785932,20.082908,20.355692,20.601829000000002,21.02673,21.349281,21.588098000000002,21.909744000000003,22.123176000000004,22.657948000000005,22.962529000000004,23.216952000000003,23.743134,23.986392000000002,24.378748,24.611239,25.174465,25.836361,26.230214,26.366681,27.091204,27.514049,27.784543,28.169581,28.576236,29.078676,29.357855
103-2807333,,,,,,,,,,0,0.209497,0.539752,0.86225,1.067254,1.34518,1.957131,2.32899,2.5555060000000003,3.175908,3.531689,3.866753,4.130021,4.4914320000000005,4.80499,5.108342,5.375876000000001,5.730942000000001,5.977003000000001,6.328976000000001,6.729671000000001,6.956980000000001,7.172903000000001,7.482598,7.837562,8.159465,9.800822,10.129302000000001,10.514676000000001,10.933686000000002,11.330800000000002,11.527349000000001,11.868553,12.083383,12.375261,12.772202,12.947573,13.005858,13.313159,13.531581000000001,13.869816,14.289323,14.769463,15.05435,15.298568,15.457607999999999,15.637254999999998,16.307167999999997,17.323835999999996,17.603569999999998,18.103979999999996,18.414748999999997,18.664550999999996,18.952767999999995,19.262320999999996,19.484631999999998,19.781608,20.054392,20.300529,20.72543,21.047981,21.286798,21.608444000000002,21.821876000000003,22.356648000000003,22.661229000000002,22.915652,23.441834,23.685092,24.077448,24.309939,24.873165,25.535061,25.928914,26.065381,26.789904,27.212749,27.483242999999998,27.868281,28.274936,28.777376,29.056555
