순번_정류장ID,9-2800608,10-2807241,11-2807242,12-2807243,13-2807285,14-2807238,15-2806168
9-2800608,0,2.76986,3.301559,4.293058,5.3620220000000005,5.909104,7.2489490000000005
10-2807241,,0,0.531699,1.523198,2.592162,3.139244,4.479089
11-2807242,,,0,0.991499,2.060463,2.607545,3.9473900000000004
12-2807243,,,,0,1.068964,1.6160459999999999,2.9558910000000003
13-2807285,,,,,0,0.547082,1.886927
14-2807238,,,,,,0,1.3398450000000002
15-2806168,,,,,,,0
