순번_정류장ID,8-2807567,9-2807571,10-2807570,11-2807564
8-2807567,0,0.004463,0.008417000000000001,0.013561
9-2807571,,0,0.003954,0.009098
10-2807570,,,0,0.005144
11-2807564,,,,0
