순번_정류장ID,1-2800270,2-2800268,3-2804133,4-2804131,5-2806884,6-2806882,7-2806880,8-2806878,9-2806876,10-2806874,11-2806871,12-2804147,13-2804685,14-2804679,15-2804676,16-2804674,17-2804162,18-2804164,19-2805495,20-2805490,21-2807401,22-2805491,23-2805493
1-2800270,0,0.653303,0.8688359999999999,1.401967,1.90283,2.175841,2.506378,3.0010310000000002,3.603791,4.519283,5.145639999999999,6.0663149999999995,6.894229999999999,7.2223679999999995,7.489502,8.839164,9.828526,10.244104,10.741798,11.28519,11.729368000000001,12.249056000000001,12.297329000000001
2-2800268,,0,0.215533,0.748664,1.249527,1.522538,1.853075,2.347728,2.950488,3.86598,4.492337,5.413012,6.240927,6.569065,6.836199000000001,8.185861000000001,9.175223,9.590801,10.088495,10.631887,11.076065,11.595753,11.644026
3-2804133,,,0,0.533131,1.033994,1.3070050000000002,1.6375420000000003,2.1321950000000003,2.7349550000000002,3.650447,4.276804,5.197479,6.025394,6.353532,6.620666000000001,7.970328000000001,8.959690000000002,9.375268000000002,9.872962000000001,10.416354000000002,10.860532000000003,11.380220000000003,11.428493000000003
4-2804131,,,,0,0.5008630000000001,0.7738740000000001,1.104411,1.599064,2.2018240000000002,3.117316,3.7436730000000003,4.664348,5.492263,5.820401,6.087535000000001,7.437197000000001,8.426559000000001,8.842137000000001,9.339831,9.883223000000001,10.327401000000002,10.847089000000002,10.895362000000002
5-2806884,,,,,0,0.273011,0.603548,1.098201,1.700961,2.616453,3.24281,4.163485,4.9914,5.319538,5.586672,6.936334,7.925696,8.341274,8.838968,9.38236,9.826538,10.346226,10.394499
6-2806882,,,,,,0,0.33053699999999997,0.8251899999999999,1.42795,2.343442,2.969799,3.890474,4.718389,5.046527,5.313661000000001,6.663323000000001,7.652685000000001,8.068263,8.565957,9.109349,9.553526999999999,10.073215,10.121488
7-2806880,,,,,,,0,0.49465299999999995,1.097413,2.012905,2.639262,3.559937,4.3878520000000005,4.715990000000001,4.983124000000001,6.332786000000001,7.322148000000001,7.737726000000001,8.235420000000001,8.778812000000002,9.222990000000003,9.742678000000003,9.790951000000003
8-2806878,,,,,,,,0,0.6027600000000001,1.518252,2.144609,3.065284,3.893199,4.221337,4.4884710000000005,5.838133000000001,6.827495000000001,7.243073000000001,7.740767000000001,8.284159,8.728337,9.248025,9.296298
9-2806876,,,,,,,,,0,0.915492,1.541849,2.462524,3.290439,3.618577,3.885711,5.235373,6.224735,6.640313,7.138007,7.681399,8.125577,8.645265,8.693538
10-2806874,,,,,,,,,,0,0.6263569999999999,1.547032,2.3749469999999997,2.7030849999999997,2.9702189999999997,4.319881,5.3092429999999995,5.7248209999999995,6.222515,6.7659069999999994,7.210084999999999,7.729773,7.778046
11-2806871,,,,,,,,,,,0,0.920675,1.74859,2.076728,2.343862,3.693524,4.682886,5.098464,5.596158,6.13955,6.583728,7.103416,7.151689
12-2804147,,,,,,,,,,,,0,0.827915,1.156053,1.423187,2.772849,3.7622109999999997,4.177789,4.675483,5.218875,5.663053,6.182741,6.231014
13-2804685,,,,,,,,,,,,,0,0.328138,0.595272,1.9449340000000002,2.9342960000000002,3.3498740000000002,3.8475680000000003,4.390960000000001,4.835138000000001,5.354826000000001,5.403099000000001
14-2804679,,,,,,,,,,,,,,0,0.26713400000000004,1.6167960000000001,2.606158,3.021736,3.5194300000000003,4.062822000000001,4.507000000000001,5.026688000000001,5.074961000000001
15-2804676,,,,,,,,,,,,,,,0,1.3496620000000001,2.339024,2.754602,3.2522960000000003,3.795688,4.239866,4.7595540000000005,4.8078270000000005
16-2804674,,,,,,,,,,,,,,,,0,0.9893620000000001,1.40494,1.902634,2.446026,2.8902039999999998,3.4098919999999997,3.4581649999999997
17-2804162,,,,,,,,,,,,,,,,,0,0.41557799999999995,0.9132719999999999,1.456664,1.900842,2.42053,2.468803
18-2804164,,,,,,,,,,,,,,,,,,0,0.49769399999999997,1.041086,1.485264,2.004952,2.053225
19-2805495,,,,,,,,,,,,,,,,,,,0,0.543392,0.98757,1.507258,1.555531
20-2805490,,,,,,,,,,,,,,,,,,,,0,0.44417799999999996,0.963866,1.012139
21-2807401,,,,,,,,,,,,,,,,,,,,,0,0.519688,0.567961
22-2805491,,,,,,,,,,,,,,,,,,,,,,0,0.048273
23-2805493,,,,,,,,,,,,,,,,,,,,,,,0
