순번_정류장ID,1-2801620,2-2801624,3-2801644,4-2801637,5-2801224,6-2801670,7-2801683,8-2801223,9-2801702,10-2801220,11-2801723,12-2801218,13-2801744
1-2801620,0,0.199296,0.338832,0.467382,0.689117,0.858456,1.437675,1.567071,1.6986480000000002,1.8194230000000002,2.0680760000000005,2.2257250000000006,2.8251630000000008
2-2801624,,0,0.139536,0.268086,0.48982099999999995,0.65916,1.238379,1.367775,1.499352,1.620127,1.86878,2.0264290000000003,2.6258670000000004
3-2801644,,,0,0.12855,0.35028499999999996,0.519624,1.098843,1.228239,1.3598160000000001,1.4805910000000002,1.7292440000000002,1.8868930000000002,2.4863310000000003
4-2801637,,,,0,0.221735,0.39107400000000003,0.970293,1.099689,1.231266,1.352041,1.600694,1.758343,2.357781
5-2801224,,,,,0,0.16933900000000002,0.748558,0.8779539999999999,1.009531,1.130306,1.378959,1.536608,2.136046
6-2801670,,,,,,0,0.5792189999999999,0.708615,0.840192,0.960967,1.2096200000000001,1.367269,1.966707
7-2801683,,,,,,,0,0.129396,0.260973,0.381748,0.630401,0.78805,1.387488
8-2801223,,,,,,,,0,0.131577,0.252352,0.501005,0.6586540000000001,1.258092
9-2801702,,,,,,,,,0,0.120775,0.369428,0.527077,1.126515
10-2801220,,,,,,,,,,0,0.248653,0.40630200000000005,1.00574
11-2801723,,,,,,,,,,,0,0.157649,0.7570870000000001
12-2801218,,,,,,,,,,,,0,0.599438
13-2801744,,,,,,,,,,,,,0
