순번_정류장ID,8-2807596,9-2807620,10-2803141,11-2807010,12-2805325,13-2803211,14-2803214,15-2803210,16-2803361,17-2807315
8-2807596,0,0.46131000000000005,1.02338,4.937362,5.730644,9.062356999999999,10.966710999999998,11.266017999999999,11.45492,11.977706
9-2807620,,0,0.56207,4.476052,5.269334,8.601047,10.505400999999999,10.804708,10.99361,11.516396
10-2803141,,,0,3.913982,4.7072639999999994,8.038977,9.943330999999999,10.242638,10.43154,10.954326
11-2807010,,,,0,0.7932819999999999,4.124994999999999,6.029349,6.328656,6.517557999999999,7.040343999999999
12-2805325,,,,,0,3.3317129999999997,5.236067,5.535374,5.724276,6.247062
13-2803211,,,,,,0,1.904354,2.2036610000000003,2.3925630000000004,2.9153490000000004
14-2803214,,,,,,,0,0.299307,0.488209,1.0109949999999999
15-2803210,,,,,,,,0,0.188902,0.711688
16-2803361,,,,,,,,,0,0.522786
17-2807315,,,,,,,,,,0
