순번_정류장ID,7-2807566,8-2807567,9-2807571,10-2807570,11-2807564
7-2807566,0,0.612104,0.616567,0.620521,0.625665
8-2807567,,0,0.004463,0.008417000000000001,0.013561
9-2807571,,,0,0.003954,0.009098
10-2807570,,,,0,0.005144
11-2807564,,,,,0
