순번_정류장ID,18-2801631,19-2801663,20-2801672,21-2801654,22-2801609,23-2801181,24-2801508,25-2801506,26-2801528,27-2801543,28-2801572,29-2801585
18-2801631,0,0.375355,0.6665760000000001,1.047228,1.3893520000000001,1.691664,2.0213,2.4882340000000003,2.8622850000000004,2.9752240000000003,3.097128,3.238891
19-2801663,,0,0.291221,0.6718729999999999,1.0139969999999998,1.3163089999999997,1.6459449999999998,2.112879,2.48693,2.599869,2.7217729999999998,2.863536
20-2801672,,,0,0.380652,0.722776,1.025088,1.354724,1.821658,2.195709,2.308648,2.4305519999999996,2.5723149999999997
21-2801654,,,,0,0.342124,0.644436,0.974072,1.441006,1.815057,1.9279959999999998,2.0498999999999996,2.1916629999999997
22-2801609,,,,,0,0.30231199999999997,0.631948,1.098882,1.4729329999999998,1.5858719999999997,1.7077759999999997,1.8495389999999998
23-2801181,,,,,,0,0.32963600000000004,0.79657,1.1706210000000001,1.28356,1.405464,1.5472270000000001
24-2801508,,,,,,,0,0.466934,0.8409850000000001,0.9539240000000001,1.075828,1.217591
25-2801506,,,,,,,,0,0.374051,0.48699000000000003,0.608894,0.750657
26-2801528,,,,,,,,,0,0.11293900000000001,0.23484300000000002,0.376606
27-2801543,,,,,,,,,,0,0.121904,0.263667
28-2801572,,,,,,,,,,,0,0.141763
29-2801585,,,,,,,,,,,,0
