순번_정류장ID,9-2801663,10-2801672,11-2801654,12-2801609,13-2801181,14-2805902,15-2801508,16-2801495,17-2801478,18-2801468,19-2801456,20-2801179
9-2801663,0,0.291221,0.6718729999999999,1.0139969999999998,1.3163089999999997,1.4414879999999997,1.6459439999999996,1.8767959999999997,2.0523619999999996,2.1667529999999995,2.2869049999999995,2.7004099999999998
10-2801672,,0,0.380652,0.722776,1.025088,1.150267,1.354723,1.585575,1.7611409999999998,1.8755319999999998,1.9956839999999998,2.4091889999999996
11-2801654,,,0,0.342124,0.644436,0.7696149999999999,0.9740709999999999,1.204923,1.3804889999999999,1.4948799999999998,1.6150319999999998,2.028537
12-2801609,,,,0,0.30231199999999997,0.42749099999999995,0.6319469999999999,0.8627989999999999,1.0383649999999998,1.1527559999999997,1.2729079999999997,1.6864129999999997
13-2801181,,,,,0,0.12517899999999998,0.329635,0.560487,0.736053,0.850444,0.970596,1.384101
14-2805902,,,,,,0,0.204456,0.43530800000000003,0.610874,0.725265,0.8454170000000001,1.258922
15-2801508,,,,,,,0,0.230852,0.406418,0.520809,0.640961,1.0544660000000001
16-2801495,,,,,,,,0,0.175566,0.289957,0.410109,0.8236140000000001
17-2801478,,,,,,,,,0,0.114391,0.234543,0.648048
18-2801468,,,,,,,,,,0,0.120152,0.533657
19-2801456,,,,,,,,,,,0,0.413505
20-2801179,,,,,,,,,,,,0
