순번_정류장ID,16-2801607,17-2801663,18-2801672,19-2801691,20-2801215,21-2801699,22-2801682,23-2801668,24-2801635,25-2801645,26-2801652
16-2801607,0,0.291221,0.895948,1.083972,1.243319,1.5023440000000001,2.059606,2.453261,2.614205,2.724422,3.2295380000000002
17-2801663,,0,0.604727,0.792751,0.952098,1.211123,1.7683849999999999,2.1620399999999997,2.322984,2.433201,2.938317
18-2801672,,,0,0.188024,0.347371,0.6063959999999999,1.1636579999999999,1.557313,1.718257,1.828474,2.33359
19-2801691,,,,0,0.15934700000000002,0.418372,0.9756340000000001,1.3692890000000002,1.5302330000000002,1.6404500000000002,2.145566
20-2801215,,,,,0,0.259025,0.816287,1.209942,1.370886,1.481103,1.9862190000000002
21-2801699,,,,,,0,0.557262,0.950917,1.111861,1.222078,1.727194
22-2801682,,,,,,,0,0.39365500000000003,0.5545990000000001,0.6648160000000001,1.1699320000000002
23-2801668,,,,,,,,0,0.160944,0.271161,0.776277
24-2801635,,,,,,,,,0,0.11021700000000001,0.615333
25-2801645,,,,,,,,,,0,0.505116
26-2801652,,,,,,,,,,,0
