순번_정류장ID,1-2805981,2-2807034,3-2805982,4-2806072,5-2803328,6-2803305,7-2802994,8-2803011,9-2803018,10-2803022,11-2803030,12-2802644,13-2802965,14-2802959,15-2802641,16-2803003,17-2803008,18-2803013,19-2803004,20-2802997,21-2802990,22-2802636,23-2802955,24-2802936,25-2802918,26-2802864,27-2802824,28-2802618,29-2802176,30-2806506,31-2806502,32-2806620,33-2802135,34-2802124,35-2802114,36-2802097,37-2802068,38-2802032,39-2802007,40-2802006,41-2802016,42-2802028,43-2806611,44-2802031,45-2802010,46-2801983,47-2801956,48-2801945,49-2803645,50-2801666,51-2801633,52-2801192,53-2801636,54-2801604,55-2801564,56-2801520,57-2801485,58-2801450,59-2801438,60-2805321,61-2801461,62-2801462,63-2804438,64-2803790,65-2803644,66-2800676,67-2800667,68-2800657,69-2800646,70-2800629,71-2800613,72-2800615,73-2806215,74-2807461,75-2806729,76-2806175,77-2806603,78-2806657,79-2805025,80-2805873,81-2805844,82-2804905,83-2805409,84-2805414,85-2805537,86-2805993,87-2805411,88-2806158,89-2806602,90-2807420,91-2807181,92-2806169,93-2807223,94-2806865
1-2805981,0,0.801647,1.044179,1.7056550000000001,2.4318210000000002,2.8751830000000003,3.354019,3.814696,4.027533,4.183274,4.563584,4.775535,5.815198,6.3178209999999995,6.633309,7.009307,7.400488999999999,7.802273,8.032826,8.179018,8.411752,8.652191,9.407892,9.662264,10.008009000000001,10.827891000000001,11.078813,11.430774,11.677075,12.049276,12.440041,12.766856,13.442793,13.766666,14.105963000000001,14.659817,15.038379,15.263364000000001,15.639604,16.014823,16.254905,16.638375,16.992965,17.210644000000002,17.380333000000004,17.593808000000003,17.843525000000003,17.981932000000004,20.738392000000005,20.953253000000004,21.398710000000005,21.650264000000004,22.016203000000004,22.268730000000005,22.535195000000005,22.802402000000004,23.113410000000005,23.432635000000005,23.869772000000005,24.468388000000004,24.616918000000005,24.803794000000007,25.367598000000008,25.502142000000006,27.419604000000007,28.150410000000008,28.490461000000007,28.662992000000006,29.040470000000006,29.665070000000007,30.107724000000008,30.41101500000001,31.17919700000001,31.665285000000008,32.022028000000006,32.485868,32.77297,34.188237,34.4888,34.651246,34.851431,35.100063999999996,35.450683,35.7646,36.595963000000005,36.805519000000004,37.307566,37.532746,37.909381,38.491647,39.271662,39.649445,40.293645,40.845588
2-2807034,,0,0.24253200000000003,0.9040080000000001,1.6301740000000002,2.0735360000000003,2.552372,3.013049,3.225886,3.381627,3.761937,3.973888,5.013551,5.5161739999999995,5.831662,6.20766,6.598841999999999,7.000626,7.231178999999999,7.377370999999999,7.610104999999999,7.850543999999999,8.606245,8.860617,9.206361999999999,10.026243999999998,10.277165999999998,10.629126999999997,10.875427999999998,11.247628999999998,11.638393999999998,11.965208999999998,12.641145999999997,12.965018999999998,13.304315999999998,13.858169999999998,14.236731999999998,14.461716999999998,14.837956999999998,15.213175999999997,15.453257999999996,15.836727999999997,16.191318,16.408997,16.578686,16.792161,17.041878,17.180285,19.936745000000002,20.151606,20.597063000000002,20.848617,21.214556,21.467083000000002,21.733548000000003,22.000755,22.311763000000003,22.630988000000002,23.068125000000002,23.666741000000002,23.815271000000003,24.002147000000004,24.565951000000005,24.700495000000004,26.617957000000004,27.348763000000005,27.688814000000004,27.861345000000004,28.238823000000004,28.863423000000004,29.306077000000005,29.609368000000007,30.377550000000006,30.863638000000005,31.220381000000007,31.684221000000008,31.97132300000001,33.38659000000001,33.68715300000001,33.84959900000001,34.04978400000001,34.29841700000001,34.64903600000001,34.96295300000001,35.794316000000016,36.003872000000015,36.50591900000001,36.731099000000015,37.107734000000015,37.69000000000001,38.47001500000001,38.84779800000001,39.49199800000001,40.04394100000001
3-2805982,,,0,0.6614760000000001,1.387642,1.831004,2.30984,2.770517,2.983354,3.1390949999999997,3.519405,3.731356,4.771019,5.273642,5.58913,5.965128,6.35631,6.758094,6.988647,7.134839,7.367573,7.608012,8.363713,8.618085,8.963830000000002,9.783712000000001,10.034634,10.386595,10.632896,11.005097000000001,11.395862000000001,11.722677000000001,12.398614,12.722487000000001,13.061784000000001,13.615638,13.994200000000001,14.219185000000001,14.595425,14.970644,15.210726,15.594196,15.948786,16.166465,16.336154,16.549629,16.799346,16.937753,19.694213,19.909074,20.354531,20.606085,20.972024,21.224551,21.491016000000002,21.758223,22.069231000000002,22.388456,22.825593,23.424209,23.572739000000002,23.759615000000004,24.323419000000005,24.457963000000007,26.375425000000007,27.106231000000008,27.446282000000007,27.618813000000006,27.996291000000006,28.620891000000007,29.06354500000001,29.36683600000001,30.13501800000001,30.621106000000008,30.97784900000001,31.44168900000001,31.72879100000001,33.144058000000015,33.44462100000001,33.607067000000015,33.80725200000001,34.05588500000001,34.40650400000001,34.720421000000016,35.55178400000002,35.76134000000002,36.263387000000016,36.48856700000002,36.86520200000002,37.447468000000015,38.227483000000014,38.605266000000015,39.24946600000001,39.801409000000014
4-2806072,,,,0,0.726166,1.169528,1.648364,2.109041,2.321878,2.477619,2.857929,3.06988,4.109543,4.612166,4.927654,5.3036520000000005,5.694834,6.096618,6.327171,6.473363,6.706097,6.946536,7.702237,7.956609,8.302354000000001,9.122236000000001,9.373158,9.725119,9.97142,10.343621,10.734386,11.061201,11.737138,12.061011,12.400308,12.954162,13.332724,13.557709000000001,13.933949,14.309168,14.549249999999999,14.93272,15.28731,15.504989,15.674678,15.888153,16.13787,16.276277,19.032737,19.247598,19.693055,19.944609,20.310548,20.563075,20.82954,21.096747,21.407755,21.72698,22.164117,22.762733,22.911263,23.098139000000003,23.661943000000004,23.796487000000006,25.713949000000007,26.444755000000008,26.784806000000007,26.957337000000006,27.334815000000006,27.959415000000007,28.402069000000008,28.70536000000001,29.47354200000001,29.959630000000008,30.31637300000001,30.78021300000001,31.06731500000001,32.48258200000001,32.783145000000005,32.94559100000001,33.145776000000005,33.394409,33.745028000000005,34.05894500000001,34.89030800000001,35.09986400000001,35.60191100000001,35.82709100000001,36.20372600000001,36.78599200000001,37.566007000000006,37.94379000000001,38.587990000000005,39.139933000000006
5-2803328,,,,,0,0.443362,0.922198,1.382875,1.595712,1.7514530000000001,2.1317630000000003,2.3437140000000003,3.3833770000000003,3.886,4.201488,4.577486,4.968668,5.370452,5.601005000000001,5.747197000000001,5.9799310000000006,6.220370000000001,6.976071000000001,7.230443000000001,7.576188000000001,8.396070000000002,8.646992000000001,8.998953,9.245254000000001,9.617455000000001,10.008220000000001,10.335035000000001,11.010972,11.334845000000001,11.674142000000002,12.227996000000001,12.606558000000001,12.831543000000002,13.207783000000001,13.583002,13.823084,14.206554,14.561144,14.778823000000001,14.948512000000001,15.161987000000002,15.411704000000002,15.550111000000003,18.306571,18.521432,18.966889000000002,19.218443,19.584382,19.836909000000002,20.103374000000002,20.370581,20.681589000000002,21.000814000000002,21.437951,22.036567,22.185097000000003,22.371973000000004,22.935777000000005,23.070321000000007,24.987783000000007,25.71858900000001,26.058640000000008,26.231171000000007,26.608649000000007,27.233249000000008,27.67590300000001,27.97919400000001,28.74737600000001,29.23346400000001,29.59020700000001,30.05404700000001,30.341149000000012,31.756416000000012,32.05697900000001,32.219425000000015,32.41961000000001,32.66824300000001,33.01886200000001,33.332779000000016,34.16414200000002,34.37369800000002,34.875745000000016,35.10092500000002,35.47756000000002,36.059826000000015,36.839841000000014,37.217624000000015,37.86182400000001,38.413767000000014
6-2803305,,,,,,0,0.478836,0.939513,1.15235,1.3080910000000001,1.688401,1.900352,2.940015,3.4426379999999996,3.758126,4.134124,4.525306,4.92709,5.157643,5.303835,5.536569,5.777008,6.5327090000000005,6.787081000000001,7.1328260000000006,7.952708,8.20363,8.555591,8.801892,9.174093000000001,9.564858000000001,9.891673,10.56761,10.891483000000001,11.230780000000001,11.784634,12.163196000000001,12.388181000000001,12.764421,13.13964,13.379722,13.763192,14.117782,14.335461,14.50515,14.718625000000001,14.968342000000002,15.106749000000002,17.863209,18.07807,18.523527,18.775081,19.14102,19.393547,19.660012000000002,19.927219,20.238227000000002,20.557452,20.994589,21.593205,21.741735000000002,21.928611000000004,22.492415000000005,22.626959000000006,24.544421000000007,25.275227000000008,25.615278000000007,25.787809000000006,26.165287000000006,26.789887000000007,27.23254100000001,27.53583200000001,28.30401400000001,28.790102000000008,29.14684500000001,29.61068500000001,29.89778700000001,31.31305400000001,31.613617000000012,31.77606300000001,31.976248000000012,32.22488100000001,32.57550000000001,32.88941700000001,33.72078000000001,33.93033600000001,34.43238300000001,34.65756300000001,35.03419800000001,35.61646400000001,36.39647900000001,36.77426200000001,37.418462000000005,37.97040500000001
7-2802994,,,,,,,0,0.46067700000000006,0.6735140000000001,0.8292550000000001,1.209565,1.421516,2.461179,2.963802,3.2792899999999996,3.6552879999999996,4.046469999999999,4.4482539999999995,4.678806999999999,4.824998999999999,5.057732999999999,5.298171999999999,6.053872999999999,6.308244999999999,6.653989999999999,7.473871999999999,7.724793999999999,8.076754999999999,8.323056,8.695257,9.086022,9.412837,10.088773999999999,10.412647,10.751944,11.305798,11.68436,11.909345,12.285585,12.660803999999999,12.900885999999998,13.284355999999999,13.638945999999999,13.856625,14.026314,14.239789,14.489506,14.627913000000001,17.384373,17.599234,18.044691,18.296245,18.662184,18.914711,19.181176,19.448383,19.759391,20.078616,20.515753,21.114369,21.262899,21.449775000000002,22.013579000000004,22.148123000000005,24.065585000000006,24.796391000000007,25.136442000000006,25.308973000000005,25.686451000000005,26.311051000000006,26.753705000000007,27.05699600000001,27.825178000000008,28.311266000000007,28.66800900000001,29.13184900000001,29.41895100000001,30.83421800000001,31.13478100000001,31.29722700000001,31.49741200000001,31.746045000000013,32.09666400000001,32.41058100000001,33.24194400000001,33.45150000000001,33.95354700000001,34.17872700000001,34.55536200000001,35.13762800000001,35.917643000000005,36.295426000000006,36.939626000000004,37.491569000000005
8-2803011,,,,,,,,0,0.212837,0.368578,0.748888,0.960839,2.000502,2.503125,2.818613,3.194611,3.5857930000000002,3.9875770000000004,4.21813,4.3643220000000005,4.597056,4.8374950000000005,5.593196000000001,5.847568000000001,6.193313000000001,7.0131950000000005,7.264117000000001,7.616078000000001,7.862379000000001,8.234580000000001,8.625345000000001,8.952160000000001,9.628097,9.951970000000001,10.291267000000001,10.845121,11.223683000000001,11.448668000000001,11.824908,12.200127,12.440209,12.823678999999998,13.178268999999998,13.395947999999999,13.565636999999999,13.779112,14.028829,14.167236,16.923696,17.138557,17.584014,17.835568,18.201507,18.454034,18.720499,18.987706,19.298714,19.617939,20.055076,20.653692,20.802222,20.989098000000002,21.552902000000003,21.687446,23.604908000000002,24.335714000000003,24.675765000000002,24.848296,25.225774,25.850374000000002,26.293028000000003,26.596319000000005,27.364501000000004,27.850589000000003,28.207332000000005,28.671172000000006,28.958274000000007,30.373541000000007,30.674104000000007,30.836550000000006,31.036735000000007,31.28536800000001,31.635987000000007,31.949904000000007,32.78126700000001,32.990823000000006,33.49287,33.718050000000005,34.094685000000005,34.676951,35.456966,35.834749,36.478949,37.030892
9-2803018,,,,,,,,,0,0.15574100000000002,0.536051,0.7480020000000001,1.787665,2.290288,2.6057759999999996,2.9817739999999997,3.372956,3.77474,4.005293,4.151485,4.384219,4.624658,5.380359,5.634731,5.980476,6.800358,7.05128,7.403241,7.649542,8.021743,8.412508,8.739323,9.41526,9.739133,10.07843,10.632284,11.010846,11.235831000000001,11.612071,11.98729,12.227371999999999,12.610841999999998,12.965431999999998,13.183110999999998,13.352799999999998,13.566275,13.815992,13.954399,16.710859,16.92572,17.371177,17.622730999999998,17.98867,18.241197,18.507662,18.774869,19.085877,19.405102,19.842239,20.440855,20.589385,20.776261,21.340065000000003,21.474609,23.392071,24.122877000000003,24.462928,24.635459,25.012937,25.637537000000002,26.080191000000003,26.383482000000004,27.151664000000004,27.637752000000003,27.994495000000004,28.458335000000005,28.745437000000006,30.160704000000006,30.461267000000007,30.623713000000006,30.823898000000007,31.07253100000001,31.423150000000007,31.737067000000007,32.568430000000006,32.777986000000006,33.280033,33.505213000000005,33.881848000000005,34.464114,35.244129,35.621912,36.266112,36.818055
10-2803022,,,,,,,,,,0,0.38031,0.592261,1.6319240000000002,2.134547,2.4500349999999997,2.826033,3.217215,3.618999,3.849552,3.995744,4.228478,4.468917,5.224618,5.4789900000000005,5.824735,6.644617,6.895539,7.2475000000000005,7.493801,7.866002,8.256767,8.583582,9.259519,9.583392,9.922689,10.476543,10.855105,11.08009,11.45633,11.831548999999999,12.071630999999998,12.455100999999999,12.809690999999999,13.02737,13.197059,13.410534,13.660251,13.798658000000001,16.555118,16.769979,17.215436,17.46699,17.832929,18.085456,18.351921,18.619128,18.930136,19.249361,19.686498,20.285114,20.433644,20.620520000000003,21.184324000000004,21.318868000000002,23.236330000000002,23.967136000000004,24.307187000000003,24.479718000000002,24.857196000000002,25.481796000000003,25.924450000000004,26.227741000000005,26.995923000000005,27.482011000000004,27.838754000000005,28.302594000000006,28.589696000000007,30.004963000000007,30.305526000000008,30.467972000000007,30.668157000000008,30.91679000000001,31.267409000000008,31.581326000000008,32.41268900000001,32.62224500000001,33.124292000000004,33.349472000000006,33.726107000000006,34.308373,35.088388,35.466171,36.110371,36.662314
