순번_정류장ID,1-2800269,2-2804246,3-2804756,4-2806334,5-2804755,6-2804248,7-2804250,8-2806398,9-2804252,10-2804254,11-2806400,12-2806230,13-2804257,14-2804259,15-2804758,16-2804760,17-2807395,18-2804261,19-2804337,20-2807368,21-2804602,22-2803580,23-2800263,24-2800267,25-2804032
1-2800269,0,0.581274,0.9315739999999999,1.334717,1.7208519999999998,2.0494999999999997,2.6118279999999996,3.2305189999999997,3.8074589999999997,4.277753,4.635345999999999,5.288841,5.5968979999999995,6.053323,6.481173,6.79054,7.040528,7.25219,7.349195,7.7225399999999995,7.948976999999999,8.098144999999999,8.318155999999998,8.570178999999998,9.208903999999997
2-2804246,,0,0.3503,0.753443,1.139578,1.468226,2.030554,2.649245,3.226185,3.696479,4.054072,4.707566999999999,5.015623999999999,5.472048999999999,5.899899,6.2092659999999995,6.459254,6.670915999999999,6.767920999999999,7.141265999999999,7.367702999999999,7.516870999999999,7.736882,7.988905,8.62763
3-2804756,,,0,0.403143,0.7892779999999999,1.117926,1.680254,2.298945,2.875885,3.346179,3.703772,4.357267,4.665324,5.121749,5.549599000000001,5.858966000000001,6.108954000000001,6.320616,6.4176210000000005,6.790966,7.017403,7.166571,7.386582000000001,7.638605000000001,8.277330000000001
4-2806334,,,,0,0.386135,0.714783,1.2771109999999999,1.8958019999999998,2.4727419999999998,2.9430359999999998,3.300629,3.9541239999999998,4.262181,4.718606,5.146456000000001,5.4558230000000005,5.705811000000001,5.917473,6.014478,6.387823,6.61426,6.763428,6.983439000000001,7.235462000000001,7.874187000000001
5-2804755,,,,,0,0.328648,0.890976,1.5096669999999999,2.086607,2.556901,2.914494,3.567989,3.8760459999999997,4.332471,4.760321,5.069688,5.319676,5.531338,5.628343,6.001688,6.2281249999999995,6.377293,6.597304,6.849327000000001,7.488052000000001
6-2804248,,,,,,0,0.5623279999999999,1.181019,1.757959,2.228253,2.585846,3.239341,3.5473980000000003,4.003823000000001,4.431673000000001,4.741040000000001,4.991028000000001,5.2026900000000005,5.299695000000001,5.67304,5.899477,6.0486450000000005,6.268656000000001,6.520679000000001,7.159404000000001
7-2804250,,,,,,,0,0.618691,1.195631,1.665925,2.023518,2.677013,2.9850700000000003,3.441495,3.869345,4.178712,4.4287,4.640362,4.737367,5.1107119999999995,5.337148999999999,5.486317,5.706328,5.958351,6.597076
8-2806398,,,,,,,,0,0.57694,1.047234,1.404827,2.058322,2.3663790000000002,2.822804,3.250654,3.560021,3.810009,4.0216709999999996,4.118676,4.492020999999999,4.718457999999999,4.867626,5.087637,5.33966,5.978385
9-2804252,,,,,,,,,0,0.47029399999999993,0.8278869999999999,1.481382,1.789439,2.245864,2.673714,2.983081,3.233069,3.444731,3.5417359999999998,3.915081,4.141518,4.290686,4.510697,4.762720000000001,5.401445000000001
10-2804254,,,,,,,,,,0,0.357593,1.011088,1.319145,1.77557,2.20342,2.512787,2.762775,2.974437,3.071442,3.444787,3.6712239999999996,3.8203919999999996,4.0404029999999995,4.292426,4.931151
11-2806400,,,,,,,,,,,0,0.6534949999999999,0.961552,1.417977,1.845827,2.1551940000000003,2.4051820000000004,2.6168440000000004,2.713849,3.087194,3.313631,3.462799,3.68281,3.934833,4.573558
12-2806230,,,,,,,,,,,,0,0.308057,0.7644820000000001,1.1923320000000002,1.5016990000000001,1.7516870000000002,1.9633490000000002,2.0603540000000002,2.4336990000000003,2.6601360000000005,2.8093040000000005,3.0293150000000004,3.2813380000000003,3.9200630000000003
13-2804257,,,,,,,,,,,,,0,0.456425,0.884275,1.193642,1.4436300000000002,1.6552920000000002,1.7522970000000002,2.125642,2.352079,2.5012469999999998,2.7212579999999997,2.9732809999999996,3.6120059999999996
14-2804259,,,,,,,,,,,,,,0,0.42785,0.737217,0.987205,1.198867,1.295872,1.669217,1.895654,2.044822,2.264833,2.5168559999999998,3.1555809999999997
15-2804758,,,,,,,,,,,,,,,0,0.309367,0.559355,0.7710170000000001,0.8680220000000001,1.241367,1.467804,1.616972,1.836983,2.089006,2.727731
16-2804760,,,,,,,,,,,,,,,,0,0.24998800000000002,0.46165,0.558655,0.9319999999999999,1.158437,1.307605,1.5276159999999999,1.779639,2.418364
17-2807395,,,,,,,,,,,,,,,,,0,0.211662,0.30866699999999997,0.682012,0.908449,1.057617,1.277628,1.5296509999999999,2.168376
18-2804261,,,,,,,,,,,,,,,,,,0,0.097005,0.47035,0.696787,0.845955,1.065966,1.3179889999999999,1.9567139999999998
19-2804337,,,,,,,,,,,,,,,,,,,0,0.373345,0.599782,0.74895,0.968961,1.220984,1.859709
20-2807368,,,,,,,,,,,,,,,,,,,,0,0.226437,0.37560499999999997,0.5956159999999999,0.8476389999999999,1.486364
21-2804602,,,,,,,,,,,,,,,,,,,,,0,0.149168,0.36917900000000003,0.621202,1.259927
22-2803580,,,,,,,,,,,,,,,,,,,,,,0,0.220011,0.472034,1.110759
23-2800263,,,,,,,,,,,,,,,,,,,,,,,0,0.252023,0.890748
24-2800267,,,,,,,,,,,,,,,,,,,,,,,,0,0.638725
25-2804032,,,,,,,,,,,,,,,,,,,,,,,,,0
