순번_정류장ID,1-2801355,2-2801359,3-2801339,4-2803548,5-2803547,6-2801352,7-2807081,8-2801326,9-2801319,10-2801296,11-2801281,12-2801279,13-2801278,14-2801295,15-2801309,16-2801329,17-2801335,18-2801378
1-2801355,0,0.311128,0.678757,0.9528860000000001,1.4485500000000002,1.776196,2.1040400000000004,2.5829380000000004,2.7991810000000004,3.2713480000000006,3.8909460000000005,4.098721,4.378444,4.623922,4.942276000000001,5.197957000000001,5.327351,5.924391
2-2801359,,0,0.367629,0.641758,1.1374220000000002,1.465068,1.792912,2.27181,2.488053,2.9602199999999996,3.5798179999999995,3.7875929999999993,4.067315999999999,4.312793999999999,4.631148,4.886829,5.016223,5.613263
3-2801339,,,0,0.274129,0.7697930000000001,1.097439,1.425283,1.904181,2.120424,2.5925909999999996,3.2121889999999995,3.4199639999999993,3.6996869999999995,3.9451649999999994,4.263519,4.5192,4.648593999999999,5.245633999999999
4-2803548,,,,0,0.49566400000000005,0.82331,1.151154,1.630052,1.846295,2.3184620000000002,2.93806,3.145835,3.425558,3.671036,3.9893899999999998,4.245070999999999,4.374464999999999,4.971504999999999
5-2803547,,,,,0,0.327646,0.65549,1.134388,1.350631,1.822798,2.442396,2.650171,2.929894,3.175372,3.4937259999999997,3.7494069999999997,3.8788009999999997,4.475841
6-2801352,,,,,,0,0.327844,0.806742,1.022985,1.495152,2.11475,2.3225249999999997,2.602248,2.8477259999999998,3.1660799999999996,3.4217609999999996,3.5511549999999996,4.148194999999999
7-2807081,,,,,,,0,0.47889799999999993,0.6951409999999999,1.1673079999999998,1.7869059999999997,1.9946809999999997,2.2744039999999996,2.5198819999999995,2.8382359999999993,3.0939169999999994,3.2233109999999994,3.8203509999999996
8-2801326,,,,,,,,0,0.216243,0.68841,1.308008,1.515783,1.795506,2.040984,2.3593379999999997,2.6150189999999998,2.7444129999999998,3.3414529999999996
9-2801319,,,,,,,,,0,0.472167,1.091765,1.2995400000000001,1.579263,1.8247410000000002,2.143095,2.3987760000000002,2.5281700000000003,3.12521
10-2801296,,,,,,,,,,0,0.619598,0.8273729999999999,1.1070959999999999,1.352574,1.670928,1.926609,2.056003,2.6530430000000003
11-2801281,,,,,,,,,,,0,0.207775,0.487498,0.7329760000000001,1.05133,1.3070110000000001,1.4364050000000002,2.0334450000000004
12-2801279,,,,,,,,,,,,0,0.279723,0.525201,0.843555,1.099236,1.22863,1.8256700000000001
13-2801278,,,,,,,,,,,,,0,0.24547800000000003,0.563832,0.8195129999999999,0.948907,1.545947
14-2801295,,,,,,,,,,,,,,0,0.31835399999999997,0.574035,0.703429,1.300469
15-2801309,,,,,,,,,,,,,,,0,0.255681,0.385075,0.9821150000000001
16-2801329,,,,,,,,,,,,,,,,0,0.129394,0.726434
17-2801335,,,,,,,,,,,,,,,,,0,0.59704
18-2801378,,,,,,,,,,,,,,,,,,0
