순번_정류장ID,70-2802918,71-2802864,72-2802824,73-2802618,74-2802176,75-2802169,76-2802154,77-2801846,78-2802103,79-2802067,80-2802056,81-2802031,82-2802010,83-2801983,84-2801975,85-2805277,86-2805276,87-2805274,88-2805272,89-2801921,90-2801927,91-2801924,92-2801916,93-2801925,94-2801908,95-2801715,96-2801690,97-2803662,98-2800165,99-2803661,100-2807012,101-2807213,102-2805602,103-2805807,104-2805603,105-2805808,106-2801183,107-2801685,108-2801666,109-2801633,110-2801192,111-2801636,112-2801604,113-2801564,114-2801520,115-2801180,116-2801495,117-2801506,118-2801512,119-2801529,120-2801544,121-2801187,122-2801581,123-2801606,124-2800694,125-2800726,126-2800751,127-2800765,128-2800782,129-2800797,130-2800813,131-2803049,132-2803063,133-2803062,134-2803061,135-2803060,136-2800370,137-2800369
70-2802918,0,0.250922,0.6028830000000001,0.849184,1.2213660000000002,1.622084,2.0449010000000003,2.346312,2.802172,3.103803,3.697754,3.867443,4.0809180000000005,4.417553000000001,4.868572,5.166092000000001,5.2951500000000005,5.540945000000001,6.007697,6.346974,6.487094,7.217354,7.702896,8.692528,9.583981999999999,10.110712999999999,10.690442999999998,11.307266999999998,11.885834999999998,12.460961999999999,12.632748999999999,12.867574999999999,13.106518,13.248622,13.475753999999998,13.888827999999998,14.142323999999999,14.506362,14.951818999999999,15.203373,15.569312,15.821839,16.088304,16.355511,16.925796,17.364434,17.600516,17.807609,18.181079,18.531542,18.812013,19.019678,19.436559,20.37969,20.75367,21.161049,21.379195,21.810878,22.088998999999998,22.717851999999997,23.072578999999998,23.595529,23.811427,24.301501,24.653654999999997,25.315152999999995,26.582774999999994,27.027632999999994
71-2802864,,0,0.351961,0.5982620000000001,0.9704440000000001,1.371162,1.793979,2.09539,2.55125,2.852881,3.446832,3.616521,3.829996,4.166631,4.617649999999999,4.91517,5.0442279999999995,5.290023,5.756774999999999,6.096051999999999,6.236171999999999,6.966431999999999,7.451973999999999,8.441605999999998,9.333059999999998,9.859790999999998,10.439520999999997,11.056344999999997,11.634912999999997,12.210039999999998,12.381826999999998,12.616652999999998,12.855595999999998,12.997699999999998,13.224831999999997,13.637905999999997,13.891401999999998,14.255439999999998,14.700896999999998,14.952450999999998,15.318389999999997,15.570916999999998,15.837381999999998,16.104588999999997,16.674873999999996,17.113511999999997,17.349593999999996,17.556686999999997,17.930156999999998,18.28062,18.561090999999998,18.768755999999996,19.185636999999996,20.128767999999997,20.502747999999997,20.910126999999996,21.128272999999997,21.559955999999996,21.838076999999995,22.466929999999994,22.821656999999995,23.344606999999996,23.560504999999996,24.050578999999995,24.402732999999994,25.064230999999992,26.33185299999999,26.77671099999999
72-2802824,,,0,0.24630100000000002,0.618483,1.019201,1.442018,1.7434290000000001,2.1992890000000003,2.5009200000000003,3.0948710000000004,3.2645600000000004,3.478035,3.8146700000000004,4.265689,4.5632090000000005,4.692267,4.938062,5.404814,5.744091,5.884211,6.614471,7.100013,8.089644999999999,8.981098999999999,9.507829999999998,10.087559999999998,10.704383999999997,11.282951999999998,11.858078999999998,12.029865999999998,12.264691999999998,12.503635,12.645738999999999,12.872870999999998,13.285944999999998,13.539440999999998,13.903478999999999,14.348935999999998,14.600489999999999,14.966428999999998,15.218955999999999,15.485420999999999,15.752628,16.322913,16.761551,16.997633,17.204726,17.578196000000002,17.928659000000003,18.209130000000002,18.416795,18.833676,19.776807,20.150787,20.558166,20.776312,21.207995,21.486116,22.114969,22.469696,22.992646,23.208544,23.698618,24.050772,24.712269999999997,25.979891999999996,26.424749999999996
73-2802618,,,,0,0.372182,0.7728999999999999,1.195717,1.497128,1.952988,2.254619,2.84857,3.018259,3.231734,3.5683689999999997,4.019387999999999,4.316908,4.445965999999999,4.691761,5.158512999999999,5.497789999999999,5.637909999999999,6.368169999999999,6.853711999999999,7.843343999999999,8.734798,9.261529,9.841258999999999,10.458082999999998,11.036650999999999,11.611778,11.783565,12.018391,12.257334,12.399438,12.62657,13.039644,13.29314,13.657178,14.102635,14.354189,14.720127999999999,14.972655,15.23912,15.506327,16.076612,16.51525,16.751332,16.958425000000002,17.331895000000003,17.682358000000004,17.962829000000003,18.170494,18.587375,19.530506000000003,19.904486000000002,20.311865,20.530011000000002,20.961694,21.239815,21.868668,22.223395,22.746345,22.962243,23.452317,23.804471,24.465969,25.733591,26.178449
74-2802176,,,,,0,0.40071799999999996,0.8235349999999999,1.124946,1.580806,1.882437,2.476388,2.646077,2.859552,3.196187,3.647206,3.944726,4.073784,4.319579,4.786331000000001,5.125608000000001,5.265728,5.9959880000000005,6.48153,7.4711620000000005,8.362616000000001,8.889347,9.469077,10.085901,10.664469,11.239596,11.411383,11.646209,11.885152000000001,12.027256000000001,12.254388,12.667462,12.920958,13.284996000000001,13.730453,13.982007000000001,14.347946,14.600473000000001,14.866938000000001,15.134145000000002,15.704430000000002,16.143068000000003,16.379150000000003,16.586243000000003,16.959713000000004,17.310176000000006,17.590647000000004,17.798312000000003,18.215193000000003,19.158324000000004,19.532304000000003,19.939683000000002,20.157829000000003,20.589512000000003,20.867633,21.496486,21.851213,22.374163000000003,22.590061000000002,23.080135000000002,23.432289,24.093787,25.361409,25.806267
75-2802169,,,,,,0,0.422817,0.7242280000000001,1.180088,1.481719,2.07567,2.245359,2.458834,2.7954689999999998,3.246488,3.544008,3.673066,3.9188609999999997,4.385612999999999,4.724889999999999,4.865009999999999,5.595269999999999,6.080811999999999,7.070443999999999,7.961898,8.488629,9.068359,9.685182999999999,10.263751,10.838878,11.010665,11.245491,11.484434,11.626538,11.85367,12.266744,12.52024,12.884278,13.329735,13.581289,13.947227999999999,14.199755,14.46622,14.733427,15.303712,15.74235,15.978432,16.185525,16.558995,16.909458,17.189929,17.397593999999998,17.814474999999998,18.757606,19.131586,19.538964999999997,19.757111,20.188793999999998,20.466914999999997,21.095767999999996,21.450494999999997,21.973444999999998,22.189342999999997,22.679416999999997,23.031570999999996,23.693068999999994,24.960690999999994,25.405548999999993
76-2802154,,,,,,,0,0.30141100000000004,0.757271,1.058902,1.652853,1.8225419999999999,2.0360169999999997,2.3726519999999995,2.8236709999999996,3.1211909999999996,3.2502489999999997,3.4960439999999995,3.9627959999999995,4.302072999999999,4.442192999999999,5.172452999999999,5.657994999999999,6.647626999999999,7.5390809999999995,8.065812,8.645541999999999,9.262365999999998,9.840933999999999,10.416061,10.587848,10.822674,11.061617,11.203721,11.430852999999999,11.843926999999999,12.097423,12.461461,12.906918,13.158472,13.524411,13.776938000000001,14.043403000000001,14.310610000000002,14.880895000000002,15.319533000000002,15.555615000000001,15.762708000000002,16.136178,16.486641000000002,16.767112,16.974777,17.391658,18.334789,18.708769,19.116148,19.334294,19.765977,20.044097999999998,20.672950999999998,21.027677999999998,21.550628,21.766526,22.2566,22.608753999999998,23.270252,24.537874,24.982732
77-2801846,,,,,,,,0,0.45586000000000004,0.757491,1.351442,1.521131,1.734606,2.071241,2.52226,2.81978,2.9488380000000003,3.1946330000000005,3.6613850000000006,4.000662,4.140782,4.871042,5.356584,6.346216,7.2376700000000005,7.764401,8.344131,8.960955,9.539523,10.114650000000001,10.286437000000001,10.521263000000001,10.760206000000002,10.902310000000002,11.129442000000001,11.542516,11.796012000000001,12.160050000000002,12.605507000000001,12.857061000000002,13.223000000000003,13.475527000000003,13.741992000000003,14.009199000000004,14.579484000000004,15.018122000000004,15.254204000000003,15.461297000000004,15.834767000000003,16.185230000000004,16.465701000000003,16.673366,17.090247,18.033378000000003,18.407358000000002,18.814737,19.032883,19.464566,19.742687,20.37154,20.726267,21.249217,21.465115,21.955189,22.307343,22.968840999999998,24.236462999999997,24.681320999999997
78-2802103,,,,,,,,,0,0.301631,0.895582,1.065271,1.2787460000000002,1.6153810000000002,2.0664000000000002,2.3639200000000002,2.4929780000000004,2.738773,3.205525,3.5448020000000002,3.6849220000000003,4.415182000000001,4.900724,5.890356000000001,6.781810000000001,7.308541000000001,7.8882710000000005,8.505095,9.083663000000001,9.658790000000002,9.830577000000002,10.065403000000002,10.304346000000002,10.446450000000002,10.673582000000001,11.086656000000001,11.340152000000002,11.704190000000002,12.149647000000002,12.401201000000002,12.767140000000001,13.019667000000002,13.286132000000002,13.553339000000003,14.123624000000003,14.562262000000002,14.798344000000002,15.005437000000002,15.378907000000002,15.729370000000001,16.009841,16.217506,16.634387,17.577518,17.951498,18.358877,18.577023,19.008706,19.286827,19.91568,20.270407,20.793357,21.009255,21.499329,21.851482999999998,22.512980999999996,23.780602999999996,24.225460999999996
79-2802067,,,,,,,,,,0,0.593951,0.76364,0.977115,1.31375,1.7647689999999998,2.062289,2.191347,2.4371419999999997,2.9038939999999998,3.243171,3.383291,4.113551,4.599093,5.588725,6.480179000000001,7.00691,7.58664,8.203464,8.782032000000001,9.357159000000001,9.528946000000001,9.763772000000001,10.002715000000002,10.144819000000002,10.371951000000001,10.785025000000001,11.038521000000001,11.402559000000002,11.848016000000001,12.099570000000002,12.465509,12.718036000000001,12.984501000000002,13.251708000000002,13.821993000000003,14.260631000000002,14.496713000000002,14.703806000000002,15.077276000000001,15.427739,15.708210000000001,15.915875000000002,16.332756000000003,17.275887000000004,17.649867000000004,18.057246000000003,18.275392000000004,18.707075000000003,18.985196000000002,19.614049,19.968776000000002,20.491726000000003,20.707624000000003,21.197698000000003,21.549852,22.211350000000003,23.478972000000002,23.923830000000002
