순번_정류장ID,71-2806982,72-2806983,73-2806984,74-2806985,75-2807003,76-2807125,77-2807126,78-2807128,79-2807130,80-2807132
71-2806982,0,0.528317,0.776321,1.463238,1.937955,3.010407,3.568301,4.264165,5.020692,5.482273
72-2806983,,0,0.248004,0.934921,1.409638,2.48209,3.039984,3.735848,4.492375,4.953956
73-2806984,,,0,0.686917,1.161634,2.234086,2.79198,3.487844,4.244371,4.705952
74-2806985,,,,0,0.474717,1.547169,2.105063,2.8009269999999997,3.557454,4.019035
75-2807003,,,,,0,1.072452,1.6303459999999999,2.3262099999999997,3.082737,3.5443179999999996
76-2807125,,,,,,0,0.557894,1.253758,2.010285,2.4718660000000003
77-2807126,,,,,,,0,0.695864,1.452391,1.913972
78-2807128,,,,,,,,0,0.7565270000000001,1.218108
79-2807130,,,,,,,,,0,0.461581
80-2807132,,,,,,,,,,0
