순번_정류장ID,1-2802358,2-2803772,3-2805058,4-2802361,5-2802598,6-2805538,7-2807553,8-2807546,9-2807542,10-2807517,11-2807554,12-2807558,13-2807561,14-2807500,15-2807499,16-2807509,17-2800107,18-2803386,19-2803399,20-2803395,21-2803392
1-2802358,0,1.695914,2.9632449999999997,3.909696,4.25681,10.605069,12.732428,16.757312,19.529956,25.095671,34.065933,37.586531,39.351423000000004,41.951873000000006,43.959224000000006,45.80264400000001,50.801753000000005,51.637620000000005,52.227453000000004,53.590062,54.177624
2-2803772,,0,1.267331,2.213782,2.560896,8.909155,11.036514,15.061398,17.834042,23.399757,32.370019,35.890617,37.655509,40.255959000000004,42.263310000000004,44.106730000000006,49.105839,49.941706,50.531539,51.894148,52.48171
3-2805058,,,0,0.946451,1.293565,7.641824,9.769183,13.794066999999998,16.566710999999998,22.132426,31.102688,34.623286,36.388178,38.988628000000006,40.995979000000005,42.83939900000001,47.838508000000004,48.674375000000005,49.264208,50.626817,51.214379
4-2802361,,,,0,0.347114,6.695373,8.822732,12.847615999999999,15.620259999999998,21.185975,30.156236999999997,33.676835,35.441727,38.042177,40.049528,41.892948000000004,46.892057,47.727924,48.317757,49.680366,50.267928
5-2802598,,,,,0,6.348259,8.475618,12.500502000000001,15.273146,20.838861,29.809123,33.329721,35.094613,37.695063000000005,39.702414000000005,41.545834000000006,46.544943,47.380810000000004,47.970643,49.333252,49.920814
6-2805538,,,,,,0,2.127359,6.1522429999999995,8.924886999999998,14.490601999999999,23.460864,26.981462,28.746354,31.346804,33.354155,35.197575,40.196684,41.032551,41.622384,42.984992999999996,43.572554999999994
7-2807553,,,,,,,0,4.024883999999999,6.797527999999999,12.363242999999999,21.333505,24.854103,26.618994999999998,29.219444999999997,31.226795999999997,33.070215999999995,38.06932499999999,38.90519199999999,39.49502499999999,40.85763399999999,41.44519599999999
8-2807546,,,,,,,,0,2.7726439999999997,8.338359,17.308621000000002,20.829219000000002,22.594111,25.194561,27.201912,29.045332000000002,34.044441,34.880308,35.470141,36.83275,37.420311999999996
9-2807542,,,,,,,,,0,5.565715,14.535976999999999,18.056575,19.821467,22.421916999999997,24.429267999999997,26.272687999999995,31.271796999999996,32.10766399999999,32.69749699999999,34.06010599999999,34.64766799999999
10-2807517,,,,,,,,,,0,8.970262,12.49086,14.255752,16.856202,18.863553,20.706972999999998,25.706082,26.541949,27.131781999999998,28.494390999999997,29.081952999999995
11-2807554,,,,,,,,,,,0,3.520598,5.28549,7.88594,9.893291,11.736711,16.73582,17.571687,18.16152,19.524129,20.111690999999997
12-2807558,,,,,,,,,,,,0,1.764892,4.365342,6.372693,8.216113,13.215222,14.051089000000001,14.640922000000002,16.003531000000002,16.591093
13-2807561,,,,,,,,,,,,,0,2.60045,4.607801,6.451221,11.450330000000001,12.286197000000001,12.876030000000002,14.238639000000003,14.826201000000003
14-2807500,,,,,,,,,,,,,,0,2.007351,3.850771,8.849879999999999,9.685747,10.27558,11.638189,12.225751
15-2807499,,,,,,,,,,,,,,,0,1.84342,6.842529,7.678396,8.268229,9.630838,10.2184
16-2807509,,,,,,,,,,,,,,,,0,4.999109,5.834976,6.424809,7.787418,8.374979999999999
17-2800107,,,,,,,,,,,,,,,,,0,0.835867,1.4257,2.788309,3.375871
18-2803386,,,,,,,,,,,,,,,,,,0,0.5898329999999999,1.952442,2.540004
19-2803399,,,,,,,,,,,,,,,,,,,0,1.362609,1.950171
20-2803395,,,,,,,,,,,,,,,,,,,,0,0.587562
21-2803392,,,,,,,,,,,,,,,,,,,,,0
